feature_set,feature,mean_coefficient,std_coefficient,positive_fold_fraction,same_sign_all_folds,mean_absolute_rank
B_reduced,numeric__distance_low_168,-0.039086383770309395,0.05996129905178554,0.2,False,3.0
B_reduced,numeric__ema20_distance,0.04025733289637576,0.04174879508669039,0.8,False,3.0
B_reduced,numeric__ema20_slope_6,-0.07228751389175027,0.08041873766807306,0.2,False,3.0
B_reduced,numeric__ema50_distance,0.09967619658074454,0.06721221322953362,1.0,True,3.0
B_reduced,numeric__ema50_slope_6,0.01462515377071002,0.039222180400369545,0.6,False,3.0
B_reduced,numeric__hour_of_day,0.11167181876016889,0.03476540623794537,1.0,True,3.0
B_reduced,numeric__macd_ratio,0.08485521920904665,0.09084553694248183,0.8,False,3.0
B_reduced,numeric__natr14,-0.001606675713272942,0.0504586493327676,0.4,False,3.0
B_reduced,numeric__natr_ratio_168,-0.20219451691680032,0.03736563983170264,0.0,True,3.0
B_reduced,numeric__range_expansion_24,-0.18703023445372224,0.046905293782714345,0.0,True,3.0
B_reduced,numeric__range_ratio,0.171938883410222,0.15096131042422675,0.8,False,3.0
B_reduced,numeric__regime_duration,0.16921255627440213,0.1343612339394314,1.0,True,3.0
B_reduced,numeric__regime_transition,0.042113611624847516,0.042673646652961784,1.0,True,3.0
B_reduced,numeric__relative_volume_24,-0.004389464966960316,0.10400360873397459,0.4,False,3.0
B_reduced,numeric__return_168h,0.07542565957768843,0.08468084959976582,0.8,False,3.0
B_reduced,numeric__return_1h,-0.1300449898733488,0.06691382432566398,0.0,True,3.0
B_reduced,numeric__return_24h,-0.04501550693827206,0.05445334807880556,0.2,False,3.0
B_reduced,numeric__return_6h,0.048457376495469565,0.07119723748193886,0.8,False,3.0
B_reduced,numeric__return_std_168,0.1454521454052807,0.14280825517464185,0.8,False,3.0
B_reduced,numeric__return_std_24,-0.07402103374221347,0.1510893244360335,0.2,False,3.0
B_reduced,numeric__rsi14,0.06756846864775332,0.10902041137332581,0.6,False,3.0
B_reduced,numeric__signal_density_168,0.0684304092099819,0.039870127436055586,1.0,True,3.0
B_reduced,numeric__trend_efficiency_20,0.05470508906298408,0.0639771716647543,1.0,True,3.0
B_reduced,numeric__up_fraction_24,0.03222322938625828,0.08648814301571293,0.4,False,3.0
B_reduced,numeric__volatility_percentile_720,0.06566311723140686,0.057694165853537406,0.8,False,3.0
B_reduced,numeric__volatility_ratio_24_168,0.27090066807379515,0.02458123605364637,1.0,True,3.0
B_reduced,numeric__volume_price_interaction,-0.09176775665896239,0.04894899989566661,0.0,True,3.0
B_reduced,numeric__volume_trend_24_168,0.08376179882828856,0.09563092226513646,0.8,False,3.0
B_reduced,numeric__volume_zscore_24,-0.09285869807413102,0.03870904172231484,0.0,True,3.0
C_price_trend,category__pair_BTC/USDT,-0.0019787660926689,0.022002549524423178,0.4,False,3.0
C_price_trend,category__pair_ETH/USDT,0.0005021619450678201,0.021364073492888623,0.6,False,3.0
C_price_trend,numeric__body_to_range,-0.01995719344356504,0.05839941590487718,0.2,False,3.0
C_price_trend,numeric__close_location,0.11628688314824084,0.04703853552328958,1.0,True,3.0
C_price_trend,numeric__distance_high_168,0.1826369151153178,0.08302678104792553,1.0,True,3.0
C_price_trend,numeric__distance_high_24,-0.2331892294539383,0.08909551089006747,0.0,True,3.0
C_price_trend,numeric__distance_low_168,-0.0071464968479172,0.058938697634043004,0.6,False,3.0
C_price_trend,numeric__distance_low_24,0.08900043954021948,0.11148339444937222,0.8,False,3.0
C_price_trend,numeric__ema20_distance,0.14394793953478213,0.07607735659074069,1.0,True,3.0
C_price_trend,numeric__ema20_slope_6,-0.12864599153344483,0.09012892046995584,0.0,True,3.0
C_price_trend,numeric__ema50_distance,0.19824496529611824,0.08699651152359665,1.0,True,3.0
C_price_trend,numeric__ema50_slope_6,-0.010175942614284481,0.04936419295315188,0.4,False,3.0
C_price_trend,numeric__ema_gap,0.2536323968754703,0.11052099440718988,1.0,True,3.0
C_price_trend,numeric__range_ratio,-0.06401910477869753,0.08212010677838982,0.2,False,3.0
C_price_trend,numeric__return_12h,0.08199578430749258,0.08535384614820164,0.8,False,3.0
C_price_trend,numeric__return_168h,0.03529928884465054,0.09027113458782571,0.6,False,3.0
C_price_trend,numeric__return_1h,-0.14278900697247757,0.03285606845799165,0.0,True,3.0
C_price_trend,numeric__return_24h,-0.0302588123945985,0.06701477329669335,0.4,False,3.0
C_price_trend,numeric__return_3h,-0.12425842704387731,0.11466721929807387,0.2,False,3.0
C_price_trend,numeric__return_6h,0.09640094296338339,0.04828170311024987,1.0,True,3.0
C_price_trend,numeric__return_72h,-0.22667388860485307,0.05548575326240407,0.0,True,3.0
C_price_trend,numeric__trend_efficiency_20,0.04549184570969104,0.03293793206126639,1.0,True,3.0
C_price_trend,numeric__up_fraction_24,0.041219412913817095,0.08576485862307506,0.4,False,3.0
D_price_trend_volatility,category__pair_BTC/USDT,0.00572714249476072,0.016263531203716357,0.6,False,3.0
D_price_trend_volatility,category__pair_ETH/USDT,-0.00680551917592344,0.016323313894829623,0.2,False,3.0
D_price_trend_volatility,numeric__body_to_range,-0.004101075120972241,0.06028476650007391,0.2,False,3.0
D_price_trend_volatility,numeric__close_location,0.0915652708680927,0.04983136738378686,1.0,True,3.0
D_price_trend_volatility,numeric__distance_high_168,0.2276376104794681,0.061129793401176066,1.0,True,3.0
D_price_trend_volatility,numeric__distance_high_24,-0.20334274947659542,0.10659159724379995,0.0,True,3.0
D_price_trend_volatility,numeric__distance_low_168,-0.03709779515885318,0.0955615067888434,0.4,False,3.0
D_price_trend_volatility,numeric__distance_low_24,0.017536943897160758,0.10053239215879126,0.6,False,3.0
D_price_trend_volatility,numeric__ema20_distance,0.14621741000963326,0.0780461628116987,1.0,True,3.0
D_price_trend_volatility,numeric__ema20_slope_6,-0.12579605943812275,0.09394761408067104,0.0,True,3.0
D_price_trend_volatility,numeric__ema50_distance,0.18705425078939855,0.08608130477992666,1.0,True,3.0
D_price_trend_volatility,numeric__ema50_slope_6,-0.026467380974382403,0.055682241152108736,0.4,False,3.0
D_price_trend_volatility,numeric__ema_gap,0.21559095707777423,0.10062698490289418,1.0,True,3.0
D_price_trend_volatility,numeric__natr14,-0.041134599198587876,0.04772720307289483,0.2,False,3.0
D_price_trend_volatility,numeric__natr_ratio_168,-0.2003132250830082,0.05342984793759432,0.0,True,3.0
D_price_trend_volatility,numeric__range_expansion_24,-0.24699882799829345,0.08289957930444257,0.0,True,3.0
D_price_trend_volatility,numeric__range_ratio,0.14090694508678842,0.1633168773253931,0.6,False,3.0
D_price_trend_volatility,numeric__return_12h,0.08870411116652842,0.08521454701855519,0.8,False,3.0
D_price_trend_volatility,numeric__return_168h,0.047244423507443456,0.08714768928698005,0.6,False,3.0
D_price_trend_volatility,numeric__return_1h,-0.13075849187957386,0.03662359378907776,0.0,True,3.0
D_price_trend_volatility,numeric__return_24h,-0.031249943531781066,0.0785359049264844,0.4,False,3.0
D_price_trend_volatility,numeric__return_3h,-0.13280377671436439,0.10974241373453467,0.0,True,3.0
D_price_trend_volatility,numeric__return_6h,0.09974843056811131,0.04127865987785958,1.0,True,3.0
D_price_trend_volatility,numeric__return_72h,-0.2107035855510584,0.0470350563162641,0.0,True,3.0
D_price_trend_volatility,numeric__return_std_168,0.14307183220459568,0.1509007527561089,0.8,False,3.0
D_price_trend_volatility,numeric__return_std_24,-0.1487169368502796,0.14089594817003626,0.2,False,3.0
D_price_trend_volatility,numeric__trend_efficiency_20,0.059683547820847324,0.03703846472219455,1.0,True,3.0
D_price_trend_volatility,numeric__up_fraction_24,0.059922937873241836,0.09332211487093911,0.6,False,3.0
D_price_trend_volatility,numeric__volatility_percentile_720,0.056317470548731076,0.0423136933083216,1.0,True,3.0
D_price_trend_volatility,numeric__volatility_ratio_24_168,0.2738500490047834,0.07685021763853751,1.0,True,3.0
E_all_excluding_regime,category__pair_BTC/USDT,0.00803394760187466,0.020659544020352548,0.6,False,3.0
E_all_excluding_regime,category__pair_ETH/USDT,-0.010137511277179882,0.019776630291133624,0.4,False,3.0
E_all_excluding_regime,numeric__body_to_range,0.010307243544802062,0.06510147101197543,0.6,False,3.0
E_all_excluding_regime,numeric__candles_since_prior_signal,0.04884132504337062,0.05686830270744392,0.8,False,3.0
E_all_excluding_regime,numeric__close_location,0.0766110360406732,0.05658845922518663,1.0,True,3.0
E_all_excluding_regime,numeric__day_of_week,-0.06197794870066674,0.06976093835378011,0.0,True,3.0
E_all_excluding_regime,numeric__distance_high_168,0.20422746443942236,0.06579625482631737,1.0,True,3.0
E_all_excluding_regime,numeric__distance_high_24,-0.2072630918471096,0.11362510858771725,0.0,True,3.0
E_all_excluding_regime,numeric__distance_low_168,-0.022720493484943722,0.08469365312084862,0.4,False,3.0
E_all_excluding_regime,numeric__distance_low_24,-0.0017447702034980805,0.10276251819773088,0.6,False,3.0
E_all_excluding_regime,numeric__ema20_distance,0.13678604517561063,0.10110483625988949,1.0,True,3.0
E_all_excluding_regime,numeric__ema20_slope_6,-0.15605963326458117,0.10472785542634774,0.0,True,3.0
E_all_excluding_regime,numeric__ema50_distance,0.17527374585857952,0.09757277446329689,1.0,True,3.0
E_all_excluding_regime,numeric__ema50_slope_6,-0.05088595589765756,0.07845533633061613,0.4,False,3.0
E_all_excluding_regime,numeric__ema_gap,0.20101860816143108,0.08368099802895035,1.0,True,3.0
E_all_excluding_regime,numeric__hour_of_day,0.10245515330698896,0.03861371537499279,1.0,True,3.0
E_all_excluding_regime,numeric__macd_ratio,0.03660647290935019,0.03662155290040692,0.8,False,3.0
E_all_excluding_regime,numeric__macd_signal_ratio,0.01624316059565646,0.060179411885939484,0.4,False,3.0
E_all_excluding_regime,numeric__natr14,-0.05690707048058515,0.057330573216836586,0.2,False,3.0
E_all_excluding_regime,numeric__natr_ratio_168,-0.2490230296479255,0.04276286364128589,0.0,True,3.0
E_all_excluding_regime,numeric__range_expansion_24,-0.19975235551547452,0.035423232340527196,0.0,True,3.0
E_all_excluding_regime,numeric__range_ratio,0.1521560659206252,0.16000479603849013,0.8,False,3.0
E_all_excluding_regime,numeric__relative_volume_24,-0.014686315208622142,0.09952646119096188,0.4,False,3.0
E_all_excluding_regime,numeric__return_12h,0.05719441080005051,0.08347326055938682,0.8,False,3.0
E_all_excluding_regime,numeric__return_168h,0.06903524947652012,0.09618227793189212,0.6,False,3.0
E_all_excluding_regime,numeric__return_1h,-0.08525083322790854,0.04956062983410998,0.0,True,3.0
E_all_excluding_regime,numeric__return_24h,-0.0336455095967967,0.07428828708921516,0.2,False,3.0
E_all_excluding_regime,numeric__return_3h,-0.11606332318405363,0.09242932998601555,0.0,True,3.0
E_all_excluding_regime,numeric__return_6h,0.10395512220485188,0.0727008440285711,1.0,True,3.0
E_all_excluding_regime,numeric__return_72h,-0.2064480186761805,0.0383906237756412,0.0,True,3.0
E_all_excluding_regime,numeric__return_std_168,0.14465003229929724,0.15243834930904412,0.8,False,3.0
E_all_excluding_regime,numeric__return_std_24,-0.14229809917362818,0.15323666158484484,0.2,False,3.0
E_all_excluding_regime,numeric__rsi14,0.11422316954671301,0.12866937013863386,0.8,False,3.0
E_all_excluding_regime,numeric__signal_density_168,0.06579213069722338,0.03714460851118968,1.0,True,3.0
E_all_excluding_regime,numeric__source_synthetic,0.0,0.0,0.0,False,3.0
E_all_excluding_regime,numeric__trend_efficiency_20,0.013447829233876978,0.04639646748487848,0.4,False,3.0
E_all_excluding_regime,numeric__up_fraction_24,0.04422758703340708,0.09306679871309655,0.6,False,3.0
E_all_excluding_regime,numeric__volatility_percentile_720,0.04271399788153578,0.04893904320399484,0.8,False,3.0
E_all_excluding_regime,numeric__volatility_ratio_24_168,0.25614019629020296,0.0395671894078172,1.0,True,3.0
E_all_excluding_regime,numeric__volume_price_interaction,-0.09345610076931563,0.0377897154246101,0.0,True,3.0
E_all_excluding_regime,numeric__volume_trend_24_168,0.0683146644833414,0.0983560601290516,0.8,False,3.0
E_all_excluding_regime,numeric__volume_zscore_24,-0.06592739497655845,0.03757968325885843,0.0,True,3.0
F_all_excluding_calendar,category__pair_BTC/USDT,-0.0021450261878259587,0.027239119031562137,0.4,False,3.0
F_all_excluding_calendar,category__pair_ETH/USDT,0.0011482817611231607,0.027474775352903543,0.6,False,3.0
F_all_excluding_calendar,category__regime_HIGH_VOLATILITY,-0.22504303134495415,0.03362119099669816,0.0,True,3.0
F_all_excluding_calendar,category__regime_LOW_VOLATILITY,-0.024591594250332752,0.09685698596255313,0.5,False,2.5
F_all_excluding_calendar,category__regime_RANGE,0.17387813575979574,0.15524926960618193,1.0,True,3.0
F_all_excluding_calendar,category__regime_TREND_DOWN,0.02001112323914326,0.045411969238984655,0.8,False,3.0
F_all_excluding_calendar,category__regime_TREND_UP,0.049830303319578564,0.13795834044855584,0.6,False,3.0
F_all_excluding_calendar,numeric__body_to_range,0.00704930553835416,0.06021786529979867,0.4,False,3.0
F_all_excluding_calendar,numeric__candles_since_prior_signal,0.05477239701959791,0.04895260851887454,0.8,False,3.0
F_all_excluding_calendar,numeric__close_location,0.09012326753074994,0.05903803680368201,1.0,True,3.0
F_all_excluding_calendar,numeric__distance_high_168,0.20084144771483955,0.06056351025505689,1.0,True,3.0
F_all_excluding_calendar,numeric__distance_high_24,-0.21921864321191425,0.10332689040775962,0.0,True,3.0
F_all_excluding_calendar,numeric__distance_low_168,-0.022675095510600738,0.07283090355607758,0.4,False,3.0
F_all_excluding_calendar,numeric__distance_low_24,-0.02158615259999558,0.09479215141032195,0.4,False,3.0
F_all_excluding_calendar,numeric__ema20_distance,0.13478950880657226,0.10181650148834437,1.0,True,3.0
F_all_excluding_calendar,numeric__ema20_slope_6,-0.14542463243622156,0.11305956354709241,0.0,True,3.0
F_all_excluding_calendar,numeric__ema50_distance,0.17730645928916489,0.10412372007459345,1.0,True,3.0
F_all_excluding_calendar,numeric__ema50_slope_6,-0.03709098817626614,0.07892994901291939,0.4,False,3.0
F_all_excluding_calendar,numeric__ema_gap,0.2013769395699329,0.08925223539277706,1.0,True,3.0
F_all_excluding_calendar,numeric__macd_ratio,0.028918270909792942,0.03859907633582727,0.8,False,3.0
