target,feature_set,model,threshold,period,evaluation_year,trades,retention_pct,win_rate_pct,net_profit_usdt,average_trade_pct,profit_factor,expectancy_usdt,closed_subset_max_drawdown_pct,btc_net_usdt,eth_net_usdt,regime_distribution,median_yearly_net_usdt,worst_year_net_usdt,profitable_years,yearly_net_std_usdt
profitable_after_fees,A_all,forest,0.6,year,2020.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,forest,0.6,year,2021.0,1,0.4975124378109453,100.0,4.99739839,4.999898181443933,,4.99739839,0.0,0.0,4.99739839,{'TREND_UP': 1},,,,
profitable_after_fees,A_all,forest,0.6,year,2022.0,2,0.9523809523809524,100.0,9.98684249,5.000074050963144,,4.993421245,0.0,4.98517603,5.00166646,{'TREND_UP': 2},,,,
profitable_after_fees,A_all,forest,0.6,year,2023.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,forest,0.6,year,2024.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,forest,0.65,year,2020.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,forest,0.65,year,2021.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,forest,0.65,year,2022.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,forest,0.65,year,2023.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,forest,0.65,year,2024.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,forest,0.7,year,2020.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,forest,0.7,year,2021.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,forest,0.7,year,2022.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,forest,0.7,year,2023.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,forest,0.7,year,2024.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
profitable_after_fees,A_all,hist_gradient,0.5,year,2020.0,29,13.942307692307692,34.48275862068966,-2.335772860000001,-0.0810353662830851,0.950064203753784,-0.0805438917241379,1.6021401132220547,-14.3994705,12.063697640000004,"{'TREND_UP': 17, 'RANGE': 12}",,,,
profitable_after_fees,A_all,hist_gradient,0.5,year,2021.0,44,21.890547263681597,50.0,24.97933349,0.5685945362081357,1.432351911923197,0.5677121247727273,2.344402433438236,29.97900519,-4.999671699999999,"{'TREND_UP': 22, 'HIGH_VOLATILITY': 11, 'RANGE': 11}",,,,
profitable_after_fees,A_all,hist_gradient,0.5,year,2022.0,14,6.666666666666667,50.0,7.809151450000003,0.5585643063381396,1.3708199194456576,0.5577965321428574,1.1312543945223803,4.83062998,2.97852147,"{'TREND_UP': 9, 'RANGE': 4, 'HIGH_VOLATILITY': 1}",,,,
profitable_after_fees,A_all,hist_gradient,0.5,year,2023.0,11,5.092592592592593,9.090909090909092,-22.99865332,-2.092267131916535,0.0003421168672804,-2.0907866654545453,2.2998653320000018,-10.54872403,-12.44992929,"{'TREND_UP': 7, 'RANGE': 4}",,,,
profitable_after_fees,A_all,hist_gradient,0.5,year,2024.0,9,4.433497536945813,66.66666666666666,3.49837938,0.3891922200129702,1.2658626531592003,0.3887088199999999,0.5186004209999965,2.104630850000001,1.39374853,"{'TREND_UP': 7, 'RANGE': 2}",,,,
profitable_after_fees,A_all,hist_gradient,0.55,year,2020.0,15,7.211538461538461,33.33333333333333,-3.368858800000001,-0.2245879390048952,0.8813163506750165,-0.2245905866666667,1.4220839265256882,-12.68829938,9.319440579999998,"{'TREND_UP': 10, 'RANGE': 5}",,,,
profitable_after_fees,A_all,hist_gradient,0.55,year,2021.0,17,8.45771144278607,41.17647058823529,1.5028143300000014,0.0884107096288006,1.056812637274971,0.0884008429411765,0.901862882284227,-1.6046123900000009,3.1074267200000003,"{'TREND_UP': 10, 'RANGE': 4, 'HIGH_VOLATILITY': 3}",,,,
profitable_after_fees,A_all,hist_gradient,0.55,year,2022.0,2,0.9523809523809524,100.0,9.9831948,4.999993377815929,,4.9915974,0.0,9.9831948,0.0,{'TREND_UP': 2},,,,
profitable_after_fees,A_all,hist_gradient,0.55,year,2023.0,7,3.2407407407407405,14.285714285714285,-13.47908729,-1.9262030852486016,0.0005835948979336,-1.9255838985714289,1.3479087290000051,-2.70588285,-10.77320444,"{'TREND_UP': 5, 'RANGE': 2}",,,,
profitable_after_fees,A_all,hist_gradient,0.55,year,2024.0,2,0.9852216748768472,50.0,1.98081413,0.9857332434751194,1.6568033477128628,0.990407065,0.3000846297483728,1.98081413,0.0,"{'TREND_UP': 1, 'RANGE': 1}",,,,
profitable_after_fees,A_all,hist_gradient,0.6,year,2020.0,4,1.9230769230769231,25.0,-7.338446130000001,-1.8337305541029445,0.4053553340580042,-1.8346115325000003,1.038215118000005,-2.1470478700000006,-5.19139826,"{'RANGE': 2, 'TREND_UP': 2}",,,,
profitable_after_fees,A_all,hist_gradient,0.6,year,2021.0,7,3.482587064676617,42.85714285714285,4.59767928,0.6568837910625839,1.4423266374769343,0.6568113257142857,0.516390965301632,-2.9541659100000004,7.55184519,"{'TREND_UP': 6, 'RANGE': 1}",,,,
profitable_after_fees,A_all,hist_gradient,0.6,year,2022.0,1,0.4761904761904762,100.0,4.98517603,4.999998307462547,,4.98517603,0.0,4.98517603,0.0,{'TREND_UP': 1},,,,
profitable_after_fees,A_all,hist_gradient,0.6,year,2023.0,3,1.3888888888888888,33.33333333333333,-4.40193219,-1.46731667771135,0.0017848688033602,-1.46731073,0.4401932190000025,-2.70588285,-1.69604934,"{'TREND_UP': 2, 'RANGE': 1}",,,,
profitable_after_fees,A_all,hist_gradient,0.6,year,2024.0,1,0.4926108374384236,0.0,-3.01584049,-3.0285399608521404,0.0,-3.01584049,0.3015840489999959,-3.01584049,0.0,{'RANGE': 1},,,,
profitable_after_fees,A_all,hist_gradient,0.65,year,2020.0,1,0.4807692307692308,0.0,-1.95874171,-1.957095694257312,0.0,-1.95874171,0.1958741710000026,-1.95874171,0.0,{'TREND_UP': 1},,,,
profitable_after_fees,A_all,hist_gradient,0.65,year,2021.0,1,0.4975124378109453,100.0,4.99739839,4.999898181443933,,4.99739839,0.0,0.0,4.99739839,{'TREND_UP': 1},,,,
profitable_after_fees,A_all,hist_gradient,0.65,year,2022.0,0,0.0,,0.0,,,,0.0,0.0,0.0,{},,,,
