target,feature_set,model,evaluation_year,pair,n,prevalence,mean_probability,roc_auc,pr_auc_ap,balanced_accuracy,precision,recall,f1,brier
profitable_after_fees,A_all,dummy,2020,BTC/USDT,107,0.37383177570093457,0.321266968325792,0.5,0.37383177570093457,0.5,0.0,0.0,0.0,0.23684463815160656
profitable_after_fees,A_all,dummy,2020,ETH/USDT,101,0.38613861386138615,0.32126696832579194,0.5,0.38613861386138615,0.5,0.0,0.0,0.0,0.24124391514108923
profitable_after_fees,A_all,dummy,2021,BTC/USDT,97,0.3917525773195876,0.35034802784222746,0.5,0.3917525773195876,0.5,0.0,0.0,0.0,0.23999683220047138
profitable_after_fees,A_all,dummy,2021,ETH/USDT,104,0.3942307692307692,0.35034802784222746,0.5,0.3942307692307692,0.5,0.0,0.0,0.0,0.24073856481425887
profitable_after_fees,A_all,dummy,2022,BTC/USDT,104,0.25961538461538464,0.3643533123028391,0.5,0.25961538461538464,0.5,0.0,0.0,0.0,0.20318527018265298
profitable_after_fees,A_all,dummy,2022,ETH/USDT,106,0.3490566037735849,0.3643533123028391,0.5,0.3490566037735849,0.5,0.0,0.0,0.0,0.2274500804274644
profitable_after_fees,A_all,dummy,2023,BTC/USDT,114,0.32456140350877194,0.3491124260355029,0.5,0.32456140350877194,0.5,0.0,0.0,0.0,0.21982405156829612
profitable_after_fees,A_all,dummy,2023,ETH/USDT,102,0.3431372549019608,0.3491124260355029,0.5,0.3431372549019608,0.5,0.0,0.0,0.0,0.2254297818703827
profitable_after_fees,A_all,dummy,2024,BTC/USDT,105,0.41904761904761906,0.34460093896713617,0.5,0.41904761904761906,0.5,0.0,0.0,0.0,0.24898902019314637
profitable_after_fees,A_all,dummy,2024,ETH/USDT,98,0.29591836734693877,0.34460093896713617,0.5,0.29591836734693877,0.5,0.0,0.0,0.0,0.21072067999321661
profitable_after_fees,A_all,forest,2020,BTC/USDT,107,0.37383177570093457,0.3386301097765046,0.567910447761194,0.41324592595390236,0.5,0.0,0.0,0.0,0.23339427142801045
profitable_after_fees,A_all,forest,2020,ETH/USDT,101,0.38613861386138615,0.3438091413794486,0.6608767576509512,0.5899976173873784,0.5,0.0,0.0,0.0,0.22473315510787278
profitable_after_fees,A_all,forest,2021,BTC/USDT,97,0.3917525773195876,0.39601353151745816,0.6565566458519179,0.5264787086686045,0.5374665477252454,0.5,0.21052631578947367,0.2962962962962963,0.2244282644684229
profitable_after_fees,A_all,forest,2021,ETH/USDT,104,0.3942307692307692,0.3953706909061888,0.5617499032133179,0.4725914130783571,0.5139372822299652,0.4375,0.17073170731707318,0.24561403508771928,0.23659792623894085
profitable_after_fees,A_all,forest,2022,BTC/USDT,104,0.25961538461538464,0.3259869941471625,0.5757575757575758,0.32573656935512874,0.4925444925444925,0.2,0.037037037037037035,0.0625,0.19767763516225964
profitable_after_fees,A_all,forest,2022,ETH/USDT,106,0.3490566037735849,0.3581797146010804,0.6404230317273796,0.4479669406633218,0.4980415197806502,0.3333333333333333,0.05405405405405406,0.09302325581395349,0.2162074345906006
profitable_after_fees,A_all,forest,2023,BTC/USDT,114,0.32456140350877194,0.29653490619340417,0.5096525096525097,0.3158886336104041,0.487012987012987,0.0,0.0,0.0,0.23241928334916306
profitable_after_fees,A_all,forest,2023,ETH/USDT,102,0.3431372549019608,0.31098858650891925,0.4916844349680171,0.34429988870094635,0.48507462686567165,0.0,0.0,0.0,0.23915558939916914
profitable_after_fees,A_all,forest,2024,BTC/USDT,105,0.41904761904761906,0.33607394550520375,0.580849478390462,0.4820565324508624,0.4918032786885246,0.0,0.0,0.0,0.24789288857882022
profitable_after_fees,A_all,forest,2024,ETH/USDT,98,0.29591836734693877,0.3430421591321375,0.6426786606696652,0.4320568642870843,0.5199900049975013,0.5,0.06896551724137931,0.12121212121212122,0.20029837322320157
profitable_after_fees,A_all,hist_gradient,2020,BTC/USDT,107,0.37383177570093457,0.35983947644680575,0.5151119402985074,0.36462820231545734,0.45802238805970147,0.2631578947368421,0.125,0.1694915254237288,0.25122141066015186
profitable_after_fees,A_all,hist_gradient,2020,ETH/USDT,101,0.38613861386138615,0.3376132534242507,0.6559139784946236,0.5235184962034635,0.5237799834574028,0.5,0.1282051282051282,0.20408163265306123,0.22400691256010583
profitable_after_fees,A_all,hist_gradient,2021,BTC/USDT,97,0.3917525773195876,0.40020086208844635,0.5976806422836752,0.45597351333659336,0.5731489741302409,0.5454545454545454,0.3157894736842105,0.4,0.23529497357578363
profitable_after_fees,A_all,hist_gradient,2021,ETH/USDT,104,0.3942307692307692,0.3976951037323897,0.5114208284939992,0.44238597773884075,0.5267131242740999,0.45454545454545453,0.24390243902439024,0.31746031746031744,0.2467601867127861
profitable_after_fees,A_all,hist_gradient,2022,BTC/USDT,104,0.25961538461538464,0.32097893599278177,0.5108225108225108,0.3359379269490129,0.5175565175565175,0.4,0.07407407407407407,0.125,0.2025636729418781
profitable_after_fees,A_all,hist_gradient,2022,ETH/USDT,106,0.3490566037735849,0.34917306599822695,0.5738347042694869,0.4578656997633345,0.5385820603211907,0.5555555555555556,0.13513513513513514,0.21739130434782608,0.22675911904433105
profitable_after_fees,A_all,hist_gradient,2023,BTC/USDT,114,0.32456140350877194,0.3076819427986424,0.482976482976483,0.30295335834093556,0.4805194805194805,0.0,0.0,0.0,0.2356259414592531
profitable_after_fees,A_all,hist_gradient,2023,ETH/USDT,102,0.3431372549019608,0.3150298793103402,0.4742004264392324,0.3541907114401585,0.46204690831556505,0.125,0.02857142857142857,0.046511627906976744,0.24422032819470801
profitable_after_fees,A_all,hist_gradient,2024,BTC/USDT,105,0.41904761904761906,0.3420744161021766,0.5819672131147541,0.49047540045654325,0.5176974664679582,0.6,0.06818181818181818,0.12244897959183673,0.24762632158841094
profitable_after_fees,A_all,hist_gradient,2024,ETH/USDT,98,0.29591836734693877,0.3440915964961294,0.6251874062968517,0.450133048743309,0.5444777611194404,0.75,0.10344827586206896,0.18181818181818182,0.20158078766520854
profitable_after_fees,A_all,logistic,2020,BTC/USDT,107,0.37383177570093457,0.348634978433053,0.5664179104477612,0.432244804487792,0.5152985074626866,0.42857142857142855,0.15,0.2222222222222222,0.2441112253708571
profitable_after_fees,A_all,logistic,2020,ETH/USDT,101,0.38613861386138615,0.3380381515639741,0.5922249793217536,0.5494902089623,0.5446650124069479,0.6,0.15384615384615385,0.24489795918367346,0.22938862977310331
profitable_after_fees,A_all,logistic,2021,BTC/USDT,97,0.3917525773195876,0.41643226584575027,0.6016949152542372,0.4971754163412045,0.5825156110615521,0.5384615384615384,0.3684210526315789,0.4375,0.24184695743187204
profitable_after_fees,A_all,logistic,2021,ETH/USDT,104,0.3942307692307692,0.4911103028211909,0.5582655826558266,0.45944685597337637,0.548586914440573,0.4594594594594595,0.4146341463414634,0.4358974358974359,0.2875480056769055
profitable_after_fees,A_all,logistic,2022,BTC/USDT,104,0.25961538461538464,0.3456051940604033,0.6354016354016354,0.359785384430372,0.4795574795574795,0.14285714285714285,0.037037037037037035,0.058823529411764705,0.19244693665161575
profitable_after_fees,A_all,logistic,2022,ETH/USDT,106,0.3490566037735849,0.3506223835092529,0.63572267920094,0.44493624531230935,0.5168429298864081,0.4166666666666667,0.13513513513513514,0.20408163265306123,0.22102057074083803
profitable_after_fees,A_all,logistic,2023,BTC/USDT,114,0.32456140350877194,0.2730913987862764,0.5559845559845559,0.34221539218153135,0.487012987012987,0.0,0.0,0.0,0.2270705893232162
profitable_after_fees,A_all,logistic,2023,ETH/USDT,102,0.3431372549019608,0.3003728083259692,0.5377398720682303,0.37455890621099786,0.4987206823027719,0.3333333333333333,0.05714285714285714,0.0975609756097561,0.23313345427829532
profitable_after_fees,A_all,logistic,2024,BTC/USDT,105,0.41904761904761906,0.3293331243609195,0.5551415797317436,0.5008304110356298,0.53725782414307,0.8,0.09090909090909091,0.16326530612244897,0.252510770364719
profitable_after_fees,A_all,logistic,2024,ETH/USDT,98,0.29591836734693877,0.34884900604461455,0.5367316341829086,0.41564002644910913,0.5444777611194404,0.75,0.10344827586206896,0.18181818181818182,0.21321299204019012
profitable_after_fees,B_reduced,dummy,2020,BTC/USDT,107,0.37383177570093457,0.321266968325792,0.5,0.37383177570093457,0.5,0.0,0.0,0.0,0.23684463815160656
profitable_after_fees,B_reduced,dummy,2020,ETH/USDT,101,0.38613861386138615,0.32126696832579194,0.5,0.38613861386138615,0.5,0.0,0.0,0.0,0.24124391514108923
profitable_after_fees,B_reduced,dummy,2021,BTC/USDT,97,0.3917525773195876,0.35034802784222746,0.5,0.3917525773195876,0.5,0.0,0.0,0.0,0.23999683220047138
profitable_after_fees,B_reduced,dummy,2021,ETH/USDT,104,0.3942307692307692,0.35034802784222746,0.5,0.3942307692307692,0.5,0.0,0.0,0.0,0.24073856481425887
profitable_after_fees,B_reduced,dummy,2022,BTC/USDT,104,0.25961538461538464,0.3643533123028391,0.5,0.25961538461538464,0.5,0.0,0.0,0.0,0.20318527018265298
profitable_after_fees,B_reduced,dummy,2022,ETH/USDT,106,0.3490566037735849,0.3643533123028391,0.5,0.3490566037735849,0.5,0.0,0.0,0.0,0.2274500804274644
profitable_after_fees,B_reduced,dummy,2023,BTC/USDT,114,0.32456140350877194,0.3491124260355029,0.5,0.32456140350877194,0.5,0.0,0.0,0.0,0.21982405156829612
profitable_after_fees,B_reduced,dummy,2023,ETH/USDT,102,0.3431372549019608,0.3491124260355029,0.5,0.3431372549019608,0.5,0.0,0.0,0.0,0.2254297818703827
profitable_after_fees,B_reduced,dummy,2024,BTC/USDT,105,0.41904761904761906,0.34460093896713617,0.5,0.41904761904761906,0.5,0.0,0.0,0.0,0.24898902019314637
profitable_after_fees,B_reduced,dummy,2024,ETH/USDT,98,0.29591836734693877,0.34460093896713617,0.5,0.29591836734693877,0.5,0.0,0.0,0.0,0.21072067999321661
profitable_after_fees,B_reduced,forest,2020,BTC/USDT,107,0.37383177570093457,0.3421502203048065,0.5216417910447761,0.3772825365699431,0.5,0.0,0.0,0.0,0.2370254118207926
profitable_after_fees,B_reduced,forest,2020,ETH/USDT,101,0.38613861386138615,0.3438600114252121,0.6393713813068653,0.5537434145599499,0.5,0.0,0.0,0.0,0.22960863300141898
profitable_after_fees,B_reduced,forest,2021,BTC/USDT,97,0.3917525773195876,0.39454988437704874,0.6721677074041034,0.5414846673375986,0.5582069580731489,0.6363636363636364,0.18421052631578946,0.2857142857142857,0.22238566338316548
profitable_after_fees,B_reduced,forest,2021,ETH/USDT,104,0.3942307692307692,0.39395923622230516,0.5648470770421989,0.4811567794053234,0.5414246999612853,0.6,0.14634146341463414,0.23529411764705882,0.2354688401678192
profitable_after_fees,B_reduced,forest,2022,BTC/USDT,104,0.25961538461538464,0.3337532296047746,0.5863395863395863,0.3335425493035371,0.49903799903799906,0.25,0.037037037037037035,0.06451612903225806,0.1966830045105993
profitable_after_fees,B_reduced,forest,2022,ETH/USDT,106,0.3490566037735849,0.36165436528989187,0.6208382295338817,0.4384749685113996,0.5043086564825695,0.375,0.08108108108108109,0.13333333333333333,0.22032098170020425
profitable_after_fees,B_reduced,forest,2023,BTC/USDT,114,0.32456140350877194,0.30372895609891737,0.4952614952614953,0.3099998075321957,0.474025974025974,0.0,0.0,0.0,0.2332065805857257
profitable_after_fees,B_reduced,forest,2023,ETH/USDT,102,0.3431372549019608,0.31441627688970847,0.49296375266524517,0.33169457518329526,0.4844349680170576,0.2,0.02857142857142857,0.05,0.23918322774004883
profitable_after_fees,B_reduced,forest,2024,BTC/USDT,105,0.41904761904761906,0.33413153562785447,0.5823397913561847,0.4869754891178408,0.4918032786885246,0.0,0.0,0.0,0.24909520768697396
profitable_after_fees,B_reduced,forest,2024,ETH/USDT,98,0.29591836734693877,0.34247303669421425,0.6401799100449774,0.42441184232710555,0.5444777611194404,0.75,0.10344827586206896,0.18181818181818182,0.20148588747607593
profitable_after_fees,B_reduced,hist_gradient,2020,BTC/USDT,107,0.37383177570093457,0.3590069998313521,0.48208955223880595,0.34604684744533626,0.48302238805970144,0.3333333333333333,0.175,0.22950819672131148,0.2551604154618027
profitable_after_fees,B_reduced,hist_gradient,2020,ETH/USDT,101,0.38613861386138615,0.34718695021764423,0.6321339950372208,0.5046121207363904,0.5413564929693961,0.5384615384615384,0.1794871794871795,0.2692307692307692,0.22773826722206825
profitable_after_fees,B_reduced,hist_gradient,2021,BTC/USDT,97,0.3917525773195876,0.39656056390124667,0.6284567350579838,0.533585974797316,0.5731489741302409,0.5454545454545454,0.3157894736842105,0.4,0.2284156832676017
profitable_after_fees,B_reduced,hist_gradient,2021,ETH/USDT,104,0.3942307692307692,0.3846949467505235,0.5369725125822687,0.44781646818847687,0.5255516840882695,0.5,0.14634146341463414,0.22641509433962265,0.23913649084279748
profitable_after_fees,B_reduced,hist_gradient,2022,BTC/USDT,104,0.25961538461538464,0.3294571626052845,0.5569985569985569,0.348257757991144,0.5416065416065416,0.4444444444444444,0.14814814814814814,0.2222222222222222,0.19935964906374093
profitable_after_fees,B_reduced,hist_gradient,2022,ETH/USDT,106,0.3490566037735849,0.356712981683133,0.6008617312965139,0.4214711082717603,0.5168429298864081,0.4166666666666667,0.13513513513513514,0.20408163265306123,0.22304551992421373
profitable_after_fees,B_reduced,hist_gradient,2023,BTC/USDT,114,0.32456140350877194,0.31236240262018966,0.515970515970516,0.33208888712849405,0.48104598104598106,0.16666666666666666,0.02702702702702703,0.046511627906976744,0.23037106068717825
profitable_after_fees,B_reduced,hist_gradient,2023,ETH/USDT,102,0.3431372549019608,0.32371454016998474,0.49637526652452024,0.36638093157828333,0.4912579957356077,0.2857142857142857,0.05714285714285714,0.09523809523809523,0.23894598330874986
profitable_after_fees,B_reduced,hist_gradient,2024,BTC/USDT,105,0.41904761904761906,0.34100131052622507,0.5905365126676602,0.504292068219521,0.5176974664679582,0.6,0.06818181818181818,0.12244897959183673,0.24683477927050765
profitable_after_fees,B_reduced,hist_gradient,2024,ETH/USDT,98,0.29591836734693877,0.34530038435228394,0.6336831584207896,0.472514849699084,0.5617191404297851,0.8,0.13793103448275862,0.23529411764705882,0.201742583067069
profitable_after_fees,B_reduced,logistic,2020,BTC/USDT,107,0.37383177570093457,0.3543884591314241,0.567910447761194,0.4377196318095284,0.5126865671641792,0.4444444444444444,0.1,0.16326530612244897,0.2360843056381419
profitable_after_fees,B_reduced,logistic,2020,ETH/USDT,101,0.38613861386138615,0.3537844764172355,0.6236559139784946,0.5495426965696104,0.565550041356493,0.7,0.1794871794871795,0.2857142857142857,0.2240854362804539
profitable_after_fees,B_reduced,logistic,2021,BTC/USDT,97,0.3917525773195876,0.4102132870205159,0.6195361284567351,0.5018922567985499,0.6173059768064229,0.5925925925925926,0.42105263157894735,0.49230769230769234,0.2397740747273787
profitable_after_fees,B_reduced,logistic,2021,ETH/USDT,104,0.3942307692307692,0.491087644006622,0.5571041424699962,0.4655486823978418,0.5607820363917925,0.47368421052631576,0.43902439024390244,0.45569620253164556,0.28626667682221474
profitable_after_fees,B_reduced,logistic,2022,BTC/USDT,104,0.25961538461538464,0.3483103017934646,0.6354016354016354,0.37240585103701185,0.511063011063011,0.3333333333333333,0.07407407407407407,0.12121212121212122,0.19148509135004207
profitable_after_fees,B_reduced,logistic,2022,ETH/USDT,106,0.3490566037735849,0.35660858804331075,0.6318057187622406,0.4403589498056901,0.5158636897767332,0.4,0.16216216216216217,0.23076923076923078,0.22017185654119564
profitable_after_fees,B_reduced,logistic,2023,BTC/USDT,114,0.32456140350877194,0.2718639480602336,0.5517725517725518,0.34132219073318737,0.4935064935064935,0.0,0.0,0.0,0.22667466203045256
profitable_after_fees,B_reduced,logistic,2023,ETH/USDT,102,0.3431372549019608,0.30098949799066615,0.5275053304904052,0.3597676531930339,0.49936034115138594,0.3333333333333333,0.02857142857142857,0.05263157894736842,0.23472415214115427
profitable_after_fees,B_reduced,logistic,2024,BTC/USDT,105,0.41904761904761906,0.3305712372915915,0.5588673621460507,0.5284467879005572,0.5486214605067063,0.8333333333333334,0.11363636363636363,0.2,0.25031861963830093
profitable_after_fees,B_reduced,logistic,2024,ETH/USDT,98,0.29591836734693877,0.35828732825172865,0.551224387806097,0.4073581289976232,0.5572213893053473,0.5555555555555556,0.1724137931034483,0.2631578947368421,0.21272785241164163
profitable_after_fees,C_price_trend,dummy,2020,BTC/USDT,107,0.37383177570093457,0.321266968325792,0.5,0.37383177570093457,0.5,0.0,0.0,0.0,0.23684463815160656
profitable_after_fees,C_price_trend,dummy,2020,ETH/USDT,101,0.38613861386138615,0.32126696832579194,0.5,0.38613861386138615,0.5,0.0,0.0,0.0,0.24124391514108923
