year,trades,net_profit_usdt,win_rate_pct
2020,208,58.615672110000006,37.980769230769226
2021,201,-44.50729648,39.30348258706468
2022,210,-96.51823132,30.476190476190478
2023,216,-5.793611139999995,33.33333333333333
2024,203,-41.51286354,35.960591133004925
