fold,evaluation_year,target,feature_set,model,n,prevalence,mean_probability,roc_auc,pr_auc_ap,balanced_accuracy,precision,recall,f1,brier,ece_5_bins,confusion_matrix,calibration
3,2022,return_above_1_percent,D_price_trend_volatility,hist_gradient,210,0.24761904761904763,0.28693012096098985,0.6351022395326192,0.36754004903093773,0.5065725413826679,0.3333333333333333,0.038461538461538464,0.06896551724137931,0.17997756296143383,0.04279405189783879,"[[154, 4], [50, 2]]","[{'lower': 0.0, 'upper': 0.2, 'n': 45, 'mean_probability': 0.16805663601467485, 'observed_rate': 0.1111111111111111}, {'lower': 0.2, 'upper': 0.4, 'n': 137, 'mean_probability': 0.2888006633375588, 'observed_rate': 0.27007299270072993}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 27, 'mean_probability': 0.4626962463804105, 'observed_rate': 0.3333333333333333}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 1, 'mean_probability': 0.6342872516308674, 'observed_rate': 1.0}]"
3,2022,return_above_1_percent,E_all_excluding_regime,dummy,210,0.24761904761904763,0.3186119873817034,0.5,0.24761904761904763,0.5,0.0,0.0,0.0,0.19134385237142754,0.07099293976265575,"[[158, 0], [52, 0]]","[{'lower': 0.2, 'upper': 0.4, 'n': 210, 'mean_probability': 0.3186119873817034, 'observed_rate': 0.24761904761904763}]"
3,2022,return_above_1_percent,E_all_excluding_regime,logistic,210,0.24761904761904763,0.2933120944984699,0.5869036027263875,0.3193727067434289,0.5259250243427459,0.4166666666666667,0.09615384615384616,0.15625,0.1902359127377873,0.055106840218523336,"[[151, 7], [47, 5]]","[{'lower': 0.0, 'upper': 0.2, 'n': 49, 'mean_probability': 0.16350105508968155, 'observed_rate': 0.1836734693877551}, {'lower': 0.2, 'upper': 0.4, 'n': 124, 'mean_probability': 0.283038999736801, 'observed_rate': 0.2661290322580645}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 32, 'mean_probability': 0.46168507922409846, 'observed_rate': 0.25}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 4, 'mean_probability': 0.7123049032413391, 'observed_rate': 0.5}, {'lower': 0.8, 'upper': 1.0, 'n': 1, 'mean_probability': 0.8640100297844584, 'observed_rate': 0.0}]"
3,2022,return_above_1_percent,E_all_excluding_regime,forest,210,0.24761904761904763,0.29217592082845023,0.6411879259980525,0.33632165665294134,0.509858812074002,0.3333333333333333,0.057692307692307696,0.09836065573770492,0.18187125938473672,0.04455687320940259,"[[152, 6], [49, 3]]","[{'lower': 0.0, 'upper': 0.2, 'n': 45, 'mean_probability': 0.1625220965377743, 'observed_rate': 0.06666666666666667}, {'lower': 0.2, 'upper': 0.4, 'n': 139, 'mean_probability': 0.2983772586148915, 'observed_rate': 0.2949640287769784}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 24, 'mean_probability': 0.47349272118855196, 'observed_rate': 0.2916666666666667}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 2, 'mean_probability': 0.602592386889767, 'observed_rate': 0.5}]"
3,2022,return_above_1_percent,E_all_excluding_regime,hist_gradient,210,0.24761904761904763,0.2899996855023113,0.6417964946445959,0.3559970442112569,0.509858812074002,0.3333333333333333,0.057692307692307696,0.09836065573770492,0.18067986462919988,0.04238063788326374,"[[152, 6], [49, 3]]","[{'lower': 0.0, 'upper': 0.2, 'n': 54, 'mean_probability': 0.16833529752304455, 'observed_rate': 0.14814814814814814}, {'lower': 0.2, 'upper': 0.4, 'n': 120, 'mean_probability': 0.29197408155457866, 'observed_rate': 0.24166666666666667}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 36, 'mean_probability': 0.46591494729698724, 'observed_rate': 0.4166666666666667}]"
3,2022,return_above_1_percent,F_all_excluding_calendar,dummy,210,0.24761904761904763,0.3186119873817034,0.5,0.24761904761904763,0.5,0.0,0.0,0.0,0.19134385237142754,0.07099293976265575,"[[158, 0], [52, 0]]","[{'lower': 0.2, 'upper': 0.4, 'n': 210, 'mean_probability': 0.3186119873817034, 'observed_rate': 0.24761904761904763}]"
3,2022,return_above_1_percent,F_all_excluding_calendar,logistic,210,0.24761904761904763,0.29248320197896366,0.5826436222005843,0.31422384459451436,0.5387049659201558,0.5,0.11538461538461539,0.1875,0.19088858930591732,0.04486415435991603,"[[152, 6], [46, 6]]","[{'lower': 0.0, 'upper': 0.2, 'n': 51, 'mean_probability': 0.16168241446674714, 'observed_rate': 0.1568627450980392}, {'lower': 0.2, 'upper': 0.4, 'n': 128, 'mean_probability': 0.28839992656164476, 'observed_rate': 0.2734375}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 25, 'mean_probability': 0.4712852749488625, 'observed_rate': 0.28}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 5, 'mean_probability': 0.7193981948562426, 'observed_rate': 0.4}, {'lower': 0.8, 'upper': 1.0, 'n': 1, 'mean_probability': 0.8813558298849571, 'observed_rate': 0.0}]"
3,2022,return_above_1_percent,F_all_excluding_calendar,forest,210,0.24761904761904763,0.29379792708696295,0.6654089581304771,0.35969907521352157,0.5066942551119766,0.3,0.057692307692307696,0.0967741935483871,0.17942054400554097,0.04617887946791533,"[[151, 7], [49, 3]]","[{'lower': 0.0, 'upper': 0.2, 'n': 47, 'mean_probability': 0.16302711759455096, 'observed_rate': 0.06382978723404255}, {'lower': 0.2, 'upper': 0.4, 'n': 141, 'mean_probability': 0.30544842511020753, 'observed_rate': 0.2978723404255319}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 19, 'mean_probability': 0.48086801083513275, 'observed_rate': 0.3157894736842105}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 3, 'mean_probability': 0.6101900049705121, 'observed_rate': 0.3333333333333333}]"
3,2022,return_above_1_percent,F_all_excluding_calendar,hist_gradient,210,0.24761904761904763,0.28860648416104334,0.636319376825706,0.348877693961032,0.49391431353456666,0.2,0.038461538461538464,0.06451612903225806,0.18150915372007204,0.044642104816845496,"[[150, 8], [50, 2]]","[{'lower': 0.0, 'upper': 0.2, 'n': 48, 'mean_probability': 0.16605708243475634, 'observed_rate': 0.10416666666666667}, {'lower': 0.2, 'upper': 0.4, 'n': 128, 'mean_probability': 0.28825028950367815, 'observed_rate': 0.2578125}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 33, 'mean_probability': 0.4583128736163398, 'observed_rate': 0.3939393939393939}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 1, 'mean_probability': 0.6162598311407681, 'observed_rate': 1.0}]"
4,2023,profitable_after_fees,A_all,dummy,216,0.3333333333333333,0.34911242603550285,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,0.22247120198872594,0.01577909270216954,"[[144, 0], [72, 0]]","[{'lower': 0.2, 'upper': 0.4, 'n': 216, 'mean_probability': 0.34911242603550285, 'observed_rate': 0.3333333333333333}]"
