feature_set,median_fold_rank_correlation,minimum_fold_rank_correlation
A_all,0.7218367346938774,0.4256122448979591
B_reduced,0.6966898954703834,0.395644599303136
C_price_trend,0.674901185770751,0.5385375494071146
D_price_trend_volatility,0.6602892102335929,0.44783092324805335
E_all_excluding_regime,0.5941171704075845,0.36245036868973346
F_all_excluding_calendar,0.7197617946345976,0.4401017576318224
