period,pair,regime,trades,win_rate_pct,return_pct,profit_usdt,average_trade_pct,profit_factor,expectancy_usdt,closed_subset_drawdown_pct,average_duration_hours,profit_factor_note
development,ALL,HIGH_VOLATILITY,0,,0.0,0.0,,,,0.0,,
development,ALL,LOW_VOLATILITY,33,15.151515151515152,-0.537026106,-5.37026106,-0.16240151455799337,0.7572489057815528,-0.16273518363636363,2.0736547348361536,21.15151515151515,
development,ALL,TREND_UP,44,29.545454545454547,-3.4756429180000006,-34.756429180000005,-0.7902502345790559,0.47877707534976394,-0.7899188450000001,4.27838077159017,38.0,
development,ALL,TREND_DOWN,3,66.66666666666666,-0.15501844999999997,-1.5501844999999999,-0.5179576807066022,0.4616312583170242,-0.5167281666666667,0.2876759901575901,44.666666666666664,
development,ALL,RANGE,137,37.95620437956204,3.5696137880000007,35.69613788000001,0.2604613964209148,1.294668330391182,0.26055575094890515,2.348345333023517,32.00729927007299,
development,BTC/USDT,HIGH_VOLATILITY,0,,0.0,0.0,,,,0.0,,
development,BTC/USDT,LOW_VOLATILITY,22,18.181818181818183,-0.19272991599999986,-1.9272991599999987,-0.08718785504233818,0.8590942965504905,-0.08760450727272721,1.2399732759654771,20.72727272727273,
development,BTC/USDT,TREND_UP,23,30.434782608695656,-2.1415132209999994,-21.415132209999992,-0.9319321436317508,0.39434552909619647,-0.9310927047826084,2.714415398999995,38.65217391304348,
development,BTC/USDT,TREND_DOWN,2,50.0,-0.247149824,-2.47149824,-1.2377988731852336,0.14166513886541282,-1.23574912,0.28794103000000176,46.5,
development,BTC/USDT,RANGE,68,36.76470588235294,0.8109792880000002,8.109792880000002,0.11920697308231694,1.1512779717429675,0.11926166000000003,1.226209240152439,33.779411764705884,
development,ETH/USDT,HIGH_VOLATILITY,0,,0.0,0.0,,,,0.0,,
development,ETH/USDT,LOW_VOLATILITY,11,9.090909090909092,-0.34429619,-3.4429619,-0.3128288335893038,0.5922866072371539,-0.31299653636363634,0.8402537997048272,22.0,
development,ETH/USDT,TREND_UP,21,28.57142857142857,-1.334129697,-13.34129697,-0.6350748103784847,0.5740843627712761,-0.6352998557142857,1.7328492047689925,37.28571428571429,
development,ETH/USDT,TREND_DOWN,1,100.0,0.092131374,0.92131374,0.9217247042506603,,0.92131374,0.0,41.0,no losing trades
development,ETH/USDT,RANGE,69,39.130434782608695,2.7586345000000003,27.586345,0.39966865420388087,1.4084959349520239,0.39980210144927536,1.8131319956863432,30.26086956521739,
validation,ALL,HIGH_VOLATILITY,8,37.5,-0.7905137200000001,-7.905137200000001,-0.9875033388204234,0.5684292073347383,-0.9881421500000002,1.4911104035060665,35.375,
validation,ALL,LOW_VOLATILITY,5,20.0,-0.190452328,-1.90452328,-0.38103752602074714,0.7234610959639324,-0.380904656,0.6852855261960896,34.0,
validation,ALL,TREND_UP,43,46.51162790697674,1.2326346860000001,12.326346860000001,0.2870616511195839,1.2260489234847936,0.2866592293023256,2.418708668233068,38.67441860465116,
validation,ALL,TREND_DOWN,3,33.33333333333333,-0.209964555,-2.09964555,-0.7001464308292442,0.26113914929929444,-0.69988185,0.2839626137972809,42.0,
validation,ALL,RANGE,146,32.87671232876712,-4.386198037,-43.86198037,-0.3010366904583495,0.7718892103540409,-0.30042452308219175,5.78593271532718,28.03424657534247,
validation,BTC/USDT,HIGH_VOLATILITY,3,66.66666666666666,0.08134589799999994,0.8134589799999994,0.27047239427168124,1.1766864206326277,0.27115299333333315,0.458114820827051,37.0,
validation,BTC/USDT,LOW_VOLATILITY,5,20.0,-0.190452328,-1.90452328,-0.38103752602074714,0.7234610959639324,-0.380904656,0.6852855261960896,34.0,
validation,BTC/USDT,TREND_UP,25,52.0,1.7463974100000001,17.4639741,0.6995820059819562,1.5884267170125097,0.6985589640000001,1.2779462309111964,38.72,
validation,BTC/USDT,TREND_DOWN,0,,0.0,0.0,,,,0.0,,
validation,BTC/USDT,RANGE,73,38.35616438356164,-1.865596745,-18.65596745,-0.2559246310519719,0.7869607280229141,-0.2555611979452055,4.2744333449609675,27.315068493150687,
validation,ETH/USDT,HIGH_VOLATILITY,5,20.0,-0.871859618,-8.71859618,-1.7422887786756862,0.36421672172417896,-1.743719236,1.0381416309999962,34.4,
validation,ETH/USDT,LOW_VOLATILITY,0,,0.0,0.0,,,,0.0,,
validation,ETH/USDT,TREND_UP,18,38.88888888888889,-0.513762724,-5.1376272400000005,-0.28588328618926623,0.7932582277594006,-0.28542373555555556,1.6668318286375179,38.61111111111111,
validation,ETH/USDT,TREND_DOWN,3,33.33333333333333,-0.209964555,-2.09964555,-0.7001464308292442,0.26113914929929444,-0.69988185,0.2839626137972809,42.0,
validation,ETH/USDT,RANGE,73,27.397260273972602,-2.5206012920000003,-25.206012920000003,-0.3461487498647273,0.7592850474749959,-0.34528784821917813,2.636019290660709,28.753424657534246,
