strategy,session_utc,count,net_usdt,profit_factor,expectancy_usdt,win_rate_pct,mean_mfe_pct,mean_mae_pct,mean_forward_1h_pct,mean_forward_3h_pct,mean_forward_6h_pct,mean_forward_12h_pct,mean_forward_24h_pct,mean_forward_48h_pct
AlphaBreakout,Americas,183,117.23273476999998,1.512421017155812,0.6406160369945354,49.18032786885246,2.8327527790671834,-1.9432368179518242,0.07343833686614183,0.2012398412056401,0.27261861858246694,0.3300323715350562,0.19701189592446858,1.2165291897580783
AlphaBreakout,Asia,169,46.34757947,1.1752974104372527,0.2742460323668639,43.19526627218935,2.795830593537415,-2.047507270300901,0.17548691651612944,0.10191580585053904,0.002326113884160974,0.1128959964341018,0.4105671463058483,0.704865397104291
AlphaBreakout,Europe,133,123.44220496,1.7910386185481886,0.9281368793984962,54.13533834586466,3.1817303710509406,-1.9881928545227052,0.17971231396156057,0.263422461105633,0.5704880425786495,1.010826783212545,1.351810700489692,1.2139705968991226
LabBaseline,Americas,274,8.637238229999994,1.021763329265263,0.0315227672627737,39.78102189781022,2.5054791209453655,-2.0193139518000787,0.08345278813574632,0.1876920664524806,0.20728537962373833,0.33890048324520006,0.5869646015336175,0.3771901146013587
LabBaseline,Asia,304,-124.82444639999997,0.741489866392892,-0.4106067315789473,29.93421052631579,2.217225634661011,-2.251589162451577,0.007966239835289131,0.036172210233699674,-0.13046545097338702,-0.13269101476549988,0.02879139587364254,0.3335249069968495
LabBaseline,Europe,271,-4.9044513799999905,0.987717139208344,-0.01809760656826565,35.05535055350554,2.328465444861302,-2.0187508187469687,0.017908793228810532,0.2391764644145012,0.263216283973597,0.4229257941061353,0.23899822074225663,0.24875532563849923
V2CompressionBreakout,Americas,23,3.3096589299999986,1.1241190753820207,0.14389821434782601,26.08695652173913,1.9826134256384824,-1.4430971285208127,0.12089302258204318,0.07627848238467633,0.5660093539483997,0.07974894634017411,0.013157730133588246,-0.7121556189878337
V2CompressionBreakout,Asia,24,4.39703561,1.1907315681599178,0.1832098170833333,29.166666666666668,2.1417270574403817,-1.3681875293486432,0.10374130288006063,0.40591483642857157,0.2942069051346039,0.6894946858415939,0.043338276492064606,0.6760383823989486
V2CompressionBreakout,Europe,30,-7.01690377,0.7620611618516605,-0.23389679233333333,16.666666666666664,2.243495672377534,-1.351938429469796,0.08826363215426625,0.2213699203251122,-0.22558096697934035,-0.09450688974669053,-0.3771800177721474,-0.8918596898309332
V2RegimeAdaptive,Americas,29,0.7927750600000001,1.0349711126434382,0.02733707103448276,55.172413793103445,1.4306720277836844,-1.5236035217132893,-0.24582895935147492,0.009380463410462706,0.3504352482958428,-0.4579950178254384,0.48321576385275805,-0.12016053818790094
V2RegimeAdaptive,Asia,27,-9.27085881,0.6545334450764052,-0.3433651411111111,55.55555555555556,1.1805108651820018,-1.5318564744203842,-0.010378181880863233,0.15082735128639616,-0.16427096514493117,-0.34114542316234703,0.41797701578307833,0.3184264687773503
V2RegimeAdaptive,Europe,28,-1.7043937200000003,0.8966803989413636,-0.0608712042857143,50.0,0.9591565362523526,-1.2616361692218938,0.007191478482312148,0.004463525307377544,0.20739793384833483,0.19577449859276447,1.1058585236824792,1.5762843550937415
V2TrendPullback,Americas,69,2.0876838400000004,1.0228603241295984,0.03025628753623189,31.88405797101449,2.3711693739450865,-1.8217497598199879,-0.12045172539601137,0.004698767954070786,-0.19774903257274842,0.10832072564995696,0.049914562578840374,-0.0025943683041812415
V2TrendPullback,Asia,69,6.332514600000002,1.0620991953294063,0.09177557391304351,31.88405797101449,2.694772005289356,-1.9090803904764964,0.10371917600497534,0.089956414597045,-0.04204843275430727,-0.30200152759393945,0.1234956232394292,0.26307286093700055
V2TrendPullback,Europe,90,24.259335739999997,1.1782192819363546,0.2695481748888889,36.666666666666664,2.696679038952666,-2.1188246041959795,-0.06105547350082717,0.010308659040842624,0.10935531947270037,0.019203333561710702,0.10590915033427463,0.34754923713661934
