strategy,entry_regime,count,net_usdt,profit_factor,expectancy_usdt,win_rate_pct,mean_mfe_pct,mean_mae_pct,mean_forward_1h_pct,mean_forward_3h_pct,mean_forward_6h_pct,mean_forward_12h_pct,mean_forward_24h_pct,mean_forward_48h_pct
AlphaBreakout,HIGH_VOLATILITY,72,-29.387391819999998,0.8196393932101267,-0.4081582197222222,43.05555555555556,3.2981444492211436,-2.944670908115625,-0.16365121021219162,-0.3878942398082861,-0.6147726951714793,-0.9147990256245735,-1.1189009735709723,0.07091558371789494
AlphaBreakout,LOW_VOLATILITY,1,-0.67463894,0.0,-0.67463894,0.0,0.20266705822518105,-0.5847918592141843,0.02616968733142322,-0.21592952420311784,-0.2985238993781558,-0.3367126965020728,-0.056720725030601216,-1.2194363807203956
AlphaBreakout,RANGE,164,49.18684073,1.237294509506582,0.2999197605487805,42.68292682926829,2.6381658712228777,-1.787454909990081,0.1627953465941225,0.12934742067425192,0.17093955968164326,0.17694468744999045,0.35078138469280457,0.8560359327544417
AlphaBreakout,TRANSITIONAL,139,183.52415931000002,2.4124216136314915,1.3203176928776978,58.27338129496403,3.0022281056150844,-1.505873229626265,0.23927143227121175,0.5353226914430556,0.8171771797868708,1.4166339006035278,1.5095371546815246,1.705252879942738
AlphaBreakout,TREND,109,84.37354991999997,1.5685638304916094,0.7740692653211007,48.62385321100918,2.9946907455385006,-2.3028498588769963,0.1724568239947636,0.198232414180368,0.2669511218672949,0.4971239557002711,0.9036112575851734,1.118336277919264
LabBaseline,HIGH_VOLATILITY,135,-105.81493927,0.6766982359816957,-0.783814364962963,36.2962962962963,2.478181846923947,-2.784442403317247,-0.13402562389126976,-0.02166366385290014,-0.15645428585120932,0.025548065327498155,0.44917217357133016,0.5591709972316062
LabBaseline,LOW_VOLATILITY,7,-0.6129319300000005,0.890870824575872,-0.08756170428571435,14.285714285714285,1.056254814800114,-1.1133405558478684,-0.029442414001999505,-0.11783091445977428,-0.2307880914613647,-0.23995351448985272,-0.21599978448848903,0.3413332449713091
LabBaseline,RANGE,464,-6.790423259999995,0.9885409692014318,-0.014634532887931024,33.83620689655172,2.1958978577245594,-1.8493413328130572,0.08492084750561545,0.18469969374468087,0.22171681605843266,0.26229715574245116,0.291922850393451,0.2772834285855667
LabBaseline,TRANSITIONAL,200,6.240111450000004,1.0217262783588696,0.03120055725000002,36.0,2.556596198773174,-2.205093538797395,0.05255802797638498,0.2231885642386805,0.019662146034145733,0.16734089676997516,0.043678956204626626,0.2837864129247863
LabBaseline,TREND,43,-14.11347654,0.7871769786064517,-0.3282203846511628,37.2093023255814,2.776461136191311,-2.3732652450099683,-0.034284625358537234,0.015159075615026118,0.10218891279163553,0.22156513903171873,0.7066243477438368,0.20919913792360917
V2CompressionBreakout,HIGH_VOLATILITY,6,3.1910692299999988,1.3627964797390004,0.5318448716666665,33.33333333333333,2.4117693833151765,-1.895448673069583,-0.158852374113444,1.014376077982243,1.0783988572443761,2.0167022905067538,0.829823110161045,-0.07525351840101946
V2CompressionBreakout,RANGE,59,2.379667809999998,1.0407998572213026,0.040333352711864376,23.728813559322035,2.158981019746771,-1.32438227004992,0.1062792629103845,0.12532383412128859,0.005350884338010929,0.03779536775949778,0.024633901083887622,-0.6268848105646689
V2CompressionBreakout,TRANSITIONAL,11,-4.70141641,0.6052018794662788,-0.4274014918181818,18.181818181818183,1.8706004446876714,-1.4906446848657142,0.2449604049850204,0.3994503045059661,0.507084247431859,-0.017914626104172233,-1.5328232010260456,0.9858492227324468
V2CompressionBreakout,TREND,1,-0.17952986,0.0,-0.17952986,0.0,1.8793269830653436,-0.6775500395543754,-0.09368696873081062,0.2631427482715276,0.9477298135041279,1.413811979916546,0.45606228208852073,-0.317065270408734
V2RegimeAdaptive,HIGH_VOLATILITY,6,-1.8031880000000005,0.8220366966563409,-0.30053133333333343,50.0,2.1759039119868913,-3.053962713232718,-0.3794143645117857,-0.10772777317878031,-0.2509932376743703,-1.7032253030098865,0.7196209721445395,5.884700471347345
V2RegimeAdaptive,RANGE,61,4.592092169999999,1.1265212717619768,0.0752801995081967,57.377049180327866,1.1738932910528956,-1.2059716488766319,-0.020388755823872305,0.15118720296447363,0.28132773202962025,0.23200952730479096,0.7258035128918,0.17060733704876344
V2RegimeAdaptive,TRANSITIONAL,17,-12.97138164,0.33732033848525894,-0.7630224494117648,41.17647058823529,0.915102997326988,-1.7048466362575256,-0.21692288483202443,-0.2415707123245602,-0.24238729049064342,-1.2320191370150946,0.4512314777479696,0.12233039056323211
V2TrendPullback,HIGH_VOLATILITY,41,-17.49375113,0.8093529831599707,-0.42667685682926826,36.58536585365854,3.0389416380419605,-2.4863500060950336,0.1487898152736414,0.22952404800326928,-0.07202768967988364,-0.843887142947913,-1.1324579660751766,-1.376914184123128
V2TrendPullback,RANGE,96,-9.76997128,0.9203802065363301,-0.10177053416666666,25.0,2.2380505300151827,-1.7593899188389888,-0.04788234302231925,0.06329688459240633,0.17077277276659972,0.2789051977622301,0.039540273937272,0.9117686790575609
V2TrendPullback,TRANSITIONAL,44,26.599691630000002,1.4846360543949266,0.6045384461363636,43.18181818181818,2.6676203516979533,-1.932031450292153,-0.1520429843471661,-0.07977712718259003,-0.3435877857705201,-0.3116481211968109,0.5605346102583562,-0.07658001098492138
V2TrendPullback,TREND,47,33.343564959999995,1.555127278806255,0.7094375523404254,40.42553191489361,2.881410960787842,-1.9631984782298204,-0.031134568252282384,-0.09612354006953752,-0.10696244020934609,0.21066629563338707,0.8397556130059951,0.4584182165280684
