strategy,trades,mean_realized_net_pct,mean_mfe_pct,mean_mae_pct,mean_giveback_pct,profitable_intratrade_closed_negative_count,profitable_intratrade_closed_negative_pct,stoploss_count,stoploss_recovered_24h_count,stoploss_recovered_24h_pct,structural_exit_count,structural_continuation_24h_count,structural_continuation_24h_pct,mean_time_to_mfe_hours,mean_time_to_mae_hours
AlphaBreakout,485,0.5915369342354327,2.915586120055449,-1.9918983835413524,2.1226647274809,241,49.69072164948454,46,14,30.434782608695656,261,181,69.34865900383141,12.903092783505155,9.911340206185567
LabBaseline,849,-0.1427124071136698,2.345762082018128,-2.1023045937089866,2.288559999438743,491,57.83274440518257,115,37,32.17391304347826,514,348,67.70428015564202,12.647820965842167,13.534746760895171
V2CompressionBreakout,77,0.00949503795971843,2.133849718695848,-1.3842323057719481,1.924135471465361,51,66.23376623376623,0,0,,65,33,50.76923076923077,5.428571428571429,4.51948051948052
V2RegimeAdaptive,84,-0.12124718853980777,1.193091252151271,-1.4389338056815324,1.1143809779357388,27,32.142857142857146,0,0,,83,64,77.10843373493977,4.095238095238095,3.392857142857143
V2TrendPullback,228,0.14287987337988334,2.59759240646016,-1.9654451524039278,2.254226287352251,136,59.64912280701754,8,4,50.0,164,132,80.48780487804879,10.855263157894736,7.62280701754386
