strategy,trades,mean_first_1h_adverse_pct,mean_first_3h_adverse_pct,immediate_adverse_any_pct,first_1h_close_negative_pct
AlphaBreakout,485,-0.7927927016257518,-1.16044919756928,97.9381443298969,51.340206185567006
LabBaseline,849,-0.5044990562695223,-0.8828955246794985,98.82214369846879,50.294464075382805
V2CompressionBreakout,77,-0.5557245056541995,-0.798809994447938,97.40259740259741,51.94805194805194
V2RegimeAdaptive,84,-0.5526666448320273,-0.94142022780964,100.0,65.47619047619048
V2TrendPullback,228,-0.6821928615544567,-1.140104218474209,98.68421052631578,60.526315789473685
