strategy,day_of_week,count,net_usdt,profit_factor,expectancy_usdt,win_rate_pct,mean_mfe_pct,mean_mae_pct,mean_forward_1h_pct,mean_forward_3h_pct,mean_forward_6h_pct,mean_forward_12h_pct,mean_forward_24h_pct,mean_forward_48h_pct
AlphaBreakout,Friday,51,67.16718900999999,2.3952308900606702,1.3170037060784312,58.82352941176471,3.2008900187113567,-1.7611598213088824,0.461701872034521,0.369755180069761,0.30284164777945893,0.7602370839370703,1.120696411051557,1.3105451704894693
AlphaBreakout,Monday,109,112.39286774000001,2.017956634325757,1.0311272269724772,53.21100917431193,3.0742246553928743,-1.814356312083689,0.2225807407247065,0.36225467708884707,0.6676377855574025,1.1046240821030406,0.7724570066642442,0.8470927603825519
AlphaBreakout,Saturday,50,-8.051709630000005,0.914552437083717,-0.1610341926000001,40.0,2.54254449121027,-2.1267869107132436,0.21317334353815376,0.4264159763402737,0.24476356560833912,0.18149593361225635,-0.16591422299047176,1.5614409562771916
AlphaBreakout,Sunday,59,7.379381829999996,1.0793256909199633,0.1250742683050847,42.3728813559322,2.8550158342101195,-2.2957367164130624,-0.07249671727006242,-0.30960324960285807,-0.10545002846240133,-0.2009705365291459,0.6373072808894052,1.539723004004818
AlphaBreakout,Thursday,67,-3.7273099300000077,0.9658137294969824,-0.055631491492537426,41.7910447761194,2.661082259854444,-2.348065857397304,-0.00854385385248705,0.07281278101008369,-0.10543701481631627,-0.5165543962099246,-0.2743381062821367,0.8085664205001388
AlphaBreakout,Tuesday,64,41.159925599999994,1.4987312664410994,0.6431238374999999,48.4375,3.1032809216216752,-1.791092220331346,0.15273939228090255,0.29712433402629446,0.5013060173591601,0.6831368037843208,1.40882915433804,1.285602751636401
AlphaBreakout,Wednesday,85,70.70217458,1.6320533653387541,0.8317902891764707,50.588235294117645,2.8617381254334657,-1.9382188325037935,0.04242238030621959,0.04463476087502089,0.08122183209455791,0.5695299694588255,0.5033727761797694,0.4548945566928583
LabBaseline,Friday,110,-16.566566329999997,0.895030244232998,-0.15060514845454542,31.818181818181817,2.4504389047126205,-2.111883387291379,0.012215103678077805,0.15302815694801256,0.39380880603859336,0.5335727155743647,0.2893190497956883,0.41672104936675924
LabBaseline,Monday,137,11.723119310000003,1.0613287044991564,0.08557021394160585,42.33576642335766,2.4252369776370934,-2.222521383616705,0.004455288387180687,0.10800651964208612,0.040472628109624646,0.2797877060247124,0.48325353925832043,0.6491520280433661
LabBaseline,Saturday,119,-44.657734059999996,0.7202220976920735,-0.37527507613445377,25.210084033613445,2.0368826914615825,-1.8088003947524296,-0.07121459887025462,0.10051391835510337,-0.2630327670992396,-0.1533078671384505,0.3492001611919299,-0.19183815070930213
