strategy,volatility_bucket,count,net_usdt,profit_factor,expectancy_usdt,win_rate_pct,mean_mfe_pct,mean_mae_pct,mean_forward_1h_pct,mean_forward_3h_pct,mean_forward_6h_pct,mean_forward_12h_pct,mean_forward_24h_pct,mean_forward_48h_pct
AlphaBreakout,0-20,91,93.8490167,2.009747815803854,1.0313078758241758,48.35164835164835,2.753044624801504,-1.4243336518356375,0.26403976763429815,0.4341408190593953,0.5409718572965824,0.8301359900082119,0.9539834345876704,1.399452214105482
AlphaBreakout,20-40,98,30.318756190000006,1.2269655326341136,0.30937506316326535,41.83673469387755,2.5790070564652963,-1.984374441153915,0.09546765976354005,0.13463167416236213,0.2659017966916451,0.44377104565548364,0.2594329527588784,0.4928355794800579
AlphaBreakout,40-60,95,47.27696775000001,1.3747996282694845,0.4976522921052633,47.368421052631575,3.0180304018955812,-1.953150860352977,0.2991759279528349,0.32120209168075653,0.503596666029189,0.5614975953267304,0.7492157292060478,0.7962113511960608
AlphaBreakout,60-80,91,99.62541830999999,2.0154712502458647,1.0947848165934064,58.24175824175825,3.0709880036587,-2.0236701502171464,0.11110623117909102,0.2676375935409928,0.26663492233981484,0.5891631730073666,1.2211411557422633,1.4185651499679592
AlphaBreakout,80-100,110,15.952360249999996,1.0803832305613748,0.1450214568181818,47.27272727272727,3.132879266575773,-2.475312209673964,-0.044705340088611545,-0.16803717152542041,-0.193045874413557,-0.10975225735588594,-0.08460375927248606,1.1166148903689301
LabBaseline,0-20,265,-34.2148809,0.9051782875409848,-0.12911275811320755,28.30188679245283,1.9983479076184518,-1.7741794968676665,0.04261833139189863,0.16652249397882843,0.09044366735343788,0.021820189481415116,0.10609427328678628,-0.09417346262554706
LabBaseline,20-40,190,30.17387144000002,1.126402332571474,0.15880984968421064,37.368421052631575,2.35273401050821,-1.946594213883867,0.07680846398064568,0.2756202406442708,0.2616129899892525,0.43043234534854297,0.6409536741196332,0.5522520426209144
LabBaseline,40-60,118,-5.793075670000006,0.9688550094069648,-0.04909386161016954,38.983050847457626,2.6483880537702698,-2.2738384448939684,0.11825554543104784,0.2560579198879199,0.3695398464797438,0.8864583175970207,0.8290795228628772,0.9664821106786098
LabBaseline,60-80,148,14.526170710000008,1.0677970150170986,0.09814980209459465,42.567567567567565,2.6814836283658643,-2.314815119476183,0.016954525426950553,0.17382774892822705,0.08571236853814268,0.11355800882803262,0.3644018175127615,0.8704017166859876
LabBaseline,80-100,128,-125.78374513000001,0.5495084744046207,-0.9826855088281251,31.25,2.3875076779289137,-2.608910613836718,-0.09538911152420392,-0.19685037530936672,-0.3242098632580819,-0.33000557885300474,-0.5279331101671701,-0.4046520562664729
V2CompressionBreakout,0-20,32,17.362653299999998,1.6254093326474304,0.5425829156249999,28.125,2.4469922878676083,-1.1572310795700005,0.231280583344386,0.2541724432085505,0.3695146523744797,0.33326504469392976,-0.1247504179829266,-0.40093969674977054
V2CompressionBreakout,20-40,15,0.12439878000000038,1.0080525090623091,0.008293252000000025,26.666666666666668,1.9360546448328277,-1.3894263172930847,0.18764091602606836,0.48919549092278247,0.2443848737004628,0.447275481183258,0.8507618248124094,0.2940767645452502
V2CompressionBreakout,40-60,15,-5.985051729999999,0.5464816134365245,-0.3990034486666666,20.0,2.098353347193889,-1.3344989061920705,-0.027547843260609845,0.246643891299078,-0.027151782314344487,0.2133013972079456,-0.6398594933873211,-0.3686902863365549
V2CompressionBreakout,60-80,9,-10.206563280000001,0.3703772889334791,-1.1340625866666667,11.11111111111111,1.2779827261006484,-2.0006358485056457,-0.26542108958564287,-0.3707051311775832,-0.6274504135691947,-1.1314148961473733,-1.040482889696908,-1.9770520206201219
V2CompressionBreakout,80-100,6,-0.6056463000000002,0.9081106591471833,-0.10094105000000003,16.666666666666664,2.3307851187517064,-1.7816486682286414,0.08410913348416518,0.3837826739138942,0.6459733883351841,0.8594151654790161,0.03669505117785965,0.8053820923949869
V2RegimeAdaptive,0-20,24,-17.751600850000003,0.35500202080354126,-0.7396500354166667,41.66666666666667,0.9336104772822854,-1.5237066725805124,-0.09688528479834119,0.10727228829371706,-0.007616094181923013,-0.4369178844878238,0.5362779645851944,0.1183579171263054
V2RegimeAdaptive,20-40,26,5.0431620200000005,1.5011349088974402,0.19396777,57.692307692307686,1.0968341509672204,-1.040863040758952,0.12254371549519018,0.16594625002878116,0.25862643138498564,0.2954856828914204,0.31640297344484125,1.0455031838902817
V2RegimeAdaptive,40-60,19,11.39370387,2.465114653634274,0.5996686247368421,73.68421052631578,1.5227353075929742,-1.1318480560747648,-0.014914178687125119,0.1813757859577071,0.5679898315074094,0.621087056974089,1.9377653270642694,0.9574213291412029
V2RegimeAdaptive,60-80,10,-0.047693710000000555,0.9934968740423069,-0.004769371000000055,50.0,1.2739509584356368,-1.5928285775671613,-0.4371611321505886,-0.1923601509356032,0.09589897519798662,0.2901143939263495,1.3034879462950244,0.4855767372232677
V2RegimeAdaptive,80-100,5,-8.8200488,0.3371103045987753,-1.76400976,20.0,1.524769074432264,-3.961128326898318,-0.6827596771249667,-0.7884650422790472,-1.3515698433688894,-5.781898506192804,-2.937378779159876,-0.8704811194267115
V2TrendPullback,0-20,63,3.150900190000005,1.0378424617315396,0.05001428873015881,33.33333333333333,2.457729835294939,-1.75152986343837,0.003536980921671859,0.008595040243453497,0.016554697248106008,-0.28218645014389304,-0.34163388038216425,-0.8152676402508879
V2TrendPullback,20-40,45,16.11078737,1.2727999197777824,0.35801749711111114,37.77777777777778,2.658005323791917,-1.9062955042049357,0.17093899832145043,0.09077983560731577,0.15337212819970247,0.6921884451600284,0.9708605794125795,1.8804290486379007
V2TrendPullback,40-60,47,24.780872750000004,1.4340218729501413,0.5272526117021278,36.17021276595745,2.7486863813326403,-1.6677922122152462,0.1119117582704613,0.4694971093531535,0.24699788281525953,0.5058079790305632,0.5703592977640741,1.2186283306479953
