strategy,fee_each_side_pct,count,net_usdt,profit_factor,expectancy_usdt,win_rate_pct,mean_mfe_pct,mean_mae_pct
AlphaBreakout,0.1,485,286.73578342248254,1.4420989803464141,0.591207800871098,48.45360824742268,2.915586120055449,-1.9918983835413524
AlphaBreakout,0.15,485,238.0185370532697,1.3535846031048264,0.4907598702129272,47.42268041237113,2.915586120055449,-1.9918983835413524
AlphaBreakout,0.2,485,189.349910690419,1.271222699548685,0.39041218699055463,46.18556701030928,2.915586120055449,-1.9918983835413524
AlphaBreakout,0.25,485,140.72983158579058,1.194462982725351,0.2901646012078156,45.154639175257735,2.915586120055449,-1.9918983835413524
LabBaseline,0.1,849,-120.97068884614475,0.9053249805089015,-0.14248608815800323,34.746760895170794,2.345762082018128,-2.1023045937089866
LabBaseline,0.15,849,-205.63242686220738,0.8456363632860633,-0.24220544977880729,34.04004711425206,2.345762082018128,-2.1023045937089866
LabBaseline,0.2,849,-290.20967212574936,0.7907509192985055,-0.34182529107862114,33.686690223792695,2.345762082018128,-2.1023045937089866
LabBaseline,0.25,849,-374.7025510598413,0.7401777760392669,-0.44134576096565525,32.744405182567725,2.345762082018128,-2.1023045937089866
V2CompressionBreakout,0.1,77,0.6891016672336903,1.0087084801940995,0.008949372301736237,23.376623376623375,2.133849718695848,-1.3842323057719481
V2CompressionBreakout,0.15,77,-7.000289362606057,0.9176774223623525,-0.09091284886501372,22.07792207792208,2.133849718695848,-1.3842323057719481
V2CompressionBreakout,0.2,77,-14.6820063495009,0.8385558068739254,-0.19067540713637532,22.07792207792208,2.133849718695848,-1.3842323057719481
V2CompressionBreakout,0.25,77,-22.356060775809553,0.7691505621174706,-0.29033845163389027,22.07792207792208,2.133849718695848,-1.3842323057719481
V2RegimeAdaptive,0.1,84,-10.172305192506593,0.8457235791596529,-0.12109887133936421,53.57142857142857,1.193091252151271,-1.4389338056815324
V2RegimeAdaptive,0.15,84,-18.54970094513236,0.7341068605325027,-0.22082977315633764,53.57142857142857,1.193091252151271,-1.4389338056815324
V2RegimeAdaptive,0.2,84,-26.918736023353215,0.6350598199822025,-0.32046114313515733,50.0,1.193091252151271,-1.4389338056815324
V2RegimeAdaptive,0.25,84,-35.27942293690685,0.5477161977838525,-0.419993130201272,46.42857142857143,1.193091252151271,-1.4389338056815324
V2TrendPullback,0.1,228,32.64688723246994,1.0992037448148213,0.143188101896798,33.771929824561404,2.59759240646016,-1.9654451524039278
V2TrendPullback,0.15,228,9.850095586170582,1.028641108108573,0.04320217362355518,33.33333333333333,2.59759240646016,-1.9654451524039278
V2TrendPullback,0.2,228,-12.923944771058054,0.9639896617698794,-0.05668396829411427,32.01754385964912,2.59759240646016,-1.9654451524039278
V2TrendPullback,0.25,228,-35.67526788104516,0.9046253872433497,-0.15647047316247875,31.57894736842105,2.59759240646016,-1.9654451524039278
