strategy,duration_bucket,count,net_usdt,profit_factor,expectancy_usdt,win_rate_pct,mean_mfe_pct,mean_mae_pct,mean_forward_1h_pct,mean_forward_3h_pct,mean_forward_6h_pct,mean_forward_12h_pct,mean_forward_24h_pct,mean_forward_48h_pct
AlphaBreakout,12-24h,169,32.953831629999996,1.1351158318537904,0.1949930865680473,40.23668639053255,2.5222223314516965,-2.0117268439676423,0.14167619242988233,0.18680373288678376,0.2770921660000656,0.48600742148822595,0.14031473138301334,0.5952329361083283
AlphaBreakout,24-48h,143,92.31178197,1.6780975649186554,0.6455369368531468,48.25174825174825,3.2257944442801794,-1.8235751150008594,-0.062300906529096374,0.0012399851361966706,0.16023292862730343,0.3934947466398416,0.9547534842707669,1.290048625638463
AlphaBreakout,6-12h,71,56.508457539999995,1.4231507962333092,0.795893768169014,53.52112676056338,2.6853607820857355,-2.2045450028093825,0.18970310291173492,0.22598384606152538,0.6959666036182007,0.9286172284578423,1.827109756038068,1.8744303557118005
AlphaBreakout,<6h,53,50.17776614,1.4785098888485046,0.9467503045283019,58.490566037735846,3.231078330021698,-2.0353730228522453,0.654433006062312,0.6768393175581608,0.0885609672029695,0.11015065686758804,-0.44389132082584837,0.6557396174830425
AlphaBreakout,>48h,49,55.07068192,2.7882715832628127,1.123891467755102,59.183673469387756,3.3593330951072087,-2.059595357780945,0.07775766897127209,0.11064007802304127,0.04710173762469235,0.07633670449082643,0.3834358635839461,1.0264307872079608
LabBaseline,12-24h,202,-105.30758416,0.7289256935452395,-0.521324674059406,31.18811881188119,1.9866186974128526,-2.4741118906648762,0.003642885053240942,0.07962337749864214,-0.05384397062668256,-0.3381578160372423,-0.301556000756993,-0.31417476802834204
LabBaseline,24-48h,334,-25.41248587,0.9450347341174219,-0.07608528703592815,33.23353293413174,2.7954752727675167,-2.2327842276302228,0.07592840456041068,0.22278115875522167,0.3368168798797623,0.42333048116787503,0.4426510313540485,0.27261350390620026
LabBaseline,6-12h,105,-77.22122395999999,0.6467022302734796,-0.735440228190476,27.61904761904762,1.559225611208009,-2.3208202002716085,-0.04172881339690108,-0.11234974570751166,-0.3406619226914835,-0.47751228769570336,-0.39982659551204924,-0.059486905241817024
LabBaseline,<6h,106,-32.26124676999999,0.7990854727149814,-0.30435138462264144,33.0188679245283,1.0690807268706242,-1.2213489965738764,-0.04259606923138948,0.20740239570548455,0.13746648897005012,0.9852963988958336,0.7792704511619704,0.9277394301135252
LabBaseline,>48h,102,119.11088121000002,3.4278497517354776,1.1677537373529414,55.88235294117647,3.720833759083495,-1.6292838377527499,0.12688081044509908,0.26039254951854723,0.07886282467028578,0.3808430009409497,1.035470748386796,1.4920934987238104
V2CompressionBreakout,12-24h,24,34.33405298,6.405126308715407,1.4305855408333334,45.83333333333333,3.371307359761735,-0.8190351041659758,0.26790845234308475,0.668064572245446,1.2043986486382967,1.9658313859956729,1.2250714618148912,0.5359618658378122
V2CompressionBreakout,24-48h,5,20.898987400000003,61.419509219480894,4.17979748,80.0,5.004312064229959,-0.5799921625388893,0.0849522051200724,0.7077735940846308,1.0150723997108901,2.1405389872937697,3.337070926417067,5.69267579090537
V2CompressionBreakout,6-12h,26,-36.870722089999994,0.1395740602376235,-1.4181046957692305,3.8461538461538463,1.2944476757089967,-1.9591237936704,0.24336634258620937,0.12676790293371953,-0.30246664905527443,-1.5422715072743047,-2.0029572202371986,-1.9960408471496154
V2CompressionBreakout,<6h,22,-17.672527520000003,0.40414992174616765,-0.8032967054545456,9.090909090909092,1.1235387188961343,-1.5041757089241699,-0.23926586526997295,-0.2150420182592695,-0.5820474925351345,-0.10166806716416031,-0.1810380042617228,-0.742720475582625
V2RegimeAdaptive,12-24h,16,11.644975979999998,3.479202847330637,0.7278109987499999,68.75,1.659485013452397,-1.738069716163118,-0.13317275860921657,-0.05493196590347846,0.23979979075516022,0.17936245293721786,1.5919567980098464,2.6782560300974056
V2RegimeAdaptive,24-48h,3,0.46064998,4.870312554743311,0.15354999333333333,33.33333333333333,0.8190443718655294,-1.007394142232402,-0.3136017823780479,-0.4545814286095758,-0.07958394541375999,-0.12379931705466991,-0.22902164882733592,2.19196813860153
V2RegimeAdaptive,6-12h,26,-14.328760389999998,0.5222649341650366,-0.5511061688461537,50.0,1.2569879454746875,-1.7139371383151907,-0.13277024360101713,0.036027821119288386,0.0432952587722084,-0.7841079936180884,0.39020695259991367,-0.3629863835390692
V2RegimeAdaptive,<6h,39,-7.9593430399999985,0.7448300312164352,-0.20408571897435893,51.28205128205128,0.987925263269999,-1.1660711845063267,-0.017545987588802197,0.14808418008783514,0.17463401911540954,0.02249514247474725,0.5470012987617752,0.1876716750816411
V2TrendPullback,12-24h,76,44.91621363,1.5144533841465901,0.5910028109210527,35.526315789473685,2.9427346285283815,-1.6829763873301058,-0.006228594941200625,0.3172499585170087,0.4954169159127143,0.7701831324842968,1.0728182874438437,0.33274027869332373
V2TrendPullback,24-48h,49,74.15513509,3.518553254108354,1.513370103877551,51.02040816326531,3.6674955585649025,-1.6247837052775598,0.02852607711999104,0.19386351063860624,0.31041804763934017,0.8439525453199539,1.3697595374542693,2.560452327921689
V2TrendPullback,6-12h,56,-89.46669278,0.3194640355209919,-1.5976195139285714,12.5,1.5581349957346002,-2.5650706933092846,-0.09081687303084852,-0.07402001500570624,-0.4376656538036142,-1.3125093393858114,-1.6372831377002006,-2.177653298830558
V2TrendPullback,<6h,35,-38.35454303,0.5227873187971427,-1.0958440865714287,20.0,1.2445459448879699,-2.3469861379879315,-0.04221164415649633,-0.6381151661676391,-1.015596947428068,-1.296370031507962,-1.278753459137415,-0.1725818713087476
V2TrendPullback,>48h,12,41.42942126999999,50.96726365214444,3.4524517724999995,91.66666666666666,4.8401072252385635,-1.2343678414591321,-0.084232554266613,0.027319141442114225,0.04074612285558388,0.6125171671099151,0.7740788292978955,2.2075810262851925
