strategy,hour_utc,count,net_usdt,profit_factor,expectancy_usdt,win_rate_pct,mean_mfe_pct,mean_mae_pct,mean_forward_1h_pct,mean_forward_3h_pct,mean_forward_6h_pct,mean_forward_12h_pct,mean_forward_24h_pct,mean_forward_48h_pct
AlphaBreakout,0,29,-10.047682700000005,0.8059957334867074,-0.3464718172413795,34.48275862068966,2.2528485104064506,-2.3176443078029423,0.0819631699903856,-0.015490210308794132,0.19576479472171007,-0.15026643927752398,-0.31507877336481477,-0.42870445924097406
AlphaBreakout,1,44,-9.272402369999998,0.8884402633124143,-0.21073641749999997,40.909090909090914,2.986377470541506,-2.044264528255151,0.36205124212235557,0.2616699247852683,0.23794281778252233,-0.07274562201389652,-0.9106906185353814,-0.7028549334849249
AlphaBreakout,2,23,4.9091463,1.13919308370684,0.21344114347826085,39.130434782608695,2.659442753710945,-2.0018212606027785,-0.1572501187223002,-0.3750846132648697,-0.5576806933954054,-0.5354526741950935,0.42004366606614507,1.4451168145740187
AlphaBreakout,3,19,10.170230309999999,1.390275623200154,0.5352752794736841,42.10526315789473,2.6879638879934,-1.6401401897607935,0.24396808507191645,0.5022379162624397,0.36336048304163154,-0.2474052523873145,0.5599450089363789,0.6320235537446014
AlphaBreakout,4,16,7.166065669999998,1.2856535440908545,0.4478791043749999,43.75,2.8973321302950246,-2.515351513453671,0.32137447472642067,0.12918171492568437,-0.8420683114934345,-0.18200160103512622,-0.09178900305603158,1.4506050255367775
AlphaBreakout,5,18,5.886865500000003,1.2129024684062055,0.3270480833333335,50.0,2.8100166512298075,-2.4659720436046046,-0.0013444058552451268,-0.09749772129118181,-0.4295549124562808,0.08812795086711796,0.7337053739100294,1.6618521684273857
AlphaBreakout,6,8,19.37452553,4.4324777836669425,2.42181569125,62.5,3.686452657346062,-1.4654529039929087,0.5076237079265897,-0.2957778248279627,-0.5005209550535544,0.4990128226661991,1.5592387052922638,2.436100919737046
AlphaBreakout,7,12,18.160831229999996,2.857383934455152,1.5134026024999996,58.333333333333336,3.0912018774465015,-1.2756756399947085,0.09605662239387525,0.6081842030253332,1.281542169658533,3.415640727207773,6.173464796307509,3.7185281206185437
AlphaBreakout,8,13,-15.14446828,0.5022634760853755,-1.1649590984615386,30.76923076923077,2.4699867090812733,-2.67658218250084,-0.18080517979908345,0.06456866339268255,0.4847981426503471,-0.6869044046745573,-0.4037595956037348,1.3909918710348106
AlphaBreakout,9,18,8.010016890000001,1.3353576221963823,0.4450009383333334,44.44444444444444,3.08578716718513,-2.3280096200303233,0.3385977531755186,0.18334707068147524,0.6521128907693827,-0.03899327074025936,0.4094713713278057,-0.04560744046910746
AlphaBreakout,10,11,16.58569577,2.9318189904723724,1.5077905245454546,54.54545454545454,2.973499892586884,-1.415698380427054,-0.42903460804478305,0.033565383408221384,1.0081477304879052,1.203474392020139,2.0026231175302165,-1.0607001513980026
AlphaBreakout,11,13,19.09908858,2.183882732056748,1.46916066,61.53846153846154,3.364526882343139,-2.1308934904464416,0.1868876631499654,-0.25519980969615963,0.8254792335929465,1.0783328029226147,0.9921134149552415,0.2586238653983083
AlphaBreakout,12,11,16.38857833,2.6936185167496856,1.4898707572727274,54.54545454545454,3.498803663262304,-1.8822592199898691,-0.08594819265593498,-0.301475895041278,0.4893187486865917,1.132879837265907,1.2878353211067883,2.816752511377715
AlphaBreakout,13,24,62.10086719,7.889963247219186,2.5875361329166666,83.33333333333334,3.881826606177118,-1.664124662540836,0.43049368829293455,0.45108307294181627,0.6098836006247392,2.6204120941146654,3.285005232832252,3.2279967376447645
AlphaBreakout,14,29,2.876614369999998,1.0665452917545277,0.09919359896551717,37.93103448275862,2.813041841753135,-1.936156465470086,0.30587739795758295,0.5347692610683322,0.30874928893955556,1.013996493100324,1.144017535951748,0.6472980155545802
AlphaBreakout,15,14,13.52581211,1.8955604535493125,0.9661294364285714,64.28571428571429,3.274278755606614,-1.975944981318612,0.2993159760053083,0.773275590221874,0.502871762342026,0.8612561987543257,1.1828615624340828,1.8052770448616196
AlphaBreakout,16,37,47.48952651,2.498895511780606,1.2835007164864864,62.16216216216216,3.106991621569054,-1.699746181692109,0.35343063474210024,0.44335908547573216,0.8190597359010093,1.562647918065076,1.309324785596391,1.5314127005498124
AlphaBreakout,17,36,22.465222299999997,1.50964459989341,0.6240339527777777,38.88888888888889,2.976694440508771,-1.9987339272075952,0.33974832543635897,0.5114443347791547,-0.0241025825522286,0.11795717743110778,-0.3712477261399153,2.1260241691739137
AlphaBreakout,18,27,39.40291172,2.4659995012986156,1.4593671007407407,59.25925925925925,2.9645083029578707,-1.8579580787938952,-0.18089776945973546,0.18466898003743493,0.18155522584429093,0.08061654568423815,0.38635139944308233,2.969538355855952
AlphaBreakout,19,21,6.368777680000002,1.261865091499476,0.3032751276190477,38.095238095238095,2.430926786820995,-1.575864621158182,0.22779383740263925,0.3059900368942933,0.3423948543161954,0.6394683188916016,-0.27029863988624087,0.0468023206455136
AlphaBreakout,20,17,0.6124917300000039,1.025994726488767,0.03602892529411788,47.05882352941176,2.9023114225969606,-1.7880261042570782,0.035923470752412014,0.17492782923578448,0.9288316540485734,0.26267233743408563,-0.09565656482272929,-0.3498596829991129
AlphaBreakout,21,20,22.487363690000002,1.7920528497326604,1.1243681845000002,60.0,2.819836138750096,-1.8545248428168097,0.10590504423067693,0.2499659132267645,0.29102081356405907,0.027594051816239865,0.9238791620445118,0.7957447751756519
AlphaBreakout,22,8,-4.823450210000001,0.5933811227017612,-0.6029312762500001,50.0,2.8693163493093614,-3.0196140799686937,-1.2400052329620408,-1.1816870800618093,-1.2234323668290956,-2.3660000773723473,-2.1736914970768697,-0.46950556443989405
