strategy,trades,net_usdt,top5_usdt,top10_usdt,worst5_usdt,worst10_usdt,top5_pct_of_net,top10_pct_of_net,median_trade_usdt,trimmed_mean_usdt,trim_each_tail
AlphaBreakout,485,287.0225191999999,25.035498970000003,50.06481923999999,-25.97208608,-51.93944117,8.722485970710556,17.442819253187018,-0.11538808,0.6671015929519452,24
LabBaseline,849,-121.0916595499998,25.038508909999997,50.06980534,-25.97400455,-51.94720524,,,-0.7906729,-0.14797069379084957,42
V2CompressionBreakout,77,0.6897907700000045,30.01975743,60.00478975,-14.469954840000002,-26.238062860000003,4352.009150542824,8698.984149932829,-0.9442199,-0.11322419239436626,3
V2RegimeAdaptive,84,-10.182477470000002,16.23711984,27.21692402,-16.83400261,-31.59917921,,,0.22693907000000002,-0.13238193881578947,4
V2TrendPullback,228,32.679534179999905,30.03166138,60.05768197,-30.95876373,-58.37213679999999,91.89745855796065,183.7776561905699,-1.220183585,0.14079409961165051,11
