strategy,year,count,net_usdt,profit_factor,expectancy_usdt,win_rate_pct,mean_mfe_pct,mean_mae_pct,mean_forward_1h_pct,mean_forward_3h_pct,mean_forward_6h_pct,mean_forward_12h_pct,mean_forward_24h_pct,mean_forward_48h_pct
AlphaBreakout,2019,123,-27.725808710000003,0.8766578862493845,-0.22541307894308946,40.65040650406504,2.669670818871297,-2.2056435650757393,0.10941749692018865,0.15344254885715458,0.07469362465583258,0.11134630400309539,-0.5496008682336594,-0.03792835334405482
AlphaBreakout,2020,143,139.4677186,1.8396091937486134,0.9752987314685315,51.74825174825175,2.8766895469112903,-1.989051455103573,-0.021026641993113816,-0.04699958758180227,0.07603323150199517,0.47218181851525054,1.160001700641711,1.8867412134709347
AlphaBreakout,2021,124,135.06355509999997,1.9578904068833705,1.0892222185483869,54.03225806451613,3.3222756291931095,-1.8863765740159129,0.37563544642286756,0.6128822807230908,0.7022122424703968,0.6426718932353674,1.051059270880826,1.8355008499225587
AlphaBreakout,2022,95,40.21705420999999,1.3427756008499974,0.42333741273684206,46.31578947368421,2.761694466078559,-1.8571737290047987,0.10492531181067241,0.00985214906870395,0.20024046427571687,0.5579620984663144,0.5959911774394544,0.11015022914225929
LabBaseline,2019,223,-35.165771879999994,0.877041185286805,-0.1576940443049327,32.28699551569507,2.104730363266354,-1.900819937513977,0.0041654962442050905,0.1342679703519099,0.1532293524942701,0.3725343280954869,0.1492575576322372,0.19256293986915823
LabBaseline,2020,210,60.832552969999995,1.2239609426672948,0.28967882366666664,38.095238095238095,2.4904972675867447,-1.9359312012164138,0.040916489583963676,0.19328505371133806,0.14006428777845362,0.37255483330114075,0.6855808537135898,0.9800005085773016
LabBaseline,2021,203,-48.36963089999998,0.874935493720171,-0.23827404384236445,38.91625615763547,2.690604219489032,-2.517146313297524,0.12283461970896653,0.3087022900657171,0.1185151752908787,0.11334667272164729,0.5586936518045442,0.7112516889872949
LabBaseline,2022,213,-98.38880974,0.7059943013591382,-0.4619192945539906,30.046948356807512,2.1267608163169185,-2.081913146189994,-0.020261560806949633,-0.027968936975789987,0.0038689354652279057,-0.08306800184857614,-0.2691934568848324,-0.5800114973281073
V2CompressionBreakout,2019,18,-8.76603438,0.5780397976909298,-0.48700191000000004,11.11111111111111,1.3073664729638013,-1.4573337327831954,0.037738048540596356,-0.17617463529243524,-0.5691285399991192,-0.5678457014872894,-0.4705728643467867,-0.19207711059154492
V2CompressionBreakout,2020,22,1.7621822900000015,1.0791690885862066,0.08009919500000007,22.727272727272727,2.099517934006446,-1.5330324448196775,0.06528936072584787,0.4024552971339004,0.3444422662004565,0.291872602006192,1.3765513633677644,2.3591888666356664
V2CompressionBreakout,2021,23,9.544235389999999,1.5001843118532732,0.4149667560869565,34.78260869565217,2.6461818599981175,-1.121543327022754,0.27652714301967324,0.7376877305378958,0.745933773695319,1.1542399204277007,-0.6467143357848848,-1.79719942473323
V2CompressionBreakout,2022,14,-1.8505925299999997,0.8917442452935128,-0.1321851807142857,21.428571428571427,2.4087324641523824,-1.487976431913303,-0.039823953286816885,-0.3223022946547812,-0.08415293405391124,-0.5143286609700418,-1.2080030583627601,-2.4299735043247117
V2RegimeAdaptive,2019,20,-5.905090619999999,0.5847575418915374,-0.295254531,55.00000000000001,0.8759830759095177,-1.55080750446008,-0.18492515896097017,-0.24110467633226496,-0.16194285937124686,-0.22649275918802614,0.37981856085578525,-0.06025465155007126
V2RegimeAdaptive,2020,18,-0.3309811900000015,0.9799469887970934,-0.01838784388888897,55.55555555555556,1.4756060185331772,-1.496142005978782,0.20846233918520585,0.3381411939809639,0.9749134784878445,0.04343046520909209,0.8155616451324565,1.9606715838298798
V2RegimeAdaptive,2021,17,-8.38225288,0.5852830165784179,-0.49307369882352936,47.05882352941176,1.439758479861606,-1.9562669632269798,-0.1786478986788631,0.12858679423726924,-0.33543017002375125,-1.119437978602082,-0.23871185044309304,0.09301369652706801
V2RegimeAdaptive,2022,29,4.435847220000002,1.294478594685832,0.15296024896551733,55.172413793103445,1.091834523147308,-1.0230067277782915,-0.14567910286361963,0.03513541948955375,0.10093709498162695,0.19887780912098552,1.311872271345351,0.4287252970776352
V2TrendPullback,2019,43,4.30974878,1.072238483835828,0.10022671581395348,30.23255813953488,2.537361010451576,-1.799748815016063,0.14280495162392823,-0.18427049348449934,-0.17889159985841555,-0.20181274050379877,-0.4661042624189832,-0.2435913939741126
V2TrendPullback,2020,70,52.96554636000001,1.5767627263639366,0.7566506622857144,41.42857142857143,2.8821418817986046,-1.9920431809528245,-0.09207259134499109,0.18174153137165608,0.006174991508531053,0.07852325433948174,0.8364122389100728,0.7448334114301322
V2TrendPullback,2021,71,-4.93514414,0.9546469552665647,-0.0695090723943662,35.2112676056338,2.7115512544540135,-1.977513113008015,-0.01802326273817538,0.034818728821818544,0.08233364094677735,0.12385472860680141,-0.033169703105870425,0.12427404653322777
V2TrendPullback,2022,44,-19.660616819999994,0.7155158540985798,-0.4468322004545453,22.727272727272727,2.019874418894577,-2.0655873184576836,-0.11512314532556855,0.0042859360720739785,-0.12021921531659784,-0.39200093197191144,-0.3330499583551522,-0.028066337025484365
