strategy,expansion_context,count,net_usdt,profit_factor,expectancy_usdt,win_rate_pct,mean_mfe_pct,mean_mae_pct,mean_forward_1h_pct,mean_forward_3h_pct,mean_forward_6h_pct,mean_forward_12h_pct,mean_forward_24h_pct,mean_forward_48h_pct
AlphaBreakout,CONTRACTION,159,117.11524120000001,1.5900262019055844,0.7365738440251574,49.056603773584904,2.794575545004378,-1.9440107664879678,0.13384257551572,0.14685861060012081,0.37264851285638967,0.5513200663268636,0.8136397459372814,0.9027807189774554
AlphaBreakout,EXPANSION,326,169.907278,1.3769558371734287,0.5211879693251533,48.15950920245399,2.9746066152490696,-2.0152546139446903,0.14023703309085245,0.20164211770246385,0.20523348639818736,0.3872865613790665,0.4781016203710657,1.1032608862163236
LabBaseline,CONTRACTION,592,-180.73029640000001,0.8094972172375311,-0.30528766283783787,31.58783783783784,2.2598359750728028,-2.1383096246790716,0.027040890840695397,0.14461718069386695,0.1017768218376993,0.18100871331821963,0.28182861898332784,0.252677505370019
LabBaseline,EXPANSION,257,59.63863684999999,1.1805465418961802,0.23205695272373536,42.023346303501945,2.5436930365380976,-2.0193669348206975,0.05499173714567459,0.16197443192445513,0.10978377957167873,0.23242987843603738,0.2630059196315259,0.47663918348106155
V2CompressionBreakout,CONTRACTION,73,2.1196203199999983,1.0284487278031342,0.029035894794520525,21.91780821917808,2.126465587271841,-1.359449746986312,0.12567187640002617,0.2651715238409692,0.23246287970492968,0.29483258061350354,-0.11232329411430052,-0.39103530651820073
V2CompressionBreakout,EXPANSION,4,-1.42982955,0.6959365541881506,-0.3574573875,50.0,2.2686101171839725,-1.83651400360981,-0.31395180601636874,-0.30501561537602806,-0.9145095909490975,-1.4939717127910535,-0.443263408484601,0.4087821554388138
V2RegimeAdaptive,CONTRACTION,40,-3.3101203399999997,0.8676657827877897,-0.08275300849999999,52.5,1.0893995244673504,-1.288272416626322,-0.09462708084206545,0.04187016705773483,0.3083901398478761,0.26323417377345476,1.0404094618441,0.8564911617248415
V2RegimeAdaptive,EXPANSION,44,-6.872357130000001,0.8323331888161353,-0.1561899347727273,54.54545454545454,1.2873564591366535,-1.575898704822634,-0.07779104774519822,0.06351236249848392,-0.018208120556712958,-0.6259196121059516,0.3328703810731483,0.32430412113185303
V2TrendPullback,CONTRACTION,119,2.354428299999996,1.0128123222035494,0.01978511176470585,33.61344537815126,2.497215236043974,-1.8078811878798944,-0.05575935551584332,0.08460300947394132,0.11751343421878549,-0.07427058754855481,-0.016468994292863182,0.2880369236727819
V2TrendPullback,EXPANSION,109,30.325105879999988,1.2081974018501394,0.2782119805504586,33.94495412844037,2.7071784915934276,-2.1374645265173218,-0.00013004785936307825,-0.02393368089629535,-0.1897994956610943,-0.025664911883511988,0.21520125387519298,0.13739498547613968
