strategy,fee_each_side_pct,trades,wins,losses,win_rate_pct,net_usdt,total_return_pct,average_trade_pct,profit_factor,expectancy_usdt,average_duration_hours,maximum_consecutive_losses,closed_trade_drawdown_pct,top5_net_usdt,top10_net_usdt,top5_gross_profit_share,top10_gross_profit_share,top5_net_share,top10_net_share,profitable_years
V2TrendPullback,0.1,228,77,151,33.771929824561404,32.67953417999999,3.267953417999999,0.14287987337988334,1.0992037450114147,0.14333129026315786,18.596491228070178,11,5.3037076924311,30.03166138,60.057681970000004,0.08293796384296616,0.16586034960548096,0.9189745855796041,1.8377765619056943,2
V2CompressionBreakout,0.1,77,18,59,23.376623376623375,0.6897907699999968,0.06897907699999968,0.009495037959718412,1.0087084802068536,0.008958321688311647,10.792207792207792,13,1.8259926052642304,30.01975743,60.00478975,0.37572188884320556,0.7510091644504479,43.520091505428724,86.98984149932926,2
V2RegimeAdaptive,0.1,84,45,39,53.57142857142857,-10.18247747,-1.018247747,-0.12124718853980777,0.8457235795148134,-0.12121996988095238,7.821428571428571,5,1.8836123453613745,16.23711984,27.21692402,0.2908885673930788,0.48759214165066334,,,1
V2TrendPullback,0.15,228,76,152,33.33333333333333,15.693737580000004,1.5693737580000005,0.06833371791095867,1.0455643106702082,0.06883218236842108,18.61842105263158,11,5.802263337326958,30.04526285,60.0856543,0.08343027501225647,0.16684702302547408,1.9144746556925665,3.828638907316302,2
V2CompressionBreakout,0.15,77,17,60,22.07792207792208,-5.736316379999998,-0.5736316379999998,-0.07391213715748178,0.9326426316779202,-0.0744976153246753,10.987012987012987,13,1.955039069329706,30.037547410000002,60.037939560000005,0.3781823187211865,0.7558968408480742,,,1
V2RegimeAdaptive,0.15,84,45,39,53.57142857142857,-18.577525509999994,-1.8577525509999995,-0.2210761770906216,0.7341068603536991,-0.2211610179761904,7.821428571428571,5,2.3880981916610042,15.728753570000002,26.202985230000007,0.30665799467656973,0.5108704176342167,,,1
V2TrendPullback,0.2,228,73,155,32.01754385964912,-4.443484549999994,-0.44434845499999936,-0.01994151219628178,0.9876760381856311,-0.019488967324561377,18.701754385964914,11,6.5530133895161295,30.063798390000002,60.12021776,0.08442207109244923,0.1688234211787584,,,1
V2CompressionBreakout,0.2,77,17,60,22.07792207792208,-12.166441519999998,-1.2166441519999998,-0.1572881581775207,0.866484135337866,-0.15800573402597398,11.181818181818182,13,2.1137302974624235,30.051629769999998,60.067073900000004,0.3806069496192936,0.7607556044251004,,,1
V2RegimeAdaptive,0.2,84,42,42,50.0,-26.97257352,-2.6972573520000003,-0.32080553555490854,0.6350598197076273,-0.32110206571428573,7.821428571428571,5,3.0801522680111812,15.220387289999998,25.189046450000003,0.324272682619586,0.5366564929880218,,,0
