year,strategy,exit_reason,trades,net_usdt
2022,V2CompressionBreakoutLo,compression_breakout_structural_exit,10,-10.85065652
2022,V2CompressionBreakoutLo,roi,2,11.97928129
2022,V2CompressionBreakoutHi,compression_breakout_structural_exit,14,-19.08002376
2022,V2CompressionBreakoutHi,roi,2,11.97928129
2022,V2RegimeAdaptiveLo,regime_adaptive_structural_exit,29,4.43584722
2022,V2RegimeAdaptiveHi,regime_adaptive_structural_exit,29,4.43584722
2022,LabBaseline,force_exit,2,-0.9882252
2022,LabBaseline,roi,43,214.96572693
2022,LabBaseline,sma_cross_down,137,-151.55998088
2022,LabBaseline,stop_loss,31,-160.80633059
2022,AlphaBreakout,breakout_exit,62,-83.99289366000001
2022,AlphaBreakout,roi,29,144.97180855
2022,AlphaBreakout,stop_loss,4,-20.761860679999998
