run,start_utc,end_exclusive_utc,candles_per_pair,return_pct,trades,win_rate_pct,profit_factor,expectancy_usdt,max_wallet_drawdown_pct,max_closed_drawdown_pct,sharpe,sortino,wallet_sharpe,wallet_sortino,average_trade_pct,average_duration,consecutive_losses,market_change_pct,fees_usdt
development,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,8760,-0.598073686,217,33.17972350230415,0.9718982597288165,-0.02756099935483869,6.035383380981244,5.74856024744791,-0.12014883498493696,-0.24801935442078588,-0.09374207522960236,-0.12432103407604223,-0.027654018591459457,"1 day, 7:45:00",15,123.45056242496861,43.38506129
validation,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8784,-4.344493954000001,205,35.609756097560975,0.8419374082338119,-0.21192653434146336,9.489383836602338,9.155218251418917,-0.7415065258514291,-1.505089923324263,-0.740926598086533,-0.9785594097432546,-0.2122602899606429,"1 day, 6:54:00",16,82.85597431953688,40.8950898783
wf1_development,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,4344,0.5152579759999997,110,35.45454545454545,1.0410595787192436,0.04684163418181786,3.4516792618713725,3.3070359597829064,0.18570831160031068,0.42497419699857203,0.2225298765832315,0.30915788292827706,0.04679216823224062,"1 day, 5:34:00",8,73.14702617584186,22.0023629823
wf1_validation,2023-07-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,2208,-3.2477654540000005,63,19.047619047619047,0.28167364917585397,-0.515518326031746,4.334329950395074,3.852689243065102,-5.6331519078432235,-8.25826162201621,-4.307338208315372,-5.366769669941124,-0.5157196401231126,"1 day, 5:38:00",15,-12.55999618500446,12.5641677386
wf2_development,2023-04-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4392,-2.9021358319999986,122,26.229508196721312,0.7305040518104566,-0.237879986229508,4.993520069498769,4.643765806825128,-1.4109809355594145,-2.8600285874166675,-1.292474550016208,-1.9180151923967999,-0.23807366055396978,"1 day, 4:33:00",15,-6.7627828429315,24.3655847184
wf2_validation,2023-10-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,2208,1.6441476289999997,44,45.45454545454545,1.39123872473694,0.37366991568181807,1.4447734642741037,1.3947121349686327,1.1643843380360617,2.24954335283896,1.3753586798020392,1.5732519068916657,0.37363114285691196,"1 day, 15:22:00",6,46.484637982870794,8.813622799700001
wf3_development,2023-07-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,4416,-1.0877141449999996,107,30.8411214953271,0.8750872799628967,-0.10165552757009333,4.334329950395074,3.852689243065102,-0.5122920380157625,-0.9650918156155859,-0.485973007602186,-0.6075728748222778,-0.101788686128472,"1 day, 9:56:00",15,28.376161038777642,21.3829547393
wf3_validation,2024-01-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,2184,0.9299227130000004,57,40.35087719298245,1.144316898784054,0.16314433561403519,3.03314489882151,2.8873726886683193,0.6302528768991159,1.1506756051453015,0.8872687690074023,1.254289967122642,0.16315276193366268,"1 day, 3:44:00",8,63.308176945369254,11.3957694868
wf4_development,2023-10-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,4392,3.091862312,101,43.56435643564357,1.2909353056246258,0.30612498138613864,2.9708111680533165,2.8280347019230065,1.0478795229447975,1.9739319358118481,1.2785437745440633,1.6090704092734738,0.30620734100306146,"1 day, 9:03:00",8,140.92266996417356,20.214575389300002
wf4_validation,2024-04-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,2184,-4.608870407,51,23.52941176470588,0.49741992248604777,-0.9037000798039213,5.769469807169316,5.708488051262887,-3.211756917280937,-6.564158972219698,-3.4485126956941063,-3.7346226115397423,-0.9058224221399229,"1 day, 2:48:00",16,-8.47179410366214,10.1373595879
wf5_development,2024-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,4368,-4.589942268,108,30.555555555555557,0.716059202217862,-0.4249946544444445,7.721633918404755,7.720689704290397,-1.5434943746789567,-3.0340792782549175,-1.6585007650697543,-1.930758930409391,-0.4262507303341588,"1 day, 3:37:00",16,48.781294477621614,21.5240100099
wf5_validation,2024-07-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,2208,0.10982776399999983,48,39.58333333333333,1.01852478765766,0.022880784166666945,3.355670148262635,2.763575837215151,0.0757275492100572,0.16436266349851966,0.10372713150810138,0.17168759395499175,0.023761090814425852,"1 day, 10:35:00",8,-11.89575802550106,9.5908456675
wf6_development,2024-04-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,4392,-4.694192897000001,99,31.313131313131315,0.6891080198223735,-0.4741608986868686,7.574976195257946,7.174589148997729,-1.6068753263406306,-3.371257231000388,-1.610746471168403,-2.133008097807349,-0.4748977820058827,"1 day, 7:24:00",16,-19.610146147620565,19.7262517994
wf6_validation,2024-10-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2208,0.3307708040000001,49,42.857142857142854,1.061343844944644,0.06750424571428582,2.1436626651250164,1.8177951422422258,0.23859649415032338,0.5101004148596234,0.3043530690788775,0.4255108721107897,0.06815625150211573,"1 day, 8:54:00",9,37.3715820098557,9.7821876569
test,2025-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,8760,-3.0970335500000004,199,33.66834170854271,0.8840300749841268,-0.1556298266331657,6.03840214342586,5.343998684654603,-0.5126750221209815,-0.9524167973433738,-0.6442663342528763,-0.8003463690066921,-0.15624505983860124,"1 day, 9:19:00",10,-1.226633302914093,39.6823806828
