feature_set,feature,mean,std,min,max
A_all,category__pair_BTC/USDT,0.014165825182276333,0.009189383561272047,0.0046385700040012,0.0229752316596132
A_all,category__pair_ETH/USDT,-0.0140807287493449,0.008975598931583836,-0.0226032300415495,-0.0047119733334037
A_all,category__regime_LOW_VOLATILITY,-0.03129443850075073,0.12176162154151009,-0.1672853130503717,0.0676162702404382
A_all,category__regime_RANGE,-0.006094168337467472,0.16376705561678648,-0.161014379766133,0.1652778353108588
A_all,category__regime_TREND_DOWN,0.06621833890385237,0.005288999907873594,0.0609825356944397,0.0715589769243204
A_all,category__regime_TREND_UP,-0.028744635632702766,0.0538423639031432,-0.0691794975667438,0.0323722648413881
A_all,numeric__atr14,-0.0372880559626674,0.015355771018591653,-0.0525311817405488,-0.0218220656908526
A_all,numeric__body_ratio,-0.1849768579163127,0.0472130712293217,-0.2376516280900155,-0.1464698164963639
A_all,numeric__body_to_range,-0.3110989019999247,0.023935668322546854,-0.3373829030009782,-0.2905555714446417
A_all,numeric__candles_since_prior_signal,0.12655793203228163,0.07024707243988874,0.0823816251499772,0.2075612076328194
A_all,numeric__close_location,-0.044223455838104865,0.05548688689945352,-0.1041931759312883,0.0052939186843978
A_all,numeric__day_of_week,-0.22187166995961127,0.06792937794974442,-0.2803044294413935,-0.1473385179026409
A_all,numeric__distance_high_168,-0.19538385559700952,0.06079795264312211,-0.265134421992901,-0.1536140157646913
A_all,numeric__distance_high_24,-0.0155743979550298,0.007685595649333188,-0.0216420276955517,-0.0069319930227301
A_all,numeric__distance_low_168,-0.016128630515748102,0.023439179222494035,-0.0428614839170826,0.0008999041013062
A_all,numeric__distance_low_24,-0.1591136413539187,0.011275682166036834,-0.1681168915645403,-0.146466641945165
A_all,numeric__ema20_distance,-0.004285215965046,0.0123875094910077,-0.0182641310141445,0.0053296637974245
A_all,numeric__ema20_slope_6,-0.11408379962623137,0.009750055862684967,-0.1220262409274793,-0.1032023106047226
A_all,numeric__ema50_distance,-0.05328029728461923,0.010772986908175027,-0.0625918059856372,-0.0414810773041194
A_all,numeric__ema50_slope_6,-0.14917625137321677,0.006261939817714072,-0.153614816233924,-0.1420136657189405
A_all,numeric__ema_gap,-0.11723464202053006,0.017000215880256,-0.1361495628989594,-0.1032300213579038
A_all,numeric__hour_of_day,-0.0781340356065142,0.03027811914457292,-0.09820363794401,-0.0433066388607792
A_all,numeric__macd_hist_ratio,0.0022568574989233,0.017046673914923358,-0.0110887978139998,0.0214600165461827
A_all,numeric__macd_ratio,-0.08756130492384127,0.01685467347664012,-0.0998493500680982,-0.0683469733307415
A_all,numeric__macd_signal_ratio,-0.13181179799595352,0.030788869206288334,-0.157578206353266,-0.0977148337244921
A_all,numeric__natr14,0.0520821954932723,0.1034831806981702,-0.0270881833373162,0.1691774295755384
A_all,numeric__range_ratio,0.0036202606539261655,0.041947354721323556,-0.0394368971164651,0.044361893478261
A_all,numeric__regime_duration,-0.3222216467853455,0.0887645087817081,-0.3751658386384566,-0.2197441403209627
A_all,numeric__regime_transition,0.09263599772941832,0.12828788546283504,0.0184005831765687,0.2407699604648992
A_all,numeric__relative_volume_24,-0.06597301778192333,0.09979089219098645,-0.1264586644812808,0.0492070593012819
A_all,numeric__return_12h,-0.20986930650026095,0.06598394664638993,-0.2839149377150275,-0.1572961021987413
A_all,numeric__return_1h,-0.18423337930838102,0.04716470239906282,-0.2368649408939141,-0.1457953794038618
A_all,numeric__return_24h,0.29079535045008265,0.08832877991347088,0.1907301285416974,0.3579214363090918
A_all,numeric__return_3h,0.0114645174947527,0.05104108423204953,-0.0366932408499074,0.0649681313811998
A_all,numeric__return_6h,0.11733859976393617,0.030137658721848537,0.0888673348797023,0.1489039402287942
A_all,numeric__return_72h,-0.13601687892907435,0.05431036400207803,-0.1907704483838521,-0.0821608454961645
A_all,numeric__return_std_168,-0.015207560886142302,0.14808124170858142,-0.1858918392540568,0.0789783322786487
A_all,numeric__return_std_24,-0.041880633255309364,0.04852292118917582,-0.0974036226654323,-0.0076097517931486
A_all,numeric__rsi14,0.023061808263998566,0.08896401029033685,-0.0732779694712018,0.1021117966519744
A_all,numeric__source_synthetic,0.0,0.0,0.0,0.0
A_all,numeric__trend_efficiency_20,0.33255732141183336,0.09237030831814785,0.2394156462519626,0.4241364373425292
A_all,numeric__volatility_percentile_720,0.09297711423184717,0.0704195370811944,0.0116756896144827,0.134840249371049
A_all,numeric__volume_trend_24_168,0.12138399935843618,0.07704255083406657,0.032742691864147,0.1722310298413269
A_all,numeric__volume_zscore_24,0.034819597825410734,0.032312566192709294,0.0090737793324169,0.0710798232187549
B_reduced,category__pair_BTC/USDT,0.003470255985357233,0.013431563803153176,-0.0110095013672571,0.0155225536433443
B_reduced,category__pair_ETH/USDT,-0.0036661227438869333,0.01299162909792926,-0.0154136877503844,0.0102871686511045
B_reduced,category__regime_LOW_VOLATILITY,-0.02885436206451396,0.1218580189367456,-0.1650763356811299,0.0697862367161684
B_reduced,category__regime_RANGE,-0.004751255604179734,0.16319780556716196,-0.1597120884945573,0.1655940031893249
B_reduced,category__regime_TREND_DOWN,0.06408232625451674,0.004636636104598539,0.0605594719279971,0.0693352455647043
B_reduced,category__regime_TREND_UP,-0.030672575344352766,0.052875106313677915,-0.0698270465252956,0.0294752457433515
B_reduced,numeric__body_to_range,-0.3144510538302591,0.027957677236526618,-0.3444082817327082,-0.2890534625413904
B_reduced,numeric__candles_since_prior_signal,0.12137490227361293,0.06828087290010684,0.0818438225296745,0.2002187622360293
B_reduced,numeric__close_location,-0.06994597188364393,0.04928561715532596,-0.1256439029099363,-0.0319788337131379
B_reduced,numeric__day_of_week,-0.22118840564514397,0.06417938044527398,-0.2753839674050425,-0.1503170746637238
B_reduced,numeric__distance_high_168,-0.20188800455644876,0.061789825548586474,-0.2727059251793685,-0.1589558048955377
B_reduced,numeric__distance_high_24,-0.022027613520762834,0.006737999154270479,-0.027470928179594,-0.0144915635249079
B_reduced,numeric__distance_low_168,-0.016429307245233248,0.024248985976480668,-0.044270282454204,7.447195093566585e-05
B_reduced,numeric__distance_low_24,-0.16480700423639064,0.011317857536523214,-0.174972462575898,-0.152611505438859
B_reduced,numeric__ema20_distance,-0.014700867093661633,0.013162938736123213,-0.0296357119727396,-0.0047889073769796
B_reduced,numeric__ema20_slope_6,-0.105641099295903,0.00772158734571225,-0.1116217533184334,-0.0969239281070338
B_reduced,numeric__ema50_distance,-0.058123408457302635,0.011557743004960453,-0.0665057442077619,-0.0449387007398506
B_reduced,numeric__ema50_slope_6,-0.14100541773221126,0.006085513444098769,-0.1476603951613739,-0.1357242324082996
B_reduced,numeric__ema_gap,-0.11006666210655226,0.01835695827224291,-0.1299174882175661,-0.0937041344768292
B_reduced,numeric__hour_of_day,-0.07417458964617933,0.03025140081674722,-0.0938253036403941,-0.0393385483118997
B_reduced,numeric__macd_ratio,-0.08071156334574733,0.015356211252087283,-0.0939258125990801,-0.0638647640893953
B_reduced,numeric__macd_signal_ratio,-0.12878253439364237,0.029939784536852965,-0.1549853163755181,-0.0961503635815889
B_reduced,numeric__natr14,0.051148550911935965,0.1029398154592177,-0.0277708909333576,0.1675848714015829
B_reduced,numeric__range_ratio,0.0011164495844065657,0.047244184083085526,-0.0473871624153418,0.046991452547493
B_reduced,numeric__regime_duration,-0.32580234855649953,0.08652076787456349,-0.3766488799656199,-0.2259021336908056
B_reduced,numeric__regime_transition,0.09086118208604264,0.12941730675898377,0.0158448584837229,0.2402990212906639
B_reduced,numeric__relative_volume_24,-0.06836714674187346,0.10637221960140739,-0.1301509785902593,0.0544601687546704
B_reduced,numeric__return_12h,-0.21317624973884275,0.067269076916687,-0.2894125697675912,-0.1621683131329664
B_reduced,numeric__return_1h,-0.25070490764085684,0.06765519071263612,-0.3260679614178332,-0.1952039412432372
B_reduced,numeric__return_24h,0.28774203278703897,0.08623422822420429,0.1901204685138661,0.3535488367837031
B_reduced,numeric__return_3h,-2.561439051773177e-05,0.04979566609471647,-0.0455535715100708,0.0531523774231291
B_reduced,numeric__return_6h,0.11324379748011686,0.03140607274482442,0.0844927462470138,0.1467602268108825
B_reduced,numeric__return_72h,-0.1334781943245081,0.05462156357660482,-0.1879635246921743,-0.0787214093365129
B_reduced,numeric__return_std_168,-0.01491416393243323,0.14552072302219132,-0.1826270064320597,0.0779190426229857
B_reduced,numeric__return_std_24,-0.04710133229207094,0.04837580464797594,-0.1028142334925122,-0.0157416039107526
B_reduced,numeric__rsi14,0.016011887022217498,0.09172650312326211,-0.0828928731967374,0.0982840428735414
B_reduced,numeric__trend_efficiency_20,0.32932257760545086,0.09170333900358758,0.2362404647026689,0.4195819663394464
B_reduced,numeric__volatility_percentile_720,0.09315122615904582,0.0717087090755064,0.0103591495394422,0.135662160892682
B_reduced,numeric__volume_trend_24_168,0.1178422218188774,0.07722475692398813,0.0290360558476249,0.1692282659302597
B_reduced,numeric__volume_zscore_24,0.033536555445855265,0.0313666373481826,0.0074150762033578,0.0683255527094055
C_price,category__pair_BTC/USDT,0.007782063614775268,0.020959028287896555,-0.0050200261229488,0.03196964104435
C_price,category__pair_ETH/USDT,-0.007750906125019233,0.02097838911785396,-0.0319604957623455,0.0050712708611753
C_price,numeric__body_ratio,-0.17798850171232786,0.04502753964981276,-0.2254852038358274,-0.135922760212551
C_price,numeric__body_to_range,-0.3374242360690414,0.030228719908606837,-0.3686478621697979,-0.3082998589705958
C_price,numeric__candles_since_prior_signal,0.13112521641045802,0.05780611795053829,0.0947605216119438,0.1977818250384304
C_price,numeric__close_location,-0.03211826960483433,0.057989547208510475,-0.0880748312139976,0.0277102073546849
C_price,numeric__distance_high_168,-0.1856760591939688,0.06814291297241439,-0.2643490041370891,-0.1451638363881073
C_price,numeric__distance_high_24,-0.09551474894286849,0.09147954169885751,-0.1862278141392556,-0.0032875282609693
C_price,numeric__distance_low_168,-0.011107032607464401,0.03689460038157867,-0.0495293063313247,0.0240417389200286
C_price,numeric__distance_low_24,-0.11134353004220297,0.0678533676547788,-0.1679976769908658,-0.0361463143957587
C_price,numeric__ema20_distance,0.0014909344561565667,0.0052521649668669755,-0.0030570834663405,0.00723940547241
C_price,numeric__ema20_slope_6,-0.11558259834331013,0.023508054290566547,-0.1376553585191919,-0.090863252195639
C_price,numeric__ema50_distance,-0.055681925142398364,0.011631882215425115,-0.0691103827439636,-0.0487267011015241
C_price,numeric__ema50_slope_6,-0.15956171290333887,0.011690430345933492,-0.1704186965221245,-0.1471862367338666
C_price,numeric__ema_gap,-0.135616682125506,0.008725363218659547,-0.1444352660251906,-0.1269876275282267
C_price,numeric__range_ratio,-0.009922653345805733,0.050658628259395655,-0.0405404531860955,0.0485511555494384
C_price,numeric__return_12h,-0.20808372257417476,0.06878959924515088,-0.2869225883654256,-0.1602777591163731
C_price,numeric__return_1h,-0.17758757034947628,0.04501310792438349,-0.2250822045592748,-0.1355543385567559
C_price,numeric__return_24h,0.31093254554761796,0.11939248257315978,0.1764109070922197,0.4043182855491414
C_price,numeric__return_3h,0.04767916594613053,0.03200505104620707,0.0117075235744324,0.0730035156821938
C_price,numeric__return_6h,0.10017041911504239,0.015904080160839947,0.0826365069912708,0.1136661392849499
C_price,numeric__return_72h,-0.16927339779403858,0.056098196567375205,-0.2176874927419543,-0.1077961985107237
C_price,numeric__trend_efficiency_20,0.373494847453909,0.0865335629997946,0.2849662053451945,0.4578848108112847
D_price_volatility,category__pair_BTC/USDT,0.0144154838990071,0.007156672350055735,0.0085061385635684,0.0223729245411531
D_price_volatility,category__pair_ETH/USDT,-0.0143094964612415,0.007100831004763207,-0.0223309808452303,-0.0088278218553428
D_price_volatility,numeric__atr14,-0.034977154437190766,0.022903690527379745,-0.0585104393793804,-0.0127597983710218
D_price_volatility,numeric__body_ratio,-0.17856727667983163,0.04596690175410672,-0.2237780795231569,-0.1318798583873133
D_price_volatility,numeric__body_to_range,-0.32985914863627125,0.02417349398709109,-0.3539496513002427,-0.3056035094074242
D_price_volatility,numeric__candles_since_prior_signal,0.12448320387967156,0.06922433327151424,0.0777286443939312,0.2040077604252189
D_price_volatility,numeric__close_location,-0.04072218436639117,0.060493319949093696,-0.1010865061596008,0.0198993137322257
D_price_volatility,numeric__distance_high_168,-0.181491956982331,0.06728603844864359,-0.2529887744104795,-0.1194079299283194
D_price_volatility,numeric__distance_high_24,-0.03538779088986253,0.0251652477574916,-0.0622012514887598,-0.0122821718535805
D_price_volatility,numeric__distance_low_168,-0.025148376165944397,0.04706969345839461,-0.0693356550492338,0.0243527318004481
D_price_volatility,numeric__distance_low_24,-0.13753511078851752,0.01978596648327716,-0.1500980554358282,-0.1147274838601508
D_price_volatility,numeric__ema20_distance,-0.00041308120792243365,0.00876732421789287,-0.0097293123158112,0.0076760476657214
D_price_volatility,numeric__ema20_slope_6,-0.1191395815839358,0.015298561259811737,-0.1295700563711187,-0.1015772848884025
D_price_volatility,numeric__ema50_distance,-0.05922207400245877,0.007861714247900371,-0.0675730590279441,-0.0519639952794489
D_price_volatility,numeric__ema50_slope_6,-0.16424175783077644,0.007811652464716196,-0.1701247864844475,-0.1553787238827144
D_price_volatility,numeric__ema_gap,-0.13974225276266963,0.006987236780057893,-0.1472075936928542,-0.1333594895788829
D_price_volatility,numeric__natr14,0.0972414864068238,0.12634564394610281,-0.014215080114845,0.2344945945896168
D_price_volatility,numeric__range_ratio,-0.027394266309214738,0.06601338306959592,-0.0707654383443482,0.0485773475748054
D_price_volatility,numeric__return_12h,-0.2023388662523676,0.06699286784577362,-0.2786751630011348,-0.153325364439096
D_price_volatility,numeric__return_1h,-0.17806042502653174,0.0459326279066556,-0.2232760136144673,-0.1314428573497061
D_price_volatility,numeric__return_24h,0.28402598040802646,0.08899201811334578,0.1815824697516699,0.3422172860220398
D_price_volatility,numeric__return_3h,0.044464179898744904,0.035765997763397506,0.0040412870265093,0.0720035793158239
D_price_volatility,numeric__return_6h,0.1036920740098719,0.018875390952366868,0.0836691949799079,0.1211596264611139
D_price_volatility,numeric__return_72h,-0.17464562279199633,0.05368939405178039,-0.2233611032131242,-0.117081670675354
D_price_volatility,numeric__return_std_168,-0.07153237039027353,0.10494522161029939,-0.1925738893171766,-0.0059903998442268
D_price_volatility,numeric__return_std_24,-0.040445532856901334,0.04798008762636237,-0.0902594885303013,0.0054618300657874
D_price_volatility,numeric__trend_efficiency_20,0.37878666245828674,0.09509795745573721,0.2803132230956596,0.4701049436282672
D_price_volatility,numeric__volatility_percentile_720,0.15960320944860337,0.05568156923930494,0.1151063372143621,0.2220444113822079
E_no_regime,category__pair_BTC/USDT,0.02135090963517257,0.005997804362639884,0.0159575990748341,0.0278102511994091
