dataset,year,pair,feature,reference_year,standardized_mean_shift,ks_statistic,reference_n,n
A_portfolio,2019,ETH/USDT,natr_ratio_168,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,up_fraction_24,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,volume_price_interaction,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,range_expansion_24,2019,0.0,0.0,115,115
A_portfolio,2019,ETH/USDT,signal_density_168,2019,0.0,0.0,115,115
A_portfolio,2020,BTC/USDT,ema20_distance,2019,-0.040022533707952244,0.09259259259259259,108,108
A_portfolio,2020,BTC/USDT,ema50_distance,2019,-0.024729599295334463,0.12037037037037036,108,108
A_portfolio,2020,BTC/USDT,ema_gap,2019,0.016373156219552737,0.12962962962962962,108,108
A_portfolio,2020,BTC/USDT,ema20_slope_6,2019,-0.0722228638538327,0.10185185185185185,108,108
A_portfolio,2020,BTC/USDT,ema50_slope_6,2019,-0.03686343259304356,0.12037037037037036,108,108
A_portfolio,2020,BTC/USDT,trend_efficiency_20,2019,0.001620281059421757,0.07407407407407407,108,108
A_portfolio,2020,BTC/USDT,range_ratio,2019,-0.004013662566456143,0.12037037037037036,108,108
A_portfolio,2020,BTC/USDT,body_to_range,2019,0.14145797452455583,0.10185185185185185,108,108
A_portfolio,2020,BTC/USDT,close_location,2019,0.284569237405635,0.14814814814814814,108,108
A_portfolio,2020,BTC/USDT,natr14,2019,0.11500302990634496,0.09259259259259259,108,108
A_portfolio,2020,BTC/USDT,return_std_24,2019,0.07305027709701858,0.07407407407407407,108,108
A_portfolio,2020,BTC/USDT,return_std_168,2019,0.2635000735885227,0.06481481481481481,108,108
A_portfolio,2020,BTC/USDT,volatility_percentile_720,2019,0.058165326553154754,0.08333333333333333,108,108
A_portfolio,2020,BTC/USDT,rsi14,2019,0.07174779141395389,0.12962962962962962,108,108
A_portfolio,2020,BTC/USDT,macd_ratio,2019,-0.04863973932417044,0.09259259259259259,108,108
A_portfolio,2020,BTC/USDT,macd_signal_ratio,2019,-0.034193847977957034,0.12037037037037036,108,108
A_portfolio,2020,BTC/USDT,relative_volume_24,2019,-0.027192033021958422,0.12962962962962962,108,108
A_portfolio,2020,BTC/USDT,volume_zscore_24,2019,0.06823476500679002,0.1111111111111111,108,108
A_portfolio,2020,BTC/USDT,volume_trend_24_168,2019,-0.15096979285328144,0.18518518518518517,108,108
A_portfolio,2020,BTC/USDT,regime_duration,2019,0.05561676592215175,0.12962962962962962,108,108
A_portfolio,2020,BTC/USDT,regime_transition,2019,0.02664973576419858,0.009259259259259259,108,108
A_portfolio,2020,BTC/USDT,hour_of_day,2019,-0.11694451800277265,0.10185185185185185,108,108
