dataset,year,pair,rows,net_profit_usdt,win_rate_pct,mean_trade_pct,horizon_censored,forced_exits
A_portfolio,2019,BTC/USDT,108,-17.349660860000004,31.48148148148148,-0.1606311603361302,0,0
A_portfolio,2019,ETH/USDT,115,-17.81611102,33.04347826086956,-0.15479369041687277,0,0
A_portfolio,2020,BTC/USDT,108,35.932594730000005,37.96296296296296,0.332755564843868,0,0
A_portfolio,2020,ETH/USDT,102,27.273413509999983,38.23529411764706,0.2671764422699501,0,0
A_portfolio,2021,BTC/USDT,98,-12.682863699999988,38.775510204081634,-0.12925013250167383,0,0
A_portfolio,2021,ETH/USDT,105,-33.68914563,39.04761904761905,-0.3209294818318541,0,0
A_portfolio,2022,BTC/USDT,106,-54.90969332,25.471698113207548,-0.5181724639831226,0,0
A_portfolio,2022,ETH/USDT,107,-43.3369791,34.57943925233645,-0.4055857515989506,0,0
A_portfolio,2023,BTC/USDT,115,-12.526217030000005,33.04347826086956,-0.10899679970302882,0,0
A_portfolio,2023,ETH/USDT,102,11.723399870000003,34.31372549019608,0.11491346722439147,0,0
A_portfolio,2024,BTC/USDT,106,-2.2830576500000026,41.509433962264154,-0.02157281475975224,1,1
A_portfolio,2024,ETH/USDT,99,-41.16188188999999,29.292929292929294,-0.41643071795351566,1,0
B_opportunities,2019,BTC/USDT,108,-17.349660860000004,31.48148148148148,-0.1606311603361302,0,0
B_opportunities,2019,ETH/USDT,115,-17.81611102,33.04347826086956,-0.15479369041687277,0,0
B_opportunities,2020,BTC/USDT,108,35.932594730000005,37.96296296296296,0.332755564843868,0,0
B_opportunities,2020,ETH/USDT,102,27.273413509999983,38.23529411764706,0.2671764422699501,0,0
B_opportunities,2021,BTC/USDT,98,-12.682863699999988,38.775510204081634,-0.12925013250167383,0,0
B_opportunities,2021,ETH/USDT,105,-33.68914563,39.04761904761905,-0.3209294818318541,0,0
B_opportunities,2022,BTC/USDT,106,-54.90969332,25.471698113207548,-0.5181724639831226,0,0
B_opportunities,2022,ETH/USDT,107,-43.3369791,34.57943925233645,-0.4055857515989506,0,0
B_opportunities,2023,BTC/USDT,115,-12.526217030000005,33.04347826086956,-0.10899679970302882,0,0
B_opportunities,2023,ETH/USDT,102,11.723399870000003,34.31372549019608,0.11491346722439147,0,0
B_opportunities,2024,BTC/USDT,106,-2.2830576500000026,41.509433962264154,-0.02157281475975224,1,1
B_opportunities,2024,ETH/USDT,99,-41.16188188999999,29.292929292929294,-0.41643071795351566,1,0
