dataset,year,feature,target,method,r,n
A_portfolio,ALL,return_12h,net_profit_ratio,spearman,-0.03020337825470078,1271
A_portfolio,ALL,return_24h,net_profit_ratio,pearson,0.010807980394857655,1271
A_portfolio,ALL,return_24h,net_profit_ratio,spearman,-0.05035604518494899,1271
A_portfolio,ALL,return_72h,net_profit_ratio,pearson,0.09546583652600567,1271
A_portfolio,ALL,return_72h,net_profit_ratio,spearman,0.04985845316062577,1271
A_portfolio,ALL,return_168h,net_profit_ratio,pearson,0.11976789278995006,1271
A_portfolio,ALL,return_168h,net_profit_ratio,spearman,0.08283306113412958,1271
A_portfolio,ALL,volatility_ratio_24_168,net_profit_ratio,pearson,0.031117096826622104,1271
A_portfolio,ALL,volatility_ratio_24_168,net_profit_ratio,spearman,0.01953639717132736,1271
A_portfolio,ALL,natr_ratio_168,net_profit_ratio,pearson,-0.010680150006872554,1271
A_portfolio,ALL,natr_ratio_168,net_profit_ratio,spearman,-0.004815068839135089,1271
A_portfolio,ALL,up_fraction_24,net_profit_ratio,pearson,0.028111669940569285,1271
A_portfolio,ALL,up_fraction_24,net_profit_ratio,spearman,0.007889966173161761,1271
A_portfolio,ALL,volume_price_interaction,net_profit_ratio,pearson,-0.026283238635126605,1271
A_portfolio,ALL,volume_price_interaction,net_profit_ratio,spearman,-0.04168243041012859,1271
A_portfolio,ALL,range_expansion_24,net_profit_ratio,pearson,-0.02159215753934728,1271
A_portfolio,ALL,range_expansion_24,net_profit_ratio,spearman,-0.02171403366081846,1271
A_portfolio,ALL,signal_density_168,net_profit_ratio,pearson,0.05889474674762289,1271
A_portfolio,ALL,signal_density_168,net_profit_ratio,spearman,0.06739019417100556,1271
A_portfolio,ALL,ema20_distance,profitable_after_fees,pearson,0.12506249834094044,1271
A_portfolio,ALL,ema20_distance,profitable_after_fees,spearman,0.10769906861276393,1271
A_portfolio,ALL,ema50_distance,profitable_after_fees,pearson,0.14214256050159485,1271
A_portfolio,ALL,ema50_distance,profitable_after_fees,spearman,0.12790362471466907,1271
A_portfolio,ALL,ema_gap,profitable_after_fees,pearson,0.11526098366805373,1271
A_portfolio,ALL,ema_gap,profitable_after_fees,spearman,0.11283016992827562,1271
A_portfolio,ALL,ema20_slope_6,profitable_after_fees,pearson,0.132975227949529,1271
A_portfolio,ALL,ema20_slope_6,profitable_after_fees,spearman,0.13803518473098672,1271
A_portfolio,ALL,ema50_slope_6,profitable_after_fees,pearson,0.14281469103502187,1271
A_portfolio,ALL,ema50_slope_6,profitable_after_fees,spearman,0.14797303328411998,1271
A_portfolio,ALL,trend_efficiency_20,profitable_after_fees,pearson,0.11100064251796589,1271
A_portfolio,ALL,trend_efficiency_20,profitable_after_fees,spearman,0.11681702213567496,1271
A_portfolio,ALL,range_ratio,profitable_after_fees,pearson,0.03522828585807073,1271
A_portfolio,ALL,range_ratio,profitable_after_fees,spearman,0.03108393246446945,1271
A_portfolio,ALL,body_to_range,profitable_after_fees,pearson,-0.024585199681392816,1271
A_portfolio,ALL,body_to_range,profitable_after_fees,spearman,-0.025515854127355787,1271
A_portfolio,ALL,close_location,profitable_after_fees,pearson,-0.007886005174966007,1271
A_portfolio,ALL,close_location,profitable_after_fees,spearman,-0.007523213299488835,1271
A_portfolio,ALL,natr14,profitable_after_fees,pearson,0.05617798745555204,1271
A_portfolio,ALL,natr14,profitable_after_fees,spearman,0.09593222345375027,1271
A_portfolio,ALL,return_std_24,profitable_after_fees,pearson,0.07136215387925615,1271
A_portfolio,ALL,return_std_24,profitable_after_fees,spearman,0.11201477981580187,1271
A_portfolio,ALL,return_std_168,profitable_after_fees,pearson,0.038049973474518994,1271
A_portfolio,ALL,return_std_168,profitable_after_fees,spearman,0.049576619821954535,1271
A_portfolio,ALL,volatility_percentile_720,profitable_after_fees,pearson,0.06696633508786981,1271
A_portfolio,ALL,volatility_percentile_720,profitable_after_fees,spearman,0.07276849820537219,1271
A_portfolio,ALL,rsi14,profitable_after_fees,pearson,0.10001005589398775,1271
A_portfolio,ALL,rsi14,profitable_after_fees,spearman,0.10105431493376503,1271
A_portfolio,ALL,macd_ratio,profitable_after_fees,pearson,0.14266432018409556,1271
A_portfolio,ALL,macd_ratio,profitable_after_fees,spearman,0.15283834445247174,1271
A_portfolio,ALL,macd_signal_ratio,profitable_after_fees,pearson,0.12554259156371642,1271
A_portfolio,ALL,macd_signal_ratio,profitable_after_fees,spearman,0.14442315809832262,1271
A_portfolio,ALL,relative_volume_24,profitable_after_fees,pearson,-0.027342925666982845,1271
A_portfolio,ALL,relative_volume_24,profitable_after_fees,spearman,-0.00766286509015399,1271
A_portfolio,ALL,volume_zscore_24,profitable_after_fees,pearson,-0.02426880359524447,1271
A_portfolio,ALL,volume_zscore_24,profitable_after_fees,spearman,0.0036444784585153303,1271
A_portfolio,ALL,volume_trend_24_168,profitable_after_fees,pearson,0.10361725714328383,1271
A_portfolio,ALL,volume_trend_24_168,profitable_after_fees,spearman,0.11458258293243194,1271
A_portfolio,ALL,regime_duration,profitable_after_fees,pearson,0.029611154890949423,1271
A_portfolio,ALL,regime_duration,profitable_after_fees,spearman,-0.048374079141808086,1271
A_portfolio,ALL,regime_transition,profitable_after_fees,pearson,0.016608276579315115,1271
A_portfolio,ALL,regime_transition,profitable_after_fees,spearman,0.01660827657931508,1271
A_portfolio,ALL,hour_of_day,profitable_after_fees,pearson,0.059731440270205445,1271
A_portfolio,ALL,hour_of_day,profitable_after_fees,spearman,0.05912920671034324,1271
A_portfolio,ALL,day_of_week,profitable_after_fees,pearson,-0.07393287700731002,1271
A_portfolio,ALL,day_of_week,profitable_after_fees,spearman,-0.07362150320104008,1271
A_portfolio,ALL,distance_high_24,profitable_after_fees,pearson,0.004765587823861575,1271
A_portfolio,ALL,distance_high_24,profitable_after_fees,spearman,0.02281290347827149,1271
A_portfolio,ALL,distance_low_24,profitable_after_fees,pearson,0.10513947677710318,1271
A_portfolio,ALL,distance_low_24,profitable_after_fees,spearman,0.12187153984946263,1271
A_portfolio,ALL,distance_high_168,profitable_after_fees,pearson,0.059341832719597205,1271
A_portfolio,ALL,distance_high_168,profitable_after_fees,spearman,0.05655924233208898,1271
A_portfolio,ALL,distance_low_168,profitable_after_fees,pearson,0.06599258749927892,1271
A_portfolio,ALL,distance_low_168,profitable_after_fees,spearman,0.07380406747324682,1271
A_portfolio,ALL,candles_since_prior_signal,profitable_after_fees,pearson,0.002765841759992563,1271
A_portfolio,ALL,candles_since_prior_signal,profitable_after_fees,spearman,-0.00575751385577893,1271
A_portfolio,ALL,return_1h,profitable_after_fees,pearson,-0.007907533234613014,1271
A_portfolio,ALL,return_1h,profitable_after_fees,spearman,-0.006788911046950065,1271
