dataset,year,feature,btc_n,eth_n,ks_statistic
A_portfolio,2021,day_of_week,98,105,0.04353741496598639
A_portfolio,2021,distance_high_24,98,105,0.11224489795918367
A_portfolio,2021,distance_low_24,98,105,0.2707482993197279
A_portfolio,2021,distance_high_168,98,105,0.08707482993197278
A_portfolio,2021,distance_low_168,98,105,0.28435374149659864
A_portfolio,2021,candles_since_prior_signal,98,105,0.1251700680272109
A_portfolio,2021,source_synthetic,98,105,0.0
A_portfolio,2021,return_1h,98,105,0.17551020408163265
A_portfolio,2021,return_3h,98,105,0.19795918367346937
A_portfolio,2021,return_6h,98,105,0.11020408163265306
A_portfolio,2021,return_12h,98,105,0.12789115646258503
A_portfolio,2021,return_24h,98,105,0.15034013605442176
A_portfolio,2021,return_72h,98,105,0.10408163265306122
A_portfolio,2021,return_168h,98,105,0.15306122448979592
A_portfolio,2021,volatility_ratio_24_168,98,105,0.0945578231292517
A_portfolio,2021,natr_ratio_168,98,105,0.14829931972789115
A_portfolio,2021,up_fraction_24,98,105,0.13741496598639455
A_portfolio,2021,volume_price_interaction,98,105,0.1945578231292517
A_portfolio,2021,range_expansion_24,98,105,0.13333333333333333
A_portfolio,2021,signal_density_168,98,105,0.06326530612244897
A_portfolio,2022,ema20_distance,106,107,0.2031387762299418
A_portfolio,2022,ema50_distance,106,107,0.1856815376476812
A_portfolio,2022,ema_gap,106,107,0.14900370305060837
A_portfolio,2022,ema20_slope_6,106,107,0.2034914477164521
A_portfolio,2022,ema50_slope_6,106,107,0.1851525304179157
A_portfolio,2022,trend_efficiency_20,106,107,0.10112854875683301
A_portfolio,2022,range_ratio,106,107,0.19299947099277023
A_portfolio,2022,body_to_range,106,107,0.107829307000529
A_portfolio,2022,close_location,106,107,0.1993475577499559
A_portfolio,2022,natr14,106,107,0.2873390936342797
A_portfolio,2022,return_std_24,106,107,0.2961558807970376
A_portfolio,2022,return_std_168,106,107,0.33459707282666196
A_portfolio,2022,volatility_percentile_720,106,107,0.10835831423029448
A_portfolio,2022,rsi14,106,107,0.11514724034561806
A_portfolio,2022,macd_ratio,106,107,0.21301357785223066
A_portfolio,2022,macd_signal_ratio,106,107,0.1563216363956974
A_portfolio,2022,relative_volume_24,106,107,0.14494798095573974
A_portfolio,2022,volume_zscore_24,106,107,0.13551401869158877
A_portfolio,2022,volume_trend_24_168,106,107,0.1253747134544172
A_portfolio,2022,regime_duration,106,107,0.13789455122553343
A_portfolio,2022,regime_transition,106,107,0.0664785752071945
A_portfolio,2022,hour_of_day,106,107,0.09751366602010228
A_portfolio,2022,day_of_week,106,107,0.0698289543290425
A_portfolio,2022,distance_high_24,106,107,0.12898959619114794
A_portfolio,2022,distance_low_24,106,107,0.26961735143713633
A_portfolio,2022,distance_high_168,106,107,0.17571856815376477
A_portfolio,2022,distance_low_168,106,107,0.3063833539058367
A_portfolio,2022,candles_since_prior_signal,106,107,0.07785223064715217
A_portfolio,2022,source_synthetic,106,107,0.0
A_portfolio,2022,return_1h,106,107,0.1291659319344031
A_portfolio,2022,return_3h,106,107,0.11100335037912185
A_portfolio,2022,return_6h,106,107,0.1668136131193793
A_portfolio,2022,return_12h,106,107,0.18541703403279844
A_portfolio,2022,return_24h,106,107,0.20472579791923823
A_portfolio,2022,return_72h,106,107,0.11867395521072122
A_portfolio,2022,return_168h,106,107,0.13807088696878858
A_portfolio,2022,volatility_ratio_24_168,106,107,0.08755069652618586
A_portfolio,2022,natr_ratio_168,106,107,0.07811673426203491
A_portfolio,2022,up_fraction_24,106,107,0.06277552459883619
A_portfolio,2022,volume_price_interaction,106,107,0.07335566919414566
A_portfolio,2022,range_expansion_24,106,107,0.10633045318286016
A_portfolio,2022,signal_density_168,106,107,0.05995415270675366
A_portfolio,2023,ema20_distance,115,102,0.08832054560954816
A_portfolio,2023,ema50_distance,115,102,0.07450980392156863
A_portfolio,2023,ema_gap,115,102,0.056351236146632566
A_portfolio,2023,ema20_slope_6,115,102,0.09948849104859335
A_portfolio,2023,ema50_slope_6,115,102,0.07468030690537085
A_portfolio,2023,trend_efficiency_20,115,102,0.10502983802216538
A_portfolio,2023,range_ratio,115,102,0.07450980392156863
A_portfolio,2023,body_to_range,115,102,0.11662404092071611
A_portfolio,2023,close_location,115,102,0.18491048593350384
A_portfolio,2023,natr14,115,102,0.21304347826086956
A_portfolio,2023,return_std_24,115,102,0.1969309462915601
A_portfolio,2023,return_std_168,115,102,0.22506393861892582
A_portfolio,2023,volatility_percentile_720,115,102,0.12276214833759591
A_portfolio,2023,rsi14,115,102,0.08900255754475703
A_portfolio,2023,macd_ratio,115,102,0.09948849104859335
A_portfolio,2023,macd_signal_ratio,115,102,0.12531969309462915
A_portfolio,2023,relative_volume_24,115,102,0.14944586530264278
A_portfolio,2023,volume_zscore_24,115,102,0.07041773231031544
A_portfolio,2023,volume_trend_24_168,115,102,0.1454390451832907
A_portfolio,2023,regime_duration,115,102,0.10588235294117647
A_portfolio,2023,regime_transition,115,102,0.021483375959079284
A_portfolio,2023,hour_of_day,115,102,0.09624893435635123
A_portfolio,2023,day_of_week,115,102,0.06589940323955669
A_portfolio,2023,distance_high_24,115,102,0.16709292412617222
A_portfolio,2023,distance_low_24,115,102,0.15950554134697356
A_portfolio,2023,distance_high_168,115,102,0.15660699062233588
A_portfolio,2023,distance_low_168,115,102,0.17195225916453538
A_portfolio,2023,candles_since_prior_signal,115,102,0.11500426257459506
A_portfolio,2023,source_synthetic,115,102,0.0
A_portfolio,2023,return_1h,115,102,0.11773231031543052
A_portfolio,2023,return_3h,115,102,0.1205456095481671
A_portfolio,2023,return_6h,115,102,0.1216538789428815
A_portfolio,2023,return_12h,115,102,0.07306052855924978
A_portfolio,2023,return_24h,115,102,0.10835464620630861
A_portfolio,2023,return_72h,115,102,0.1382779198635976
A_portfolio,2023,return_168h,115,102,0.07152600170502983
A_portfolio,2023,volatility_ratio_24_168,115,102,0.13861892583120206
A_portfolio,2023,natr_ratio_168,115,102,0.126768968456948
A_portfolio,2023,up_fraction_24,115,102,0.04697357203751066
A_portfolio,2023,volume_price_interaction,115,102,0.08610400682011936
A_portfolio,2023,range_expansion_24,115,102,0.11389599317988065
A_portfolio,2023,signal_density_168,115,102,0.12361466325660699
A_portfolio,2024,ema20_distance,106,99,0.15246807699637888
A_portfolio,2024,ema50_distance,106,99,0.08452449018486755
A_portfolio,2024,ema_gap,106,99,0.10091480846197827
A_portfolio,2024,ema20_slope_6,106,99,0.07308938441013912
A_portfolio,2024,ema50_slope_6,106,99,0.0787116447493806
A_portfolio,2024,trend_efficiency_20,106,99,0.10043834572136459
A_portfolio,2024,range_ratio,106,99,0.1835334476843911
A_portfolio,2024,body_to_range,106,99,0.12035448827901658
A_portfolio,2024,close_location,106,99,0.09510196302649133
A_portfolio,2024,natr14,106,99,0.24070897655803317
A_portfolio,2024,return_std_24,106,99,0.1910615589860873
A_portfolio,2024,return_std_168,106,99,0.351915380217267
A_portfolio,2024,volatility_percentile_720,106,99,0.09386315990089575
A_portfolio,2024,rsi14,106,99,0.10920526014865638
A_portfolio,2024,macd_ratio,106,99,0.08509624547360396
A_portfolio,2024,macd_signal_ratio,106,99,0.07804459691252144
A_portfolio,2024,relative_volume_24,106,99,0.08366685725176291
A_portfolio,2024,volume_zscore_24,106,99,0.0924337716790547
A_portfolio,2024,volume_trend_24_168,106,99,0.10463121783876501
A_portfolio,2024,regime_duration,106,99,0.1035829998094149
A_portfolio,2024,regime_transition,106,99,0.03173241852487135
A_portfolio,2024,hour_of_day,106,99,0.10291595197255575
A_portfolio,2024,day_of_week,106,99,0.05241090146750524
A_portfolio,2024,distance_high_24,106,99,0.05688965122927387
A_portfolio,2024,distance_low_24,106,99,0.1786735277301315
A_portfolio,2024,distance_high_168,106,99,0.16952544311034878
A_portfolio,2024,distance_low_168,106,99,0.13731656184486374
A_portfolio,2024,candles_since_prior_signal,106,99,0.08738326662854964
A_portfolio,2024,source_synthetic,106,99,0.0
A_portfolio,2024,return_1h,106,99,0.13093196112064037
