fold,evaluation_year,target,feature_set,model,pair,feature,ap_drop
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,volume_trend_24_168,-0.013969446397288717
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,regime_duration,0.040022586560779116
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,regime_transition,-0.011042325739768285
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,hour_of_day,0.00028824977401803453
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,day_of_week,-0.0005996325328982236
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,distance_high_24,0.04451490729942004
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,distance_low_24,-0.002452914649378709
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,distance_high_168,-0.02948340891737859
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,distance_low_168,-0.0017304180206709023
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,candles_since_prior_signal,-0.0009083350165477085
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,source_synthetic,0.0
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,pair,0.0
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,regime,-0.013269204514946342
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_1h,0.0011012528827843056
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_3h,-0.0004573283576177663
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_6h,-0.0005749680636569036
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_12h,-0.0047438713160382244
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_24h,-0.00596959483802791
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_72h,0.011692276058684151
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,return_168h,-0.009674180997618445
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,volatility_ratio_24_168,-0.0025622158688478427
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,natr_ratio_168,-0.02923996763357171
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,up_fraction_24,-0.0299568659890805
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,volume_price_interaction,-0.008592756647967345
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,range_expansion_24,0.00837580189581072
1,2020,profitable_after_fees,A_all,logistic,BTC/USDT,signal_density_168,0.004201698266564802
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,ema20_distance,0.0018906127071851204
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,ema50_distance,0.007589974053813823
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,ema_gap,0.01254040896464174
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,ema20_slope_6,0.0012637734896444968
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,ema50_slope_6,0.001483794840346886
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,trend_efficiency_20,0.009306408017295134
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,range_ratio,-0.000999208339712343
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,body_to_range,0.0026538354612082315
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,close_location,-0.00014625885099543248
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,natr14,0.001184740080503029
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,return_std_24,0.012206344492972384
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,return_std_168,0.013974491561887237
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,volatility_percentile_720,0.007133298154617644
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,rsi14,0.05292829646797346
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,macd_ratio,0.007731674889167077
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,macd_signal_ratio,-0.0015069475092910345
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,relative_volume_24,0.001432524725886175
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,volume_zscore_24,-0.000977267434990529
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,volume_trend_24_168,-0.024872644713485232
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,regime_duration,0.09430234811854711
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,regime_transition,0.026652045808546854
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,hour_of_day,-0.0034893119009100637
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,day_of_week,-0.0005088364698239145
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,distance_high_24,0.030975710482057828
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,distance_low_24,-0.0039767925572557665
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,distance_high_168,0.057318004649379396
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,distance_low_168,0.005781134802726943
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,candles_since_prior_signal,0.0021057721777921388
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,source_synthetic,0.0
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,pair,0.0
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,regime,0.023543549795634333
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,return_1h,-0.0015693166776470369
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,return_3h,0.00031999928551647755
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,return_6h,-0.0005613915822229032
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,return_12h,0.006591946490288973
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,return_24h,-0.017054928503624518
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,return_72h,0.017704824076949843
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,return_168h,0.04350016150884221
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,volatility_ratio_24_168,0.06056226665225445
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,natr_ratio_168,-0.005257176952122504
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,up_fraction_24,0.04951776789940937
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,volume_price_interaction,0.0052939994672989155
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,range_expansion_24,-0.0015697888947433514
1,2020,profitable_after_fees,A_all,logistic,ETH/USDT,signal_density_168,0.011053526786505249
1,2020,profitable_after_fees,A_all,forest,ALL,ema20_distance,-0.007110678669081698
1,2020,profitable_after_fees,A_all,forest,ALL,ema50_distance,-0.0038548569480008807
1,2020,profitable_after_fees,A_all,forest,ALL,ema_gap,0.03436363957971552
1,2020,profitable_after_fees,A_all,forest,ALL,ema20_slope_6,-0.009023398702168653
1,2020,profitable_after_fees,A_all,forest,ALL,ema50_slope_6,0.009071449208565785
1,2020,profitable_after_fees,A_all,forest,ALL,trend_efficiency_20,-0.0029352524864996177
1,2020,profitable_after_fees,A_all,forest,ALL,range_ratio,0.00864037341189866
1,2020,profitable_after_fees,A_all,forest,ALL,body_to_range,0.0007390566886185298
1,2020,profitable_after_fees,A_all,forest,ALL,close_location,0.005410546880738498
1,2020,profitable_after_fees,A_all,forest,ALL,natr14,0.010645101037437987
1,2020,profitable_after_fees,A_all,forest,ALL,return_std_24,0.0006959671664226175
1,2020,profitable_after_fees,A_all,forest,ALL,return_std_168,0.007327989189973201
1,2020,profitable_after_fees,A_all,forest,ALL,volatility_percentile_720,-0.007933127208251825
1,2020,profitable_after_fees,A_all,forest,ALL,rsi14,-0.003277318551735464
1,2020,profitable_after_fees,A_all,forest,ALL,macd_ratio,0.011915719047475995
1,2020,profitable_after_fees,A_all,forest,ALL,macd_signal_ratio,0.005516640463770077
1,2020,profitable_after_fees,A_all,forest,ALL,relative_volume_24,0.002143846939486327
1,2020,profitable_after_fees,A_all,forest,ALL,volume_zscore_24,0.0008639019492700887
1,2020,profitable_after_fees,A_all,forest,ALL,volume_trend_24_168,0.004411696143324262
1,2020,profitable_after_fees,A_all,forest,ALL,regime_duration,0.004277345090123193
1,2020,profitable_after_fees,A_all,forest,ALL,regime_transition,0.0
1,2020,profitable_after_fees,A_all,forest,ALL,hour_of_day,-0.006820705443845572
1,2020,profitable_after_fees,A_all,forest,ALL,day_of_week,0.0006691207528614259
1,2020,profitable_after_fees,A_all,forest,ALL,distance_high_24,0.0034691012474375262
1,2020,profitable_after_fees,A_all,forest,ALL,distance_low_24,-0.005231286501985122
1,2020,profitable_after_fees,A_all,forest,ALL,distance_high_168,-0.01272509619812423
1,2020,profitable_after_fees,A_all,forest,ALL,distance_low_168,-0.000520186806908444
1,2020,profitable_after_fees,A_all,forest,ALL,candles_since_prior_signal,-0.0007652990787841244
1,2020,profitable_after_fees,A_all,forest,ALL,source_synthetic,0.0
1,2020,profitable_after_fees,A_all,forest,ALL,pair,0.0012044227481372571
1,2020,profitable_after_fees,A_all,forest,ALL,regime,0.000628365440682325
1,2020,profitable_after_fees,A_all,forest,ALL,return_1h,-0.0022797029406436686
1,2020,profitable_after_fees,A_all,forest,ALL,return_3h,-0.022227603188254008
1,2020,profitable_after_fees,A_all,forest,ALL,return_6h,-0.014539102931737935
1,2020,profitable_after_fees,A_all,forest,ALL,return_12h,0.0027531573575640955
1,2020,profitable_after_fees,A_all,forest,ALL,return_24h,-0.012504731419228718
1,2020,profitable_after_fees,A_all,forest,ALL,return_72h,-0.004433417607784078
1,2020,profitable_after_fees,A_all,forest,ALL,return_168h,-0.01996852845147971
1,2020,profitable_after_fees,A_all,forest,ALL,volatility_ratio_24_168,0.014624062519742723
1,2020,profitable_after_fees,A_all,forest,ALL,natr_ratio_168,-0.005345578704164393
1,2020,profitable_after_fees,A_all,forest,ALL,up_fraction_24,0.00012970391545654344
1,2020,profitable_after_fees,A_all,forest,ALL,volume_price_interaction,-0.004841619826233194
1,2020,profitable_after_fees,A_all,forest,ALL,range_expansion_24,-0.002759012518521342
1,2020,profitable_after_fees,A_all,forest,ALL,signal_density_168,-0.00045073010941681924
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,ema20_distance,0.003814500625050954
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,ema50_distance,-2.8273610286844164e-05
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,ema_gap,0.006639774116960946
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,ema20_slope_6,0.00021855387477729785
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,ema50_slope_6,0.004760342860051485
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,trend_efficiency_20,-0.002130267576315107
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,range_ratio,0.004579693239082676
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,body_to_range,-0.0007569094233043638
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,close_location,0.002284858446243506
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,natr14,0.002757917407591348
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,return_std_24,0.005192001894941363
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,return_std_168,-0.024140444109588394
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,volatility_percentile_720,0.0014134079667956951
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,rsi14,0.0046887327734862665
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,macd_ratio,-0.008260531532751433
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,macd_signal_ratio,0.0007608028453205037
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,relative_volume_24,-0.003974644695959799
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,volume_zscore_24,0.0019027530335111176
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,volume_trend_24_168,0.007430631717657399
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,regime_duration,0.0022554758352861803
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,regime_transition,0.0
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,hour_of_day,0.006517937615539056
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,day_of_week,-0.0005372393774792372
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,distance_high_24,0.007226127561906215
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,distance_low_24,4.160186251421042e-05
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,distance_high_168,-0.017930284903479476
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,distance_low_168,0.000386229365757218
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,candles_since_prior_signal,-0.0010328031624804816
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,source_synthetic,0.0
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,pair,0.0
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,regime,0.0019004998441817984
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,return_1h,-0.0018012100833954918
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,return_3h,0.0014785233914771008
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,return_6h,0.00033746327885329314
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,return_12h,0.0012148607704937642
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,return_24h,-0.009557443425967612
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,return_72h,-0.0012384334700163795
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,return_168h,-0.005182952968394161
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,volatility_ratio_24_168,-0.010546876489909837
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,natr_ratio_168,0.008213802151510833
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,up_fraction_24,-0.0032980089636974372
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,volume_price_interaction,-0.00041754387543128474
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,range_expansion_24,0.0014729714635263365
1,2020,profitable_after_fees,A_all,forest,BTC/USDT,signal_density_168,0.0003538876775411315
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,ema20_distance,-0.008274523889155172
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,ema50_distance,-0.01730405931171149
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,ema_gap,0.052905024830984214
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,ema20_slope_6,-0.004735083377760445
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,ema50_slope_6,0.010072739787184481
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,trend_efficiency_20,-0.007048373226330377
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,range_ratio,0.005768184442909385
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,body_to_range,0.001582124571577063
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,close_location,-0.0011794491863698076
