model,pair,median_year_rank_correlation,min_year_rank_correlation,mean_positive_importance_fraction
forest,ALL,0.12777503700049334,-0.34849712837450414,0.509090909090909
forest,BTC/USDT,-0.013182010432821089,-0.2145777527139433,0.5136363636363637
forest,ETH/USDT,-0.06414775130410262,-0.2024531227971239,0.41818181818181815
hist_gradient,ALL,0.08421862411707143,-0.2849086517113292,0.3727272727272727
hist_gradient,BTC/USDT,0.01757340965550072,-0.27079594094035075,0.3318181818181818
hist_gradient,ETH/USDT,0.09784925441862796,-0.09753355219561964,0.4954545454545455
logistic,ALL,-0.0686398872445384,-0.6734319943622269,0.5045454545454545
logistic,BTC/USDT,-0.039819578546761575,-0.29508774402706317,0.49545454545454554
logistic,ETH/USDT,0.014377334554936921,-0.26266826414828387,0.5909090909090908
