year,feature,n,mean,std,ks_vs_2019
2019,ema20_distance,223,0.00900636745644482,0.012677292934633851,0.0
2019,ema50_distance,223,0.009929493448323203,0.015880311819116505,0.0
2019,ema_gap,223,0.0008190078708779691,0.00544125075591679,0.0
2019,ema20_slope_6,223,0.004690425916544798,0.006311107961578649,0.0
2019,ema50_slope_6,223,0.0017121844738321088,0.0030694818948962775,0.0
2019,trend_efficiency_20,223,0.26639361288650565,0.16308707269749098,0.0
2019,range_ratio,223,0.009516867468661967,0.007251446859632122,0.0
2019,body_to_range,223,0.39442709316599384,0.23040645980608268,0.0
2019,close_location,223,0.47675131522662606,0.26837863107088866,0.0
2019,natr14,223,0.00957399445932931,0.004247923971366731,0.0
2019,return_std_24,223,0.005925774374701295,0.0033959455031978233,0.0
2019,return_std_168,223,0.007241818082284115,0.0032133627900668466,0.0
2019,volatility_percentile_720,223,0.4057610861983059,0.30043296396872443,0.0
2019,rsi14,223,57.969561055275214,9.39721793853702,0.0
2019,macd_ratio,223,0.003227917306782834,0.003978336329098755,0.0
2019,macd_signal_ratio,223,0.001717669245630798,0.0024190395438478227,0.0
2019,relative_volume_24,223,1.1421300553876008,0.9521202984751304,0.0
2019,volume_zscore_24,223,0.10952901017521627,1.2099619907637815,0.0
2019,volume_trend_24_168,223,-0.12104830394037432,0.270274645317382,0.0
2019,regime_duration,223,24.017937219730943,27.0656466088731,0.0
2019,regime_transition,223,0.13004484304932734,0.3371094640807879,0.0
2019,hour_of_day,223,10.704035874439462,7.298792436131769,0.0
2019,day_of_week,223,3.1210762331838566,1.986135436378849,0.0
2019,distance_high_24,223,-0.013304166476191233,0.00959149665109039,0.0
2019,distance_low_24,223,0.03776276216811102,0.027712798021219662,0.0
2019,distance_high_168,223,-0.06654328372948057,0.049056962789971965,0.0
2019,distance_low_168,223,0.08694839141665386,0.0646840629507674,0.0
2019,candles_since_prior_signal,223,78.39910313901345,41.298380300058184,0.0
2019,source_synthetic,223,0.0,0.0,0.0
2019,return_1h,223,0.0008608389688140729,0.006780328095655697,0.0
2019,return_3h,223,0.0050874260239780625,0.012583874810359092,0.0
2019,return_6h,223,0.007984005524418058,0.01674464881346092,0.0
2019,return_12h,223,0.013212854754111334,0.02113332609694403,0.0
2019,return_24h,223,0.020515014441138065,0.022090150053687793,0.0
2019,return_72h,223,0.0027015641638372502,0.04939645261536843,0.0
2019,return_168h,223,0.0037626913974143496,0.09096215331263444,0.0
2019,volatility_ratio_24_168,223,0.8311470173945732,0.3118375725355799,0.0
2019,natr_ratio_168,223,0.9247154101894088,0.2659026696400217,0.0
2019,up_fraction_24,223,0.538863976083707,0.0739875265624027,0.0
2019,volume_price_interaction,223,0.003870642587887857,0.025579765304076896,0.0
2019,range_expansion_24,223,1.0637931797220408,0.8049789670893726,0.0
2019,signal_density_168,223,0.015961990177236807,0.004526761798613507,0.0
2020,ema20_distance,210,0.009540834248864791,0.011718219445164003,0.09752295537048901
2020,ema50_distance,210,0.010612396775689556,0.016527492600045268,0.10696134956224643
2020,ema_gap,210,0.0009173690510696819,0.007807489746723325,0.09970104633781764
2020,ema20_slope_6,210,0.004813554934499473,0.0058608621347938815,0.10580824257954302
2020,ema50_slope_6,210,0.0017928917870480216,0.0033409866987337525,0.1285927824044416
2020,trend_efficiency_20,210,0.28238571326771655,0.16421714030293305,0.12359598547939356
2020,range_ratio,210,0.009948411261321533,0.006768970057895543,0.10783685671578049
2020,body_to_range,210,0.41276642373353045,0.2519091574141965,0.07971385863762545
2020,close_location,210,0.5670034526363464,0.27392834874522254,0.1480034166132821
2020,natr14,210,0.01023277309636898,0.006145971555211452,0.09474695707879564
2020,return_std_24,210,0.006195481548980245,0.004235329751918094,0.08712363869314542
