target,feature_set,model,split,threshold,trades,retained_pct,win_rate_pct,net_profit_usdt,return_pct,average_trade_pct,profit_factor,expectancy_usdt,closed_subset_drawdown_pct,btc_profit_usdt,eth_profit_usdt,regime_counts
profitable_after_fees,A_all,logistic,validation,0.65,14,6.829268292682928,21.428571428571427,-18.88801514,-1.888801514,-1.3500264632026435,0.23798321686895013,-1.3491439385714286,1.9268506477659617,-5.96180869,-12.92620645,"{'RANGE': 13, 'HIGH_VOLATILITY': 1}"
profitable_after_fees,A_all,logistic,validation,0.7,11,5.365853658536586,27.27272727272727,-10.8619611,-1.08619611,-0.987098207588091,0.3519433925454251,-0.9874510090909091,1.264221897597554,-2.25255258,-8.60940852,"{'RANGE': 10, 'HIGH_VOLATILITY': 1}"
profitable_after_fees,A_all,forest,development_oof,unfiltered,166,100.0,31.92771084337349,-7.420845229999996,-0.7420845229999996,-0.044855654672136896,0.9503796747445725,-0.044703886927710816,4.643765806825128,-18.820491420000003,11.399646189999997,"{'RANGE': 100, 'TREND_UP': 34, 'LOW_VOLATILITY': 30, 'TREND_DOWN': 2}"
profitable_after_fees,A_all,forest,development_oof,0.5,32,19.27710843373494,34.375,9.42950558,0.942950558,0.2942821554470328,1.4030869928106897,0.294672049375,1.1596921756061096,-3.2989467799999996,12.728452360000002,"{'RANGE': 28, 'LOW_VOLATILITY': 3, 'TREND_DOWN': 1}"
profitable_after_fees,A_all,forest,development_oof,0.55,13,7.83132530120482,38.46153846153847,6.991379500000001,0.6991379500000001,0.5375328294387552,2.3030328216057665,0.5377984230769232,0.4842827570000054,-2.5105921899999997,9.501971690000001,"{'RANGE': 12, 'LOW_VOLATILITY': 1}"
profitable_after_fees,A_all,forest,development_oof,0.6,2,1.2048192771084338,50.0,0.5836453400000001,0.05836453400000001,0.2907272975804762,1.4675798950528116,0.29182267000000006,0.12482259099999737,-1.24822591,1.83187125,{'RANGE': 2}
profitable_after_fees,A_all,forest,development_oof,0.65,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,A_all,forest,development_oof,0.7,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,A_all,forest,validation,unfiltered,205,100.0,35.609756097560975,-43.44493954,-4.344493954,-0.2122602899606429,0.8419374082338118,-0.2119265343414634,9.155218251418917,-2.2830576500000026,-41.16188188999999,"{'RANGE': 146, 'TREND_UP': 43, 'HIGH_VOLATILITY': 8, 'LOW_VOLATILITY': 5, 'TREND_DOWN': 3}"
profitable_after_fees,A_all,forest,validation,0.5,5,2.4390243902439024,20.0,-5.83399016,-0.583399016,-1.1705344623602492,0.06235447745875147,-1.166798032,0.6219544062894903,-1.98765991,-3.8463302500000003,"{'RANGE': 3, 'TREND_DOWN': 1, 'TREND_UP': 1}"
