fold,model,feature_set,feature,ap_drop
1,forest,A_all,return_72h,0.006616961240810552
1,hist_gradient,A_all,ema20_distance,0.0
1,hist_gradient,A_all,ema50_distance,0.0
1,hist_gradient,A_all,ema_gap,-0.009618300080110461
1,hist_gradient,A_all,ema20_slope_6,0.0
1,hist_gradient,A_all,ema50_slope_6,0.0
1,hist_gradient,A_all,trend_efficiency_20,0.0005226729161695124
1,hist_gradient,A_all,body_ratio,0.0039224273967367424
1,hist_gradient,A_all,range_ratio,0.0
1,hist_gradient,A_all,body_to_range,0.0
1,hist_gradient,A_all,close_location,-0.009313658902117309
1,hist_gradient,A_all,atr14,0.0
1,hist_gradient,A_all,natr14,0.0
1,hist_gradient,A_all,return_std_24,0.0
1,hist_gradient,A_all,return_std_168,0.0
1,hist_gradient,A_all,volatility_percentile_720,0.014715509861380335
1,hist_gradient,A_all,rsi14,0.0
1,hist_gradient,A_all,macd_ratio,0.0
1,hist_gradient,A_all,macd_signal_ratio,0.0
1,hist_gradient,A_all,macd_hist_ratio,0.0
1,hist_gradient,A_all,relative_volume_24,-0.05948727569856634
1,hist_gradient,A_all,volume_zscore_24,0.0
1,hist_gradient,A_all,volume_trend_24_168,0.0
1,hist_gradient,A_all,regime_duration,-0.00024071733718115476
1,hist_gradient,A_all,regime_transition,0.0
1,hist_gradient,A_all,hour_of_day,0.0
1,hist_gradient,A_all,day_of_week,0.0
1,hist_gradient,A_all,distance_high_24,0.0
1,hist_gradient,A_all,distance_low_24,0.0
1,hist_gradient,A_all,distance_high_168,0.0
1,hist_gradient,A_all,distance_low_168,0.0
1,hist_gradient,A_all,candles_since_prior_signal,0.0
1,hist_gradient,A_all,source_synthetic,0.0
1,hist_gradient,A_all,pair,0.0
1,hist_gradient,A_all,regime,0.0
1,hist_gradient,A_all,return_1h,0.0
1,hist_gradient,A_all,return_3h,0.0
1,hist_gradient,A_all,return_6h,0.0
1,hist_gradient,A_all,return_12h,0.0013466650537980278
1,hist_gradient,A_all,return_24h,0.0
1,hist_gradient,A_all,return_72h,0.004137229239562834
1,logistic,B_reduced,ema20_distance,-0.0077589795502961785
1,logistic,B_reduced,ema50_distance,-0.003255845414721237
1,logistic,B_reduced,ema_gap,-0.0024401503542017533
1,logistic,B_reduced,ema20_slope_6,-0.004152153446006908
1,logistic,B_reduced,ema50_slope_6,-0.002551952250066066
