target,feature_set,model,roc_auc,pr_auc_ap,balanced_accuracy,precision,recall,f1,brier,ece_5_bins
profitable_after_fees,A_all,dummy,0.5,0.33329257058070616,0.5,0.0,0.0,0.0,0.22845683512308765,0.11683324485980952
profitable_after_fees,A_all,forest,0.552542735042735,0.4079012703104636,0.5191452991452992,0.2495238095238095,0.21025641025641026,0.21851851851851853,0.23202381936757754,0.13693286590611356
profitable_after_fees,A_all,hist_gradient,0.5491666666666667,0.38227905696959424,0.48848290598290595,0.25,0.09358974358974359,0.1103030303030303,0.23521372205665422,0.13199107760168127
profitable_after_fees,A_all,logistic,0.6266346153846154,0.4917080241290801,0.5531196581196581,0.5660699062233588,0.2935897435897436,0.28445921004060537,0.23487436443620044,0.16015568522619075
profitable_after_fees,B_reduced,dummy,0.5,0.33329257058070616,0.5,0.0,0.0,0.0,0.22845683512308765,0.11683324485980952
profitable_after_fees,B_reduced,forest,0.5457692307692308,0.3932147228336614,0.5119658119658119,0.225,0.17692307692307693,0.1952380952380952,0.2343163363632241,0.13782401960374493
profitable_after_fees,B_reduced,hist_gradient,0.5491666666666667,0.38227905696959424,0.48848290598290595,0.25,0.09358974358974359,0.1103030303030303,0.23521372205665422,0.13199107760168127
profitable_after_fees,B_reduced,logistic,0.6264529914529914,0.48801154249180057,0.5597863247863248,0.5739130434782609,0.2935897435897436,0.28922111480251017,0.23456954674505334,0.1553732678634486
profitable_after_fees,C_price,dummy,0.5,0.33329257058070616,0.5,0.0,0.0,0.0,0.22845683512308765,0.11683324485980952
profitable_after_fees,C_price,forest,0.5603952991452991,0.4399958524624481,0.5053205128205128,0.32367149758454106,0.16794871794871793,0.19186046511627908,0.2318657892083182,0.15161809085396935
profitable_after_fees,C_price,hist_gradient,0.5550106837606837,0.39512427263826283,0.5271794871794871,0.5857142857142857,0.15128205128205127,0.20385932150638034,0.23312215803196792,0.13965148832903748
profitable_after_fees,C_price,logistic,0.6091239316239316,0.47775171823924945,0.588974358974359,0.6571428571428571,0.2692307692307692,0.333410834689607,0.2258614565533359,0.1437403573791657
profitable_after_fees,D_price_volatility,dummy,0.5,0.33329257058070616,0.5,0.0,0.0,0.0,0.22845683512308765,0.11683324485980952
profitable_after_fees,D_price_volatility,forest,0.5596901709401709,0.41566784711265886,0.4986538461538461,0.23478260869565218,0.16794871794871793,0.1826012058570198,0.23213951910780764,0.1587483188550832
profitable_after_fees,D_price_volatility,hist_gradient,0.5695619658119658,0.4425587815827045,0.545,0.611111111111111,0.16794871794871793,0.22692147034252297,0.2293740167245186,0.13051425567610064
profitable_after_fees,D_price_volatility,logistic,0.603130341880342,0.4705626369476794,0.5904273504273504,0.6296296296296297,0.30256410256410254,0.34271132376395536,0.22775378280944372,0.1510184090612802
profitable_after_fees,E_no_regime,dummy,0.5,0.33329257058070616,0.5,0.0,0.0,0.0,0.22845683512308765,0.11683324485980952
profitable_after_fees,E_no_regime,forest,0.5394444444444444,0.3911617704010804,0.5029273504273505,0.2393939393939394,0.16794871794871793,0.1851851851851852,0.2338928200636322,0.14763411684508418
profitable_after_fees,E_no_regime,hist_gradient,0.5350854700854701,0.38378982560213476,0.49354700854700856,0.40740740740740744,0.06794871794871794,0.09235209235209235,0.23545416948778217,0.12998528802523546
profitable_after_fees,E_no_regime,logistic,0.6116773504273504,0.47594026767201125,0.5792735042735043,0.6032388663967612,0.2935897435897436,0.32556332556332557,0.22910291040440936,0.16241753110574766
return_above_0_5_percent,A_all,dummy,0.5,0.25357693154303323,0.5,0.0,0.0,0.0,0.19690271418444918,0.12252059158670658
return_above_0_5_percent,A_all,forest,0.5255429070243886,0.3220557688537196,0.5111391694725028,0.24074074074074073,0.08148148148148147,0.11616161616161617,0.2032403119160263,0.13328489950173425
return_above_0_5_percent,A_all,hist_gradient,0.5577424932749007,0.3276381451775761,0.49926647426647425,0.15,0.059259259259259255,0.0846153846153846,0.19922910862572005,0.12998453477401092
return_above_0_5_percent,A_all,logistic,0.575235601161527,0.35347805929822096,0.513692480359147,0.16666666666666666,0.1037037037037037,0.12777777777777777,0.20769040573201292,0.14002461566597615
return_above_0_5_percent,B_reduced,dummy,0.5,0.25357693154303323,0.5,0.0,0.0,0.0,0.19690271418444918,0.12252059158670658
return_above_0_5_percent,B_reduced,forest,0.5304342476796181,0.34018448111495586,0.5035634118967452,0.2272727272727273,0.08148148148148147,0.11188811188811189,0.20276161461770692,0.1310959327240764
return_above_0_5_percent,B_reduced,hist_gradient,0.5569984456558531,0.3275073784459322,0.49926647426647425,0.15,0.059259259259259255,0.0846153846153846,0.19940552969400896,0.13015948213286846
return_above_0_5_percent,B_reduced,logistic,0.5755120094240463,0.35525815678365474,0.5129910213243547,0.16666666666666666,0.1037037037037037,0.1276190476190476,0.20732889509888244,0.13725735316767929
return_above_0_5_percent,C_price,dummy,0.5,0.25357693154303323,0.5,0.0,0.0,0.0,0.19690271418444918,0.12252059158670658
return_above_0_5_percent,C_price,forest,0.5296216686262982,0.3342756287638977,0.5031144781144782,0.375,0.059259259259259255,0.09565217391304348,0.20085304744989516,0.13061467500455837
return_above_0_5_percent,C_price,hist_gradient,0.51323987226765,0.3149003518704608,0.518020482603816,0.5555555555555555,0.08009259259259259,0.13156777862660216,0.19581994957191684,0.1446385667505536
return_above_0_5_percent,C_price,logistic,0.5190652111948408,0.2979252739415727,0.530976430976431,0.21666666666666667,0.1259259259259259,0.15794871794871795,0.2064963457973097,0.13901775421480145
