split,feature,target,method,correlation,n
development,range_ratio,return_above_0_5_percent,pearson,-0.045605243964045465,217
development,body_to_range,return_above_0_5_percent,pearson,-0.13718528264236773,217
development,close_location,return_above_0_5_percent,pearson,-0.07345459983835714,217
development,atr14,return_above_0_5_percent,pearson,-0.0028067910526899742,217
development,natr14,return_above_0_5_percent,pearson,0.1225261421960229,217
development,return_std_24,return_above_0_5_percent,pearson,0.059447130182868665,217
development,return_std_168,return_above_0_5_percent,pearson,0.017897467800940984,217
development,volatility_percentile_720,return_above_0_5_percent,pearson,0.11195581282408401,217
development,rsi14,return_above_0_5_percent,pearson,-0.017495683667012582,217
development,macd_ratio,return_above_0_5_percent,pearson,0.003949923417847001,217
development,macd_signal_ratio,return_above_0_5_percent,pearson,0.014938867853354468,217
development,macd_hist_ratio,return_above_0_5_percent,pearson,-0.009872104866884784,217
development,relative_volume_24,return_above_0_5_percent,pearson,-0.08734429698381573,217
development,volume_zscore_24,return_above_0_5_percent,pearson,-0.05455204104622403,217
development,volume_trend_24_168,return_above_0_5_percent,pearson,0.14387748884763776,217
development,regime_duration,return_above_0_5_percent,pearson,-0.1378970361928968,217
development,regime_transition,return_above_0_5_percent,pearson,-0.04231944792308398,217
development,hour_of_day,return_above_0_5_percent,pearson,-0.06266077316645197,217
development,day_of_week,return_above_0_5_percent,pearson,-0.024926881144037284,217
development,distance_high_24,return_above_0_5_percent,pearson,-0.15260665984178595,217
development,distance_low_24,return_above_0_5_percent,pearson,-0.014050362316181314,217
development,distance_high_168,return_above_0_5_percent,pearson,-0.11095761974220217,217
development,distance_low_168,return_above_0_5_percent,pearson,-0.0669966749512598,217
development,candles_since_prior_signal,return_above_0_5_percent,pearson,0.04915184263493774,217
development,return_1h,return_above_0_5_percent,pearson,-0.13524901319848298,217
development,return_3h,return_above_0_5_percent,pearson,-0.08659414193665622,217
development,return_6h,return_above_0_5_percent,pearson,-0.07551543173800845,217
development,return_12h,return_above_0_5_percent,pearson,-0.07541834918327572,217
development,return_24h,return_above_0_5_percent,pearson,0.05801784352936637,217
development,return_72h,return_above_0_5_percent,pearson,-0.13073297153272875,217
development,ema20_distance,return_above_1_percent,pearson,-0.03320047858457443,217
development,ema50_distance,return_above_1_percent,pearson,-0.04263936837514139,217
development,ema_gap,return_above_1_percent,pearson,-0.04948989725460639,217
development,ema20_slope_6,return_above_1_percent,pearson,0.019593092673334582,217
development,ema50_slope_6,return_above_1_percent,pearson,-0.011380961703756277,217
development,trend_efficiency_20,return_above_1_percent,pearson,-0.005780055226863037,217
development,body_ratio,return_above_1_percent,pearson,-0.13141391601345942,217
development,range_ratio,return_above_1_percent,pearson,-0.034137359621335364,217
development,body_to_range,return_above_1_percent,pearson,-0.1393119455708673,217
development,close_location,return_above_1_percent,pearson,-0.05732221181179361,217
development,atr14,return_above_1_percent,pearson,-0.03965314752834447,217
development,natr14,return_above_1_percent,pearson,0.12319753082861969,217
development,return_std_24,return_above_1_percent,pearson,0.06331554237349356,217
development,return_std_168,return_above_1_percent,pearson,0.016359630375254258,217
development,volatility_percentile_720,return_above_1_percent,pearson,0.12455395653812991,217
development,rsi14,return_above_1_percent,pearson,0.0021992531602634583,217
development,macd_ratio,return_above_1_percent,pearson,0.022911328951204346,217
development,macd_signal_ratio,return_above_1_percent,pearson,0.02581701425237705,217
development,macd_hist_ratio,return_above_1_percent,pearson,0.014873375951317415,217
development,relative_volume_24,return_above_1_percent,pearson,-0.0847425847662389,217
development,volume_zscore_24,return_above_1_percent,pearson,-0.05440203364753585,217
development,volume_trend_24_168,return_above_1_percent,pearson,0.15204218558833257,217
development,regime_duration,return_above_1_percent,pearson,-0.10853965750761976,217
development,regime_transition,return_above_1_percent,pearson,-0.06509721390537555,217
development,hour_of_day,return_above_1_percent,pearson,-0.05273945423347377,217
development,day_of_week,return_above_1_percent,pearson,-0.03968143777099904,217
development,distance_high_24,return_above_1_percent,pearson,-0.13312633801357804,217
development,distance_low_24,return_above_1_percent,pearson,-0.0012855306938368517,217
development,distance_high_168,return_above_1_percent,pearson,-0.09544206145618839,217
development,distance_low_168,return_above_1_percent,pearson,-0.014582789582924603,217
development,candles_since_prior_signal,return_above_1_percent,pearson,0.07603962531730801,217
development,return_1h,return_above_1_percent,pearson,-0.1313946227971264,217
development,return_3h,return_above_1_percent,pearson,-0.04009011460665832,217
development,return_6h,return_above_1_percent,pearson,-0.03549255707546575,217
development,return_12h,return_above_1_percent,pearson,-0.06105802095879911,217
development,return_24h,return_above_1_percent,pearson,0.06692882927919114,217
development,return_72h,return_above_1_percent,pearson,-0.09466836862881972,217
development,ema20_distance,stoploss_hit,pearson,0.1791619092664126,217
development,ema50_distance,stoploss_hit,pearson,0.17683336477973285,217
development,ema_gap,stoploss_hit,pearson,0.10388447481201485,217
development,ema20_slope_6,stoploss_hit,pearson,0.19709354663941694,217
development,ema50_slope_6,stoploss_hit,pearson,0.17305128005079132,217
development,trend_efficiency_20,stoploss_hit,pearson,0.16737856087506894,217
development,body_ratio,stoploss_hit,pearson,0.07917790825740592,217
development,range_ratio,stoploss_hit,pearson,0.1174459762878063,217
development,body_to_range,stoploss_hit,pearson,0.07074904741088284,217
development,close_location,stoploss_hit,pearson,0.05913625515621447,217
development,atr14,stoploss_hit,pearson,0.07782065400536142,217
development,natr14,stoploss_hit,pearson,0.21938121631136212,217
development,return_std_24,stoploss_hit,pearson,0.17598876930654497,217
development,return_std_168,stoploss_hit,pearson,0.1543809694799546,217
development,volatility_percentile_720,stoploss_hit,pearson,0.14407731375074198,217
development,rsi14,stoploss_hit,pearson,0.14085602300101802,217
development,macd_ratio,stoploss_hit,pearson,0.22374523959694248,217
development,macd_signal_ratio,stoploss_hit,pearson,0.21343032559790348,217
development,macd_hist_ratio,stoploss_hit,pearson,0.19112728583125999,217
development,relative_volume_24,stoploss_hit,pearson,0.020501787919443227,217
development,volume_zscore_24,stoploss_hit,pearson,0.028735645608541388,217
development,volume_trend_24_168,stoploss_hit,pearson,0.12322846279382606,217
development,regime_duration,stoploss_hit,pearson,-0.06900478461387272,217
development,regime_transition,stoploss_hit,pearson,-0.0023532603946871647,217
development,hour_of_day,stoploss_hit,pearson,0.08539578242091161,217
development,day_of_week,stoploss_hit,pearson,-0.07886008013500286,217
development,distance_high_24,stoploss_hit,pearson,0.009694707781405697,217
development,distance_low_24,stoploss_hit,pearson,0.2595576118914867,217
development,distance_high_168,stoploss_hit,pearson,0.07986692041901983,217
development,distance_low_168,stoploss_hit,pearson,0.11748684725441674,217
development,candles_since_prior_signal,stoploss_hit,pearson,-0.04407855026188485,217
development,return_1h,stoploss_hit,pearson,0.07907443187376335,217
development,return_3h,stoploss_hit,pearson,0.1326876340961938,217
development,return_6h,stoploss_hit,pearson,0.08307988678030928,217
development,return_12h,stoploss_hit,pearson,0.180510238284106,217
development,return_24h,stoploss_hit,pearson,0.221762190907987,217
development,return_72h,stoploss_hit,pearson,0.03215510407498455,217
development,ema20_distance,favorable_move_before_adverse_move,pearson,-0.13010177491289582,179
development,ema50_distance,favorable_move_before_adverse_move,pearson,-0.16076362807524006,179
development,ema_gap,favorable_move_before_adverse_move,pearson,-0.1796328090594256,179
development,ema20_slope_6,favorable_move_before_adverse_move,pearson,-0.14268282302759847,179
development,ema50_slope_6,favorable_move_before_adverse_move,pearson,-0.17741846520683144,179
development,trend_efficiency_20,favorable_move_before_adverse_move,pearson,-0.14387898441324318,179
development,body_ratio,favorable_move_before_adverse_move,pearson,-0.05809885965731679,179
development,range_ratio,favorable_move_before_adverse_move,pearson,-0.020048577217074988,179
development,body_to_range,favorable_move_before_adverse_move,pearson,-0.049309359008949345,179
development,close_location,favorable_move_before_adverse_move,pearson,-0.05961937112196317,179
development,atr14,favorable_move_before_adverse_move,pearson,0.039226126356879894,179
development,natr14,favorable_move_before_adverse_move,pearson,0.003946322249190983,179
development,return_std_24,favorable_move_before_adverse_move,pearson,0.00047161431515111633,179
development,return_std_168,favorable_move_before_adverse_move,pearson,-0.020068477526189208,179
development,volatility_percentile_720,favorable_move_before_adverse_move,pearson,0.038616217656856654,179
development,rsi14,favorable_move_before_adverse_move,pearson,-0.1860465945347298,179
development,macd_ratio,favorable_move_before_adverse_move,pearson,-0.17725887042053023,179
development,macd_signal_ratio,favorable_move_before_adverse_move,pearson,-0.19397229592994827,179
development,macd_hist_ratio,favorable_move_before_adverse_move,pearson,-0.11900821527248227,179
development,relative_volume_24,favorable_move_before_adverse_move,pearson,-0.04974708976233224,179
development,volume_zscore_24,favorable_move_before_adverse_move,pearson,-0.1456358691731383,179
development,volume_trend_24_168,favorable_move_before_adverse_move,pearson,0.025822148540387172,179
development,regime_duration,favorable_move_before_adverse_move,pearson,0.03574524735568914,179
development,regime_transition,favorable_move_before_adverse_move,pearson,-0.08364809778516838,179
development,hour_of_day,favorable_move_before_adverse_move,pearson,-0.02246433543277992,179
development,day_of_week,favorable_move_before_adverse_move,pearson,0.016097840999130725,179
development,distance_high_24,favorable_move_before_adverse_move,pearson,-0.14183086479260992,179
development,distance_low_24,favorable_move_before_adverse_move,pearson,-0.12957172011544868,179
development,distance_high_168,favorable_move_before_adverse_move,pearson,-0.20690212074248784,179
development,distance_low_168,favorable_move_before_adverse_move,pearson,-0.09547387936091338,179
development,candles_since_prior_signal,favorable_move_before_adverse_move,pearson,0.0719397398999026,179
development,return_1h,favorable_move_before_adverse_move,pearson,-0.05818241927149001,179
development,return_3h,favorable_move_before_adverse_move,pearson,-0.10080278373257738,179
development,return_6h,favorable_move_before_adverse_move,pearson,-0.05412656366235094,179
development,return_12h,favorable_move_before_adverse_move,pearson,-0.18994215057074196,179
development,return_24h,favorable_move_before_adverse_move,pearson,-0.15961151762674766,179
development,return_72h,favorable_move_before_adverse_move,pearson,-0.158918775191608,179
development,ema20_distance,net_profit_ratio,spearman,-0.2934264857171043,217
development,ema50_distance,net_profit_ratio,spearman,-0.31443392193614156,217
development,ema_gap,net_profit_ratio,spearman,-0.2482572095623294,217
development,ema20_slope_6,net_profit_ratio,spearman,-0.20378082178910828,217
development,ema50_slope_6,net_profit_ratio,spearman,-0.2293190433912541,217
development,trend_efficiency_20,net_profit_ratio,spearman,-0.1436240176252014,217
development,body_ratio,net_profit_ratio,spearman,-0.2102105910925088,217
development,range_ratio,net_profit_ratio,spearman,-0.24127195516659858,217
development,body_to_range,net_profit_ratio,spearman,-0.13589185304189744,217
development,close_location,net_profit_ratio,spearman,-0.0886028602214461,217
development,atr14,net_profit_ratio,spearman,-0.09201087952197749,217
development,natr14,net_profit_ratio,spearman,-0.15851407150608096,217
development,return_std_24,net_profit_ratio,spearman,-0.20818829652804202,217
development,return_std_168,net_profit_ratio,spearman,-0.17122328856569757,217
development,volatility_percentile_720,net_profit_ratio,spearman,-0.06940959101951967,217
development,rsi14,net_profit_ratio,spearman,-0.26475852252709314,217
development,macd_ratio,net_profit_ratio,spearman,-0.214269272866491,217
development,macd_signal_ratio,net_profit_ratio,spearman,-0.16090394922889742,217
development,macd_hist_ratio,net_profit_ratio,spearman,-0.222515818994067,217
development,relative_volume_24,net_profit_ratio,spearman,-0.2131900111331896,217
development,volume_zscore_24,net_profit_ratio,spearman,-0.1819924181569639,217
development,volume_trend_24_168,net_profit_ratio,spearman,-0.036213400226421825,217
development,regime_duration,net_profit_ratio,spearman,-0.009319705431936798,217
development,regime_transition,net_profit_ratio,spearman,-0.14768644857503166,217
development,hour_of_day,net_profit_ratio,spearman,-0.14130613818213153,217
development,day_of_week,net_profit_ratio,spearman,0.028667679945781312,217
development,distance_high_24,net_profit_ratio,spearman,-0.09933200862469878,217
development,distance_low_24,net_profit_ratio,spearman,-0.2499459781939806,217
development,distance_high_168,net_profit_ratio,spearman,-0.2263090892863015,217
development,distance_low_168,net_profit_ratio,spearman,-0.2496617765188348,217
development,candles_since_prior_signal,net_profit_ratio,spearman,0.055310347963911356,217
development,return_1h,net_profit_ratio,spearman,-0.20990642483687766,217
development,return_3h,net_profit_ratio,spearman,-0.234080008643489,217
development,return_6h,net_profit_ratio,spearman,-0.20833274613978967,217
development,return_12h,net_profit_ratio,spearman,-0.2976073037481739,217
development,return_24h,net_profit_ratio,spearman,-0.19697877177900858,217
development,return_72h,net_profit_ratio,spearman,-0.23882923002485004,217
development,ema20_distance,profitable_after_fees,spearman,-0.071713007586726,217
development,ema50_distance,profitable_after_fees,spearman,-0.09233635617375831,217
development,ema_gap,profitable_after_fees,spearman,-0.11030366744276372,217
development,ema20_slope_6,profitable_after_fees,spearman,-0.005780787103940876,217
development,ema50_slope_6,profitable_after_fees,spearman,-0.05108965899969368,217
development,trend_efficiency_20,profitable_after_fees,spearman,0.05358945882842487,217
development,body_ratio,profitable_after_fees,spearman,-0.15030046470246278,217
development,range_ratio,profitable_after_fees,spearman,-0.03874689734533343,217
development,body_to_range,profitable_after_fees,spearman,-0.15842481414583912,217
development,close_location,profitable_after_fees,spearman,-0.10147630888380763,217
development,atr14,profitable_after_fees,spearman,-0.0017186123822526928,217
development,natr14,profitable_after_fees,spearman,0.0709318201402475,217
development,return_std_24,profitable_after_fees,spearman,0.032497397773505465,217
development,return_std_168,profitable_after_fees,spearman,0.00703068701830647,217
development,volatility_percentile_720,profitable_after_fees,spearman,0.08452708752154263,217
development,rsi14,profitable_after_fees,spearman,-0.07140053260813459,217
development,macd_ratio,profitable_after_fees,spearman,0.012342761654360246,217
development,macd_signal_ratio,profitable_after_fees,spearman,0.04077798470617752,217
development,macd_hist_ratio,profitable_after_fees,spearman,-0.031247497859139866,217
development,relative_volume_24,profitable_after_fees,spearman,-0.10421040536023146,217
development,volume_zscore_24,profitable_after_fees,spearman,-0.06843202031151631,217
development,volume_trend_24_168,profitable_after_fees,spearman,0.09952328068136047,217
development,regime_duration,profitable_after_fees,spearman,-0.10159404872857421,217
development,regime_transition,profitable_after_fees,spearman,-0.037670194645600584,217
development,hour_of_day,profitable_after_fees,spearman,-0.08290909431453783,217
development,day_of_week,profitable_after_fees,spearman,-0.04439800482176481,217
development,distance_high_24,profitable_after_fees,spearman,-0.15764362669936063,217
development,distance_low_24,profitable_after_fees,spearman,0.003280987275209686,217
development,distance_high_168,profitable_after_fees,spearman,-0.1682677759714682,217
development,distance_low_168,profitable_after_fees,spearman,-0.05796410852870445,217
development,candles_since_prior_signal,profitable_after_fees,spearman,0.06148494002387143,217
development,return_1h,profitable_after_fees,spearman,-0.14998798972387134,217
development,return_3h,profitable_after_fees,spearman,-0.12077157922557559,217
development,return_6h,profitable_after_fees,spearman,-0.09686724336333359,217
development,return_12h,profitable_after_fees,spearman,-0.12030286675768849,217
development,return_24h,profitable_after_fees,spearman,0.06515103303630662,217
development,return_72h,profitable_after_fees,spearman,-0.14561334002359178,217
development,ema20_distance,return_above_0_5_percent,spearman,0.019223653145158538,217
development,ema50_distance,return_above_0_5_percent,spearman,-0.012537165094668611,217
development,ema_gap,return_above_0_5_percent,spearman,-0.04797555176226522,217
development,ema20_slope_6,return_above_0_5_percent,spearman,0.056500824026639876,217
development,ema50_slope_6,return_above_0_5_percent,spearman,0.011199867484570625,217
development,trend_efficiency_20,return_above_0_5_percent,spearman,0.05533068861780414,217
development,body_ratio,return_above_0_5_percent,spearman,-0.1089897552229858,217
development,range_ratio,return_above_0_5_percent,spearman,0.02657879000069746,217
development,body_to_range,return_above_0_5_percent,spearman,-0.1399147624565017,217
development,close_location,return_above_0_5_percent,spearman,-0.07213053219925532,217
development,atr14,return_above_0_5_percent,spearman,-0.009193921069423648,217
development,natr14,return_above_0_5_percent,spearman,0.11316881025454201,217
development,return_std_24,return_above_0_5_percent,spearman,0.07187974654276671,217
development,return_std_168,return_above_0_5_percent,spearman,0.0018387842138847298,217
development,volatility_percentile_720,return_above_0_5_percent,spearman,0.11802015243248434,217
development,rsi14,return_above_0_5_percent,spearman,0.008525272264374656,217
development,macd_ratio,return_above_0_5_percent,spearman,0.07622596377558516,217
development,macd_signal_ratio,return_above_0_5_percent,spearman,0.08558704704627106,217
development,macd_hist_ratio,return_above_0_5_percent,spearman,0.043127847925660025,217
development,relative_volume_24,return_above_0_5_percent,spearman,-0.05148595798877244,217
development,volume_zscore_24,return_above_0_5_percent,spearman,-0.027916087610795445,217
development,volume_trend_24_168,return_above_0_5_percent,spearman,0.14041624906028843,217
development,regime_duration,return_above_0_5_percent,spearman,-0.10869788612943387,217
development,regime_transition,return_above_0_5_percent,spearman,-0.042319447923084015,217
development,hour_of_day,return_above_0_5_percent,spearman,-0.054646495685607276,217
development,day_of_week,return_above_0_5_percent,spearman,-0.03420855960509791,217
development,distance_high_24,return_above_0_5_percent,spearman,-0.1287148949719311,217
development,distance_low_24,return_above_0_5_percent,spearman,0.050148660378674444,217
development,distance_high_168,return_above_0_5_percent,spearman,-0.10865543082046131,217
development,distance_low_168,return_above_0_5_percent,spearman,-0.022901221572927996,217
development,candles_since_prior_signal,return_above_0_5_percent,spearman,0.015881826690504298,217
development,return_1h,return_above_0_5_percent,spearman,-0.10882259302172353,217
development,return_3h,return_above_0_5_percent,spearman,-0.04245919912061103,217
development,return_6h,return_above_0_5_percent,spearman,-0.04028609050420181,217
development,return_12h,return_above_0_5_percent,spearman,-0.027748925409533196,217
development,return_24h,return_above_0_5_percent,spearman,0.12436867773911264,217
development,return_72h,return_above_0_5_percent,spearman,-0.09695407673210392,217
development,ema20_distance,return_above_1_percent,spearman,0.033658916846556836,217
development,ema50_distance,return_above_1_percent,spearman,0.013679559787905452,217
development,ema_gap,return_above_1_percent,spearman,0.0023399247005627746,217
development,ema20_slope_6,return_above_1_percent,spearman,0.053818268112943816,217
development,ema50_slope_6,return_above_1_percent,spearman,0.035818847339384015,217
development,trend_efficiency_20,return_above_1_percent,spearman,0.008459727763573108,217
development,body_ratio,return_above_1_percent,spearman,-0.1117764030038064,217
development,range_ratio,return_above_1_percent,spearman,0.02123931651280057,217
development,body_to_range,return_above_1_percent,spearman,-0.14147544728018008,217
development,close_location,return_above_1_percent,spearman,-0.05651821441611814,217
development,atr14,return_above_1_percent,spearman,-0.04103867936371635,217
development,natr14,return_above_1_percent,spearman,0.11627625819719634,217
development,return_std_24,return_above_1_percent,spearman,0.07217767730197482,217
development,return_std_168,return_above_1_percent,spearman,0.005039837816596746,217
development,volatility_percentile_720,return_above_1_percent,spearman,0.12833982659313942,217
development,rsi14,return_above_1_percent,spearman,0.018539403396766598,217
development,macd_ratio,return_above_1_percent,spearman,0.08117738768875471,217
development,macd_signal_ratio,return_above_1_percent,spearman,0.1016967273706129,217
development,macd_hist_ratio,return_above_1_percent,spearman,0.04427857510295712,217
development,relative_volume_24,return_above_1_percent,spearman,-0.04355859827201473,217
development,volume_zscore_24,return_above_1_percent,spearman,-0.02483920066751253,217
development,volume_trend_24_168,return_above_1_percent,spearman,0.13985549941055966,217
development,regime_duration,return_above_1_percent,spearman,-0.0788996191811374,217
development,regime_transition,return_above_1_percent,spearman,-0.06509721390537558,217
development,hour_of_day,return_above_1_percent,spearman,-0.041270056367283314,217
development,day_of_week,return_above_1_percent,spearman,-0.05114895111896037,217
development,distance_high_24,return_above_1_percent,spearman,-0.13481566159396294,217
development,distance_low_24,return_above_1_percent,spearman,0.048958424504082665,217
development,distance_high_168,return_above_1_percent,spearman,-0.08531725446667347,217
development,distance_low_168,return_above_1_percent,spearman,0.02681913695260411,217
development,candles_since_prior_signal,return_above_1_percent,spearman,0.0356420344470481,217
development,return_1h,return_above_1_percent,spearman,-0.11159640879607079,217
development,return_3h,return_above_1_percent,spearman,0.02465920645977693,217
development,return_6h,return_above_1_percent,spearman,-0.007919745140366315,217
development,return_12h,return_above_1_percent,spearman,-0.030059032691844876,217
development,return_24h,return_above_1_percent,spearman,0.12167608442926428,217
development,return_72h,return_above_1_percent,spearman,-0.05453824494388621,217
development,ema20_distance,stoploss_hit,spearman,0.16631329320418872,217
development,ema50_distance,stoploss_hit,spearman,0.17451183582693044,217
development,ema_gap,stoploss_hit,spearman,0.12883424121451242,217
development,ema20_slope_6,stoploss_hit,spearman,0.14679295362623232,217
development,ema50_slope_6,stoploss_hit,spearman,0.15108742833338273,217
development,trend_efficiency_20,stoploss_hit,spearman,0.1300054615891898,217
development,body_ratio,stoploss_hit,spearman,0.16475166603795224,217
development,range_ratio,stoploss_hit,spearman,0.20457315877698334,217
development,body_to_range,stoploss_hit,spearman,0.07651973114558919,217
development,close_location,stoploss_hit,spearman,0.058170646099748,217
development,atr14,stoploss_hit,spearman,0.06597874777349272,217
development,natr14,stoploss_hit,spearman,0.22214146439714413,217
development,return_std_24,stoploss_hit,spearman,0.20886763348413379,217
development,return_std_168,stoploss_hit,spearman,0.16397085245483398,217
