feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,split,pair
ema20_distance,217.0,0.006470292623256671,0.009011455254453304,-0.013536415095536825,-0.005364912706774376,-0.0019428374990952733,0.000877160393759846,0.003238962698391079,0.009537783467119976,0.02501741056516049,0.03975913221755256,0.05035009454341832,development,ALL
ema50_distance,217.0,0.007413724029985127,0.011208717696075333,-0.01803525210305057,-0.013170617109030584,-0.00444630139191402,0.00027891267512725193,0.0037178440439473714,0.012372928690491447,0.028710603278573964,0.04575214692696367,0.053177978305301465,development,ALL
ema_gap,217.0,0.0008880189789939412,0.0034260387054417633,-0.01180011947180033,-0.009047052159420602,-0.004425529004391577,-0.0008400532531995839,0.0007247130466323027,0.0027175382355403813,0.005848101557620117,0.011657775947400638,0.01393009856595917,development,ALL
ema20_slope_6,217.0,0.003136426470034323,0.0038805307939173772,-0.0062851717449503575,-0.002774260806629467,-0.0007048395791709571,0.0005359729633602761,0.0017983426951162507,0.005079261096964771,0.010668665929829534,0.01603032093465407,0.01706879884537238,development,ALL
ema50_slope_6,217.0,0.0012360981313468294,0.001944542056699245,-0.0037191614940896844,-0.0032805529933610566,-0.000995219186555385,-3.093122808561777e-05,0.0007169225090446485,0.0024628523514076406,0.004792543635842871,0.0068310383684866425,0.008112749568260691,development,ALL
trend_efficiency_20,217.0,0.2759259322962457,0.16288933188226712,0.004960897727520825,0.006405757253486577,0.06217732806114754,0.14406510939646863,0.26180317844114176,0.3866807984455006,0.6007674928893355,0.7667155853259013,0.7886490632190225,development,ALL
body_ratio,217.0,0.001487772517026131,0.006851234108333221,-0.012603197158081664,-0.010522314986097297,-0.004459741836208771,-0.0011104792688407222,0.00035407099940629975,0.0024006763459309558,0.01133947291280686,0.029679355558429703,0.05527521879318282,development,ALL
range_ratio,217.0,0.00654804545350909,0.007109489087428453,0.00022663817436318763,0.0007400738081210823,0.001200132627164617,0.0025191090876725874,0.004371576430711409,0.007799525961572988,0.016894958381537466,0.03530670393369716,0.059653652349426364,development,ALL
body_to_range,217.0,0.4446990399404837,0.2558156121187263,0.000743218134471114,0.013863247779340363,0.05818934340592821,0.228858753618775,0.44515374648421596,0.6437125748503424,0.8565560002115262,0.9359019920042954,0.9916201117317881,development,ALL
close_location,217.0,0.5139410647645324,0.2909476182305028,0.0,0.0004933233974918357,0.06470083256243783,0.272281596234925,0.5170556552962049,0.769421411743105,0.9687777536169361,0.9993779811953876,1.0,development,ALL
atr14,217.0,84.59813202512429,88.55484292516638,2.5774777329142955,3.1140966572081563,5.165453994599369,11.02812130227688,48.263395748408776,147.81518983633984,250.31095738882433,334.4909772867425,379.0212853684823,development,ALL
natr14,217.0,0.00559976520234429,0.002461620624318873,0.001017511384105987,0.00127786779873327,0.002166628121875147,0.0036885931911140807,0.00533718003050047,0.007212252534062049,0.010066704785746153,0.011622266960039672,0.012384377855323937,development,ALL
return_std_24,217.0,0.003623589008362924,0.0019208609130750556,0.0005150827715894195,0.0006991418611063042,0.0009915227298285803,0.0022664606525679143,0.0032542336015900565,0.00460638388929883,0.007023481570545258,0.0091931167074001,0.011453835567519322,development,ALL
return_std_168,217.0,0.004454439027698721,0.0014998585969580483,0.0015983603880816045,0.001865568031717465,0.002443238198585712,0.0032276490676347333,0.004338065371988885,0.005492162333997799,0.007210994893845934,0.008270722744634267,0.008772964791774931,development,ALL
volatility_percentile_720,217.0,0.4320404505888376,0.3009107006347476,0.001388888888888889,0.001388888888888889,0.008055555555555557,0.18194444444444444,0.4152777777777778,0.7027777777777777,0.9338888888888889,0.9511666666666666,0.9638888888888889,development,ALL
rsi14,217.0,58.528631609248926,9.463347958302357,37.451035739719465,40.065202017793005,46.037481015184966,52.401728537724004,56.50257728703675,64.75694123414775,75.03953184130354,84.38255135580579,89.42802827416168,development,ALL
macd_ratio,217.0,0.002197404558067529,0.002513060043155107,-0.0028315028532750934,-0.0017428069089269257,-0.00048568797182141365,0.0003964660782974737,0.0012747183543078892,0.0035875290166692457,0.007277637682657275,0.009963517570478092,0.011308979941643107,development,ALL
macd_signal_ratio,217.0,0.001176170737482484,0.001500966463927287,-0.0025244936589412076,-0.0009877609118000147,-0.0005817701207541263,0.00018659666134629741,0.0007633967364134436,0.0018522320661737075,0.004370428668472499,0.005782871359113668,0.006899145290118841,development,ALL
macd_hist_ratio,217.0,0.0010212338205850444,0.0012658237640820295,-0.0019938675916010688,-0.0009105491099701044,-0.0002474053127641103,0.00018196809783972416,0.0006022349336290745,0.0017298509359609485,0.003580783875380716,0.0047413947971975175,0.006066979021742609,development,ALL
relative_volume_24,217.0,1.377269843704044,1.5552177679536576,0.18941434256732395,0.2992111217938093,0.40459314611582675,0.5870655049627721,0.8893849912427932,1.441469877019934,3.9321053214175197,7.216924534614621,13.105606052990971,development,ALL
volume_zscore_24,217.0,0.3428315741273173,1.4666973758178388,-1.745475652826229,-1.4159500908289193,-1.0571842972652878,-0.6647922059254415,-0.19514514328854382,0.6577459470724482,3.898556464569285,4.482735070892341,4.675907088307499,development,ALL
