split,pair,rows,win_rate_pct,mean_net_profit_ratio,median_duration_minutes
development,ALL,217,33.17972350230415,-0.00027654018591459435,1620.0
development,BTC/USDT,115,32.17391304347826,-0.0015410517992377934,1740.0
development,ETH/USDT,102,34.31372549019608,0.0011491346722439146,1530.0
validation,ALL,205,35.609756097560975,-0.0021226028996064288,1800.0
validation,BTC/USDT,106,41.509433962264154,-0.00021572814759752238,1830.0
validation,ETH/USDT,99,29.292929292929294,-0.004164307179535157,1800.0
